"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-1.1859218,-2.2239523,-3.3437157,1.058539,3.8407285,0.6590351,1.0932509,-5.007069,51.754074,-0.8386437,-0.5684703,1.4631462,3.493608,33.57393,0.847618,-7.9752054,0.7294134,2.110439,0.2820356,1.4413602,6.403996,6.9764457,7.066112,22.826288,1.0796937,-0.58696145,3.2989452,0.5875824,1.6024588,-0.82867545,0.458709,6.555295,1.0858719,14.789968,10.425825,0.47418463,-0.4604716,13.299559,0.8266053,10.104112,0.5279471,3.2031062,-0.036643334,4.6524386,2.1697063,-0.5622254,15.161977
-0.7437066,-1.0507803,2.2420123,2.8896244,2.495695,3.832896,1.5751266,-3.6627164,53.46737,-3.1457872,0.9679205,2.1107037,6.7440248,34.062454,0.50227123,-2.7826867,4.0017695,7.5988207,0.20922384,-2.0048454,7.9137144,3.62702,5.4263124,22.494122,2.901486,0.07540657,0.8775513,0.30574033,2.2346575,-0.2650929,1.0347512,-2.307139,-1.6986257,9.791741,9.065044,0.93615437,3.6313365,4.3296313,8.346541,7.4106407,1.4305112,-2.4817605,2.2267385,4.3192887,2.933235,2.9443114,16.915155
-0.61915636,-0.43407962,1.9452076,2.5034058,3.9385402,1.6104251,1.9486345,0.084644236,54.270275,-2.8468623,0.020904332,4.232113,6.3932366,32.796055,1.0353811,2.7324557,-0.5307791,1.5205907,1.0785319,2.0743504,-2.8112369,6.3804946,1.3097754,22.698933,-0.69301975,-0.9615124,3.4195092,1.1709529,2.1576908,-0.05171436,0.63841414,6.5288043,2.5845087,18.462072,7.532346,0.88303185,0.58547384,18.314503,0.29468757,9.178624,-0.74967295,-0.47609776,-0.11216303,4.7152762,-3.1990578,-0.73853946,12.898622
-0.09856181,-0.5097114,1.7995847,1.4927082,4.7073407,3.6113398,1.4354359,-2.414364,49.164394,-1.2278366,-0.75326955,3.7503698,7.778339,36.852226,1.0053406,0.9186595,2.15542,2.2598946,0.084481716,1.3287032,6.766229,7.0206747,7.6832047,22.065552,-0.32878447,-0.77749604,3.4514685,1.0093433,1.0417006,0.02819846,0.017100759,6.7599955,0.51827013,9.889931,2.1170037,0.7091376,1.1266496,15.105711,4.7495875,7.501039,-1.5640888,-1.5270268,1.8074557,2.8094883,0.39461622,-0.23372567,12.204631
-0.38821787,-0.47117576,2.0016131,1.1729379,4.4000487,3.634498,1.9899384,1.5548823,49.73357,-1.5380462,0.6261048,1.2437569,6.18411,36.075912,1.0246074,1.0653403,1.6542766,1.3472521,0.07077816,0.79820985,5.976947,5.4124026,7.452408,21.861172,-1.47163,-0.6076424,1.515259,0.081330664,1.0368631,-0.8469244,0.10671257,7.6338034,0.96347344,7.4006104,9.6806755,-1.3729177,1.5974318,14.062746,3.8927386,8.971358,-1.3689135,-2.378108,1.5379254,4.500944,0.78420013,-0.15441251,13.463805
-0.26198226,-0.3708356,1.8345214,-1.7824196,2.9359386,2.3433113,-0.7853466,4.9346213,50.347702,-0.34002894,-0.66916096,2.6742241,3.9076688,29.944727,1.1263789,1.1162513,1.5584505,2.6263626,0.6459144,1.7645291,3.2827497,6.476348,8.213309,22.863491,-1.0719111,-0.7570973,3.0765643,0.79957134,3.1105902,0.2533169,0.11914586,7.110049,1.0094887,18.538847,10.877455,0.8223773,0.0045169266,12.213581,3.3881447,7.3772616,-1.791794,0.050722033,2.081937,4.6922393,1.2229726,-0.5016667,13.474541
-0.07628771,-0.14724188,0.5636025,-0.85224724,3.6608765,0.84389895,2.779861,4.4456697,43.139206,-0.46901482,-0.27495077,-0.26720247,7.4228206,25.272371,0.59089035,-0.5514576,1.2274437,-0.4082548,1.5133604,0.9654989,0.35794905,1.5342973,5.9890943,21.07593,3.4590282,1.2572967,0.8033945,0.23328368,0.5309831,-0.15731381,1.4715929,-2.5970702,0.35171396,-0.5428752,-7.4834137,-0.092606924,4.535051,-3.9539804,7.357878,6.1480308,2.414642,-0.4015336,-0.008381079,3.2647727,4.415012,0.8868301,8.7770605
-0.53970575,-0.7331309,-2.0600295,-1.6655842,3.3484547,4.143183,1.7240663,5.512826,41.469097,0.38872087,-0.58091384,-0.40488762,4.048029,25.824663,0.3279959,0.32025114,-0.38136703,-1.5303409,1.1862983,1.3234068,-3.6138697,4.3923826,7.0225835,19.810347,0.83916235,-0.5854218,1.8873931,0.5647289,0.80490655,-1.4165459,0.1812748,-4.6491165,-3.5992625,6.8680706,4.9196835,-1.2599905,2.4906485,-3.0928898,6.5871005,6.405962,-0.40745494,4.219983,2.7713716,4.834406,-0.18970864,0.03715543,11.4375105
-0.38242388,-0.72156566,-1.1560082,-4.5643454,3.9955912,3.3769643,1.717589,3.2419622,47.504944,-2.292092,-0.47908455,0.15511632,6.0278807,26.744303,0.1429048,0.83639854,-0.60775745,-1.5850445,1.2011459,1.4964185,-2.5660572,2.4714766,1.1502308,17.845354,3.0648663,-0.93499666,1.376629,0.012673045,0.7586678,-1.2789453,0.13043205,-5.267157,-1.3945665,3.8674731,-2.9989605,-0.2549464,3.1085582,-4.3914175,6.432881,6.189833,-1.2963228,0.67456234,0.97793007,5.264982,0.50587696,0.25047672,14.555347
-0.46931586,-0.475626,-2.4498584,-1.9259591,2.5643923,-1.7704198,0.62950236,9.622914,41.86806,1.3404788,1.0360045,-0.45719793,2.2123609,28.966774,0.18945584,-0.0036579473,-0.3614073,0.09980167,0.26740554,-0.0066413544,-10.41073,-0.21517043,-3.5756354,18.146328,-1.4342036,-1.0806453,1.6463652,-1.8748411,1.4756244,-0.3015892,-0.1847928,2.406218,1.8413044,22.66467,12.134801,-0.2866541,0.6551835,-1.8356307,3.792739,7.040352,-0.32212272,6.2108917,1.8408762,4.2930455,-3.3426516,-1.0882355,9.827027
