"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
30.349428,1.3985993,-15.343603,4.9039464,61.69788,-86.37006,7.940998,1.7103368,34.43367,44.910446,-14.804808,12.098759,51.445816,109.42397,38.440914,-28.506935,17.01903,-1.6979415,-9.010464,-81.40705,-19.756742,15.232384,18.416927,90.878944,-24.181467,-11.529568,-5.4435606,-8.229959,3.6163213,-5.0407386,-7.1728787,-14.404541,-4.1732316,-27.78498,-136.27477,30.866219,15.025089,-38.74217,11.851131,-54.617603,-14.31181,-11.353788,-27.124407,-2.236806,-14.540471,6.8867254,-21.496124
22.671026,1.4751875,0.39679447,25.469675,52.719273,-24.262587,17.898565,10.156273,26.177612,-53.72483,-13.207125,10.184732,65.467445,140.9678,34.289013,-25.371998,15.369619,12.757855,-10.314192,-81.43967,-25.866812,28.163343,-23.364914,89.023315,-29.002089,-7.29847,6.4783683,-6.0092688,-3.886465,-4.482432,-4.62813,-12.8380165,2.7443302,21.420355,-104.25544,2.4367602,34.17073,-20.10199,-11.769436,-10.540244,-17.057528,-15.650406,-22.704924,-1.729356,-4.672331,-3.552273,2.569754
36.930367,16.950377,-19.654251,21.041067,47.254326,34.85076,75.926865,0.41139877,17.848928,-31.356337,-9.61982,17.91848,30.865412,138.27641,34.804108,3.3816948,7.005782,-3.3276856,-6.7914248,-59.320568,-56.99834,-71.78619,-41.694557,78.102844,-40.98601,-15.536566,-8.0316515,-2.6961405,14.641711,2.4643419,-10.828903,3.780231,4.7578626,-17.540838,-83.20636,8.274841,23.683054,-17.754822,5.406678,-41.709236,-16.322346,-13.12228,-51.21692,5.789858,23.15498,2.5034611,-28.91899
32.11231,15.754581,-20.204172,21.628063,42.406494,14.239343,6.245169,11.966492,11.857407,-4.2417884,-5.656439,15.712559,57.82317,135.00102,33.974842,0.88417196,16.405706,-2.7007737,5.5493884,-93.224556,-18.88536,-42.666626,-44.79739,82.92194,-17.620775,-7.2048182,-1.2995882,-3.285118,7.3941774,-4.6460924,-0.24307393,-10.675515,1.7291667,8.50802,-97.631485,14.552761,42.8386,-17.460424,-7.703594,-8.70323,-11.925811,-13.16915,-48.013584,3.2965858,-2.9130118,1.2296693,-13.664078
31.545088,15.249793,-18.572762,17.449944,52.52632,7.354641,20.806072,-9.117681,32.158318,-18.506407,-9.678438,18.8993,54.58209,130.46115,31.104172,0.15000151,18.893072,-1.2587682,8.245313,-86.1232,-19.80894,-60.787598,-25.874992,86.56447,-21.330769,-6.4009304,2.3274803,0.36161274,7.084543,-4.00589,-2.3950949,-10.258747,2.0327268,15.9946995,-93.67176,9.744147,36.108704,-14.394875,-18.993866,-10.759131,-15.282288,-13.3322735,-52.88812,2.4078953,-0.55219555,3.0847201,-6.390217
-20.205696,29.131723,8.616986,-11.308862,29.35978,25.977118,55.71243,4.5716166,-22.7349,46.322033,-13.226115,5.493995,28.633165,126.27466,64.05266,4.0030384,37.39913,-4.626687,5.8847423,81.86005,-23.97763,-72.73003,-34.449173,104.94332,-32.864155,-12.246521,-4.3325496,0.5383708,8.250202,3.2428656,3.475843,-1.6959349,3.1428394,-50.749367,-122.11233,21.053102,-7.420871,-5.5274763,-34.55811,-21.066437,-26.183985,-14.477007,-84.45896,8.612842,-3.9893432,4.8070073,-68.60509
17.647764,-8.015398,-20.964817,-5.0274167,62.633636,24.509525,10.078655,-5.0339313,-11.186537,33.243797,-13.547422,-4.823997,46.147045,116.25702,25.946548,-10.044242,19.647497,-2.6472726,2.234669,-85.84291,-17.513023,-86.80721,-7.6447415,88.06365,-20.983967,-8.766327,13.537365,-6.5464196,-9.242943,0.03836701,-9.564144,-16.040207,8.973517,4.127444,-55.476204,1.2703497,18.931465,-17.723219,-42.920532,-37.37607,-17.173445,-13.485765,-43.92824,-13.731729,-4.0949388,-5.2999744,-11.431866
-19.698996,-11.9439535,-4.5298076,-26.671074,50.932274,27.552698,17.301674,-2.5658097,-46.09683,42.627304,-16.52976,6.7071767,51.639374,116.97821,29.434841,-3.3819785,14.241455,-5.5578938,9.95812,-60.995457,-18.039444,-95.58687,-19.954773,87.70338,-25.837065,-5.7914124,19.16009,-1.7855043,1.5855277,7.8385124,-6.063647,-20.908989,2.6857746,16.21668,-96.402245,20.742466,40.467724,-14.595768,-46.19913,-39.577675,-4.406367,-12.224219,-64.85811,-9.424452,9.76036,2.7142088,-17.976624
23.366783,-7.026184,-6.945017,-28.198212,52.535027,11.469764,8.947073,-6.6058927,-1.0221456,-36.139847,-14.615749,6.428534,53.67098,126.589714,25.18058,-2.6269588,14.690091,-5.1205144,10.207379,-68.721825,-21.149563,-79.76734,-34.16548,93.33319,-25.43858,-9.993078,15.670338,-2.9255538,3.265548,3.8644466,-8.594738,-14.245432,2.282089,17.505821,-85.33663,3.619733,27.979713,-9.803974,-30.497622,-41.954723,-4.470353,-12.780827,-55.20816,-6.8720202,8.379149,4.7620406,-12.133723
-58.423447,-39.671883,2.2320929,-24.058594,40.73089,24.37004,63.4585,-0.68494266,-57.89577,39.99768,-17.899235,1.6186455,43.67932,128.77718,43.686424,-2.5407937,34.01039,4.8702126,-8.784496,109.91428,-28.217676,16.941372,-25.011986,99.2088,-34.66592,-8.391269,-23.39955,-1.9961008,9.469947,7.097373,-12.024496,0.54928577,1.9363365,-49.383602,-170.3162,-9.621352,-28.008858,-22.827047,-51.49721,-46.34148,7.7129135,23.510977,-50.378258,-33.862362,32.858772,-9.017845,-41.45879
