"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
16.914297,4.047445,2.2439454,4.057814,-8.747592,28.315935,-27.9042,-43.625076,-119.27787,-15.495749,-1.1065646,-7.803092,-1.5892072,-88.88013,-74.36376,-20.447132,-15.712203,-3.8997974,13.961079,-8.3498745,10.962137,-25.14166,-19.007992,-167.55858,27.859573,9.747522,15.462274,-4.0927863,-6.3425508,-7.7618732,0.008683431,-21.297625,-18.506556,-13.740096,-62.516747,-1.8187333,-22.593248,-6.7206826,-8.63343,-1.9547741,7.5903015,-9.965161,-17.846493,-20.555037,-26.831903,1.9775062,-49.103092
24.386019,0.87792736,24.910137,19.285393,-10.397236,24.185188,-13.716309,-50.001343,-125.43225,-17.542875,-0.18394072,-12.571441,-15.22988,-123.87821,-68.18397,-17.809248,-19.708853,-3.7565217,7.3481374,-14.761269,11.4279175,-20.72008,-22.537928,-185.29985,30.365597,10.160525,15.090501,-2.760205,-4.770824,-8.908641,-0.5620308,-20.337524,-18.408115,-2.849022,-51.697594,-1.0369326,-30.78117,-5.5650716,-15.591943,-2.044067,13.3196125,4.8823686,-24.507935,-20.025381,-27.115074,-2.4604616,-71.132965
14.933162,3.8465114,-13.710593,4.2559104,-8.632424,-24.440874,-36.166927,-46.369926,-119.3717,-22.461224,-1.1803397,-7.14518,-6.813465,-90.54563,-68.587524,-7.1766796,-16.483921,-3.8414226,8.152038,-8.097736,11.562075,-36.52903,-19.592152,-185.75444,28.3462,18.481876,4.8374786,-3.1605742,-3.504069,-6.1008215,-0.1711292,-16.254425,-17.628506,-9.648805,-50.572998,-2.7008853,-21.751501,-5.6461215,-6.801901,-2.3133485,7.832551,-10.922396,-16.585808,-14.880348,-2.8234882,3.5156615,-37.89281
22.88106,2.9538188,18.63583,16.89836,-9.937678,-14.795946,-15.120116,-45.723816,-122.57635,-17.697836,-0.9612272,-6.339937,-6.523838,-114.51496,-70.04689,-21.288115,-14.942085,-4.2492824,13.01706,-9.39412,12.571599,-39.84678,-21.027157,-204.58105,29.682535,11.653649,16.410275,0.6402577,-0.94796586,-5.0490365,-0.37593552,-24.509567,-19.817068,-2.7629151,-50.298546,-0.37854135,-23.565619,-4.732654,-13.828018,-1.7745162,8.624528,0.7508119,-22.550722,-20.660587,-24.928524,3.2929153,-49.191303
23.67229,2.9961429,14.022344,3.468237,-10.808053,3.4929624,-26.442776,-43.34795,-108.604836,-17.258995,1.7536718,-6.813246,-5.6397643,-113.5364,-69.20396,-20.558796,-14.646776,-4.2404723,13.373,-9.735021,11.42048,-37.77935,-19.70845,-208.62814,34.283905,15.82986,17.091358,-0.51120186,-1.0763007,-5.460015,-0.24588378,-21.056087,-13.757497,-2.770242,-56.692806,-1.9578196,-25.722704,-5.1214232,-12.359091,-2.2069871,8.813263,2.140625,-24.142405,-21.225092,-26.059511,0.14842205,-61.52102
4.7507668,3.3930488,16.642178,-2.090773,-7.8296227,-23.1941,-27.407671,-29.082077,-113.56253,-14.410024,-0.9957623,-3.595808,-6.661516,-111.76863,-64.660995,-22.372707,-16.209702,-1.9919344,13.165173,-5.7776623,15.224524,-36.277615,-19.110569,-189.37778,29.37739,8.844126,16.80881,0.015929937,-0.04957513,-5.434696,-0.54353946,-23.508938,-22.244413,-11.616766,-50.327114,-2.5851934,-21.339483,-3.6775024,-9.200462,-1.1968294,8.391406,-7.788009,-20.754957,-17.415283,-31.55808,1.5372046,-51.26695
7.890163,-2.7355874,5.740015,3.3751893,-9.898131,-66.68145,-29.81747,-28.519499,-110.3402,-15.954864,-1.4949368,-5.178959,-1.0882757,-109.508385,-61.192604,-24.099726,-19.603903,-2.5075965,6.128345,-12.063187,13.427787,-66.65548,-19.4739,-188.64381,37.630867,14.51026,14.030429,-2.9193373,-2.3216002,-14.797153,-3.234333,0.033657067,-6.7007236,-4.410626,-10.225484,14.974055,-31.734715,3.5907547,-16.472221,-3.9977078,13.456775,-8.774029,-14.148689,-24.69822,-50.059006,-3.0988925,-46.12724
2.8153746,-0.50294954,-1.628606,-0.86988926,-8.183217,-32.299923,-27.975769,-29.020294,-113.08849,-16.267748,1.1733944,-2.1419487,-7.390078,-93.0057,-70.51146,-30.520905,-21.304642,-2.6831584,11.85323,-9.067101,15.73027,-37.58737,-19.07034,-188.66324,38.7565,14.672423,11.784408,-3.993931,-0.43721306,-11.0307,0.19362618,-10.306658,-16.432367,-3.2741323,-62.26596,-0.38552937,-26.651417,1.9670665,-15.606653,-2.4322054,8.512907,-10.137346,-24.32133,-20.999191,-42.95767,3.417813,-51.719646
8.54672,0.3068797,-0.61254483,-0.5753443,-11.151266,-27.31229,-26.054344,-39.85622,-127.24786,-17.64063,3.242451,0.2670508,-1.8838315,-93.97612,-66.83961,-30.461464,-21.05827,-4.618333,11.026016,-7.980016,13.694798,-36.62451,-20.282251,-190.11,36.502464,18.79488,14.650156,-4.2672515,-1.0510406,-9.132417,-0.14985074,-9.882623,-16.340694,-2.478132,-48.311146,-0.63765633,-27.259172,0.020400938,-15.562543,-1.7196302,7.8746166,-7.7772284,-27.629917,-21.150003,-30.882803,3.0768025,-54.463394
-6.7650595,-2.238964,-20.40908,-5.891564,-6.7414427,-40.453518,-31.25018,21.730856,-112.80226,-16.807293,0.8697646,3.3150947,-14.206968,-93.69512,-66.263016,-0.9649294,-15.478798,-0.18479462,10.24601,31.657553,1.3035843,-22.060106,-23.635122,-174.37619,36.67444,13.303633,16.990751,-6.284882,-2.1322286,-7.2896028,-0.1710143,-18.642347,-9.080323,-14.404546,-63.781837,0.03918394,-28.185823,-7.225525,-9.420772,-2.1277754,5.0078287,-7.746584,-14.79406,-23.913486,-12.314584,2.3156693,-37.380665
