"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-5.101793,-1.7208922,-15.908974,15.249724,16.078375,1.1394507,-11.802123,23.714138,0.7020377,-29.332148,5.1118774,-8.027152,-1.6000566,-1.5480573,4.9057884,72.1516,-22.787453,4.514839,13.538027,14.626777,1.6180041,-12.134587,9.27345,46.74163,-13.73632,6.39032,74.43205,2.0645292,38.10094,-1.7905157,0.098593585,-24.913805,-87.84171,0.7209742,53.061737,-23.31281,81.84717,1.0577285,-126.1792,1.2340288,-12.781665,-23.65895,13.494553,-8.908179,-90.23163,1.0704473,-71.355804
-22.23334,-3.5186806,18.189875,19.69227,24.211433,4.6976113,-23.080105,36.877335,-15.946249,-27.228956,1.8667331,-45.877216,-9.61716,-6.685978,13.698615,33.635685,-22.119585,1.9967296,12.308941,26.051748,6.131662,-8.065394,8.972358,78.489006,92.40688,4.4735866,66.712,0.8503277,-6.9922123,-9.029973,0.65475774,-5.15781,-18.346996,-9.531157,15.475068,-34.238262,-14.844157,10.41972,-123.969406,0.15577899,-8.973755,14.01079,14.724374,-27.160526,-108.221756,0.7742473,-215.79143
-1.4552873,-0.35090312,-18.349028,44.18134,23.669071,-11.317987,-108.82834,43.569633,-0.066288814,-25.90579,4.7363963,-41.503666,-4.5609274,-4.912356,5.848246,22.015291,-23.860815,4.6482058,14.120547,10.83182,3.2726474,-15.917495,8.304475,39.461887,12.92455,5.8969975,48.464306,2.801217,-2.0896006,-7.8948126,-0.92598057,-26.558674,-80.2133,2.0274866,48.672436,-42.01806,40.13109,0.62411445,-101.04354,-1.2722598,-16.376047,-21.769644,17.809742,4.8389187,-47.2269,0.1542695,-66.93762
8.588543,-1.9148846,39.71841,48.208008,18.117407,-21.229574,15.637602,53.548004,-8.098303,-25.730974,4.7030115,-44.895725,-5.9313784,-2.7324696,4.0284524,25.056837,-23.579788,4.452916,11.476937,17.20365,1.6823694,-11.312745,7.3181834,53.106567,67.39497,7.43757,59.218266,0.91896516,-1.5103207,-8.427533,0.59020245,-21.529066,-56.54392,-0.7088651,12.138846,-43.368572,36.381775,1.1775949,-120.43519,0.51865494,-11.140657,-9.403799,16.053453,-11.368078,-176.21667,1.9600527,-173.0607
9.28689,0.7369713,41.030167,16.801437,23.209488,8.409609,-14.586883,34.155228,-11.864323,-27.438652,4.1521654,-48.378956,-9.362504,-3.6365345,3.9741309,26.256432,-24.999393,4.783619,11.93676,17.937286,4.6637125,-13.108528,8.106543,74.20774,88.549255,7.193287,58.480206,0.8520638,-1.3079292,-8.317738,0.43599525,-8.493378,-18.720991,-6.140943,13.280122,-38.524742,-13.615804,1.1791912,-123.237526,-0.31617042,-8.731989,-9.629736,16.022263,-10.730779,-89.75821,1.5691183,-248.42053
9.901934,0.99328464,44.80194,-4.5995693,27.558012,-19.22878,5.5367403,10.648445,-1.3779614,-37.97188,5.2528024,-42.48628,-1.501393,-1.277637,4.802989,25.065468,-23.840115,4.8638034,10.761789,12.393121,2.130907,-13.042223,8.169932,53.36807,49.036243,7.7195063,74.288414,0.5690744,-1.875431,-8.521698,1.2737633,-26.353544,-87.63279,0.45223922,62.809223,-46.493683,39.83296,0.6297426,-96.12461,0.83233774,-17.813837,-10.063712,9.033948,-11.490258,-92.56872,1.3910078,-195.48247
7.794101,-0.34483713,36.29577,2.758717,23.300861,-30.185143,1.895994,11.9622135,-14.44672,-28.131845,4.246509,-47.711338,-10.462746,-2.9250274,7.265845,30.255865,-22.772354,4.0379558,10.71656,20.642332,2.2060337,-13.114929,6.694026,45.172165,70.363205,8.201164,79.75831,0.16208994,-1.6762952,-10.644672,2.2583752,-6.3445077,11.122424,-12.983402,3.9304934,-36.47431,-12.88309,10.886801,-108.67984,-0.9069791,-8.458761,-11.154214,12.967886,-12.93628,-107.410835,0.6969832,-177.22043
0.57839125,1.1857677,-13.588813,-0.329361,23.835386,-30.21959,3.6704004,10.605435,-12.27374,-28.883404,7.1486945,-48.789062,-10.017341,-2.066255,6.462121,29.998148,-38.045082,4.2835617,12.480115,13.702576,5.5524707,-12.662135,7.9327645,47.26802,72.78215,7.927458,60.629864,0.30726504,-0.8612888,-1.6343803,-0.71440196,-6.489619,-15.060479,-0.6394321,24.618078,-44.24894,-10.174116,10.664111,-104.17859,-0.7193062,-15.194185,-25.717915,16.590809,-10.506598,-107.11063,0.9372761,-91.18774
-4.5123467,-0.8332457,-14.642504,-1.0244348,24.32951,-20.166544,2.6478305,18.723068,-12.310186,-25.460014,10.183906,-38.320763,-11.654442,-2.717261,7.250328,29.42992,-24.658117,4.1949115,10.928352,11.7320175,4.9080663,-13.476463,5.568128,52.24502,72.41599,7.091847,62.68938,0.29790786,-0.9691409,-8.435297,-1.2260673,-6.8589244,-15.74296,-6.969627,24.4007,-38.908222,-13.252131,10.535568,-122.54816,-0.7814911,-12.739796,-16.064789,15.566335,-9.411393,-112.598335,0.8604928,-94.18759
1.4151324,-1.6072668,-22.776497,-17.354197,23.607887,-28.115885,5.102488,-0.16377036,0.18658926,-28.832634,7.711906,-34.14114,-2.6831644,-1.3341368,6.549653,29.161577,-28.897459,5.4552655,16.723042,-1.178073,2.1935859,-20.066402,0.05250349,43.670254,54.11051,8.109894,72.78839,0.24686123,-1.7471892,-1.3593804,0.06326697,-27.833553,-89.4556,1.7510858,57.47966,-48.742924,40.933506,11.846256,-85.67372,0.22206628,-14.866346,-28.379742,17.96752,-10.9584875,-83.32616,0.73041147,-90.458374
8.050085,0.63184565,43.054226,-1.8775268,25.593596,3.9243488,-2.3397992,31.517288,-12.780155,-31.542448,5.3211436,-46.64539,-6.406688,-2.1843755,6.8081846,31.874905,-22.743805,4.738442,9.333827,6.2921047,4.3883734,-10.944107,7.575083,80.49331,88.6488,6.4640465,60.54685,0.3652295,12.596569,-7.734426,-0.109132186,-6.562025,-13.907718,-12.368774,16.544056,-37.867496,-13.847679,10.340822,-118.637375,-0.380236,-10.355455,-11.154705,16.483604,-10.521668,-109.99013,1.3840959,-252.92436
7.0436063,0.9358102,46.946705,-1.4582584,21.207054,0.39288875,0.57043326,30.999575,15.512342,-26.219603,5.3297405,-18.299685,2.6895285,0.32416773,7.616298,29.1691,-18.652607,3.9472196,14.507171,10.858573,7.1041126,-12.170389,10.308015,16.713274,-14.819001,3.2886848,62.254498,0.2933614,0.10701898,-7.4533453,0.15429418,-21.042562,-57.917973,-12.519104,18.23793,-40.497444,37.65101,11.568699,-121.913994,-0.9077943,-10.284362,-11.175969,14.158359,-6.7479143,-111.36538,0.8967913,-149.41019
-1.2292365,0.24157004,-12.749379,-8.389977,-6.8923593,-3.2740688,-2.8265665,17.159447,23.243383,-37.05252,7.1619425,28.431356,5.665758,-4.8925333,-5.0413833,18.073936,-63.10262,-0.13666303,15.474242,24.55129,6.0784483,-2.308248,1.7568945,-15.91947,-26.046034,-2.1516132,43.334045,0.5527966,-0.34907812,-6.8898954,2.4347484,-11.737893,-49.358654,0.39153996,17.178408,-63.331917,25.134892,12.415306,-49.250973,-1.110287,-16.983923,-15.113674,5.5377936,-21.262257,-50.41333,0.35069394,-39.897778
7.050297,0.9338055,46.954193,-1.4527457,21.185492,0.3868577,0.56974995,31.054655,15.507884,-26.216497,5.3271456,-18.316418,2.6899455,0.32416722,7.3902802,29.168898,-18.65271,3.9551191,14.227899,10.859356,7.178298,-12.169803,10.308947,16.713188,-14.82353,3.289712,62.253254,0.3036116,0.10763324,-7.449937,0.15349834,-21.042843,-57.917095,-12.522719,18.370472,-38.971558,36.93954,10.99136,-121.88292,-0.90803546,-10.284002,-11.176677,14.169237,-6.7370987,-111.36534,0.8967913,-149.41904
4.769244,-0.4115598,44.54753,-1.4893352,21.031301,1.145404,0.5895016,30.101656,14.310846,-26.370028,2.9868932,-16.845419,2.7506907,0.36386278,7.3358765,29.132399,-18.886082,3.9660103,14.247016,11.921037,5.7911687,-11.161602,10.359024,17.944782,-14.177683,3.055239,62.148727,0.55438983,-2.1356418,-7.98042,-1.0095737,-20.312792,-57.756195,-12.538934,18.69672,-34.406616,37.320602,11.05282,-117.50814,-1.2407793,-10.299711,-9.951648,14.367535,-6.549747,-111.321175,0.9381845,-149.89153
7.050297,0.9403067,46.951984,-1.4526731,21.207836,0.3926445,0.56990135,30.999159,15.512738,-26.216497,5.3271456,-18.317442,2.6895285,0.32416773,7.3902802,29.16934,-18.652674,3.9472196,14.227899,10.859412,7.179015,-12.169803,10.308015,16.713268,-14.82353,3.2889583,62.254517,0.3036116,0.1070287,-7.4485855,0.15370809,-21.042309,-57.917095,-12.520687,18.373226,-38.963947,36.93954,10.991521,-121.882904,-0.9067084,-10.284277,-11.175665,14.158359,-6.737471,-111.36534,0.8967913,-149.41907
-3.0440223,-5.9393907,39.22756,-30.925396,19.428339,-3.7335584,4.363154,35.39009,10.684839,-31.995623,5.6290026,27.660341,0.49584046,-1.3028005,7.5962806,29.7059,-27.190794,4.0420003,21.329947,16.676865,9.787079,1.0383654,10.07477,-13.853023,-16.92585,2.6173418,74.48693,0.94408864,1.7284578,-8.305121,1.9012415,-12.569323,-57.629463,-11.796382,18.707798,-50.866756,25.592758,11.936492,-86.35312,0.10656109,-8.605811,-8.985651,12.462976,-24.103153,-89.34622,0.1468971,-166.9154
7.9188943,1.5980942,58.861835,-6.6056995,21.428896,2.3321443,-0.6519605,29.540688,0.05556578,-28.581682,4.043715,-23.761995,1.4587753,-1.6761254,8.430584,24.634012,-20.645107,5.2626,11.008021,27.413717,6.8056736,-12.7224045,9.133016,43.71787,-18.029465,4.5082607,63.99933,0.5881866,-7.3019295,-8.332729,0.08545955,-22.270077,-56.061607,-1.6195434,15.845056,-34.609257,39.549374,12.111959,-135.0034,-0.36741585,-9.642169,-9.663292,13.91457,-8.525165,-114.609215,-5.612555,-150.39648
7.2377844,1.3238133,40.933315,-2.7528007,25.259657,1.3638073,-1.4308394,27.235922,3.0741615,-27.108274,6.8307233,-23.006628,1.5506631,0.4065085,7.924758,22.535675,-30.685446,4.546242,13.100804,18.335419,3.7202723,-10.147465,9.485496,39.28005,-23.038692,5.449681,75.999535,0.7176807,-1.7024195,-8.036127,0.29454756,-26.97592,-89.07586,0.37026414,63.592003,-43.013603,41.164864,2.1492367,-121.16238,1.6063215,-12.1803465,-29.283989,13.181428,-7.625947,-91.50076,0.86372286,-151.73436
3.9731047,1.050201,26.571585,-1.4326582,18.146137,2.2160423,-3.102243,29.271086,-0.25480595,-27.677156,3.3889685,-26.5286,1.6382343,-0.336931,9.120784,27.59551,-31.734138,4.6051397,13.170077,18.04133,2.8758872,-10.359958,8.955777,48.48629,-21.08878,5.4202046,75.25205,0.6888221,0.10624787,-8.470347,0.0112868985,-29.293869,-74.12625,-1.5429769,39.385597,-39.094326,38.605217,12.049303,-119.01524,2.6710043,-9.505254,-27.275629,13.428779,-10.410187,-102.72226,0.82719344,-124.546364
6.7999725,1.3731608,28.724577,-1.748537,17.96677,2.047194,-3.1683774,26.704174,1.6707451,-27.970642,4.687086,-23.742048,1.5318893,-1.7616944,4.7911158,24.895086,-32.4164,4.9476333,12.906741,20.21824,5.917587,-11.031133,8.881121,39.95456,-17.776901,4.480973,59.603466,0.92763,-1.6905025,-1.8207629,0.6868577,-21.574917,-55.59876,-1.0983074,15.594514,-38.71645,37.480335,0.50407916,-120.791595,2.0850055,-9.263297,-37.121693,13.537163,-9.223823,-94.62348,0.5865076,-100.37984
16.400434,1.472807,28.76317,-1.6047194,22.068031,1.4723848,-1.6784619,17.999098,3.1120272,-27.175228,6.6103673,-23.903479,2.4279096,-7.5061526,8.704289,22.950909,-32.81035,5.939492,12.475165,18.625286,0.26887923,-11.907924,9.413865,61.609367,-23.2984,5.9456005,80.561356,0.250662,1.1444911,3.1067028,1.6919191,-2.2248693,-77.618324,-0.6613058,37.939243,-41.88131,33.816673,0.2612606,-125.06274,1.5766926,-10.203346,-42.321415,15.736892,7.048833,-91.97892,0.60127777,-173.13881
12.98171,-17.588564,32.90194,1.0285493,24.816027,-1.6715423,1.3875495,9.66522,2.3117187,-28.305225,6.6919675,-22.778173,1.4805355,0.14934692,-8.337454,21.280878,-29.547873,5.766718,12.617967,17.29428,5.879537,-10.818414,11.1739435,38.526936,-21.14835,7.4884534,80.33175,0.2684314,1.3770422,-6.681774,1.9022974,-25.007038,-84.5275,4.471181,62.66065,-36.354446,41.63375,2.2972963,-126.22335,6.9112167,-14.371162,-24.527676,15.42852,-8.001153,-70.1619,0.6529973,-158.07295
