"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.5867354,-0.64865464,-1.0206364,0.52730554,-0.55082846,1.0314887,0.07309127,1.149327,2.2152197,-0.9443083,1.2924758,-5.5133677,5.5943747,0.48354045,-0.67912865,3.4303267,0.63574713,-0.03950882,0.6939003,-1.6555094,-0.013126827,-0.8594158,0.16407694,0.0070623155,-0.112764105,0.9689743,-0.83969194,-0.18613915,-3.1604154,0.05705119,-0.28012782,-2.4595723,-4.5037856,1.0594293,-5.276207,2.7090025,0.5601015,-4.968611,2.1041758,5.6635513,0.6967691,-1.9449016,-4.7183247,6.9567904,2.9474127,-0.22488838,8.613176
0.32466125,-2.2727256,0.58186036,-0.35264462,-0.22156668,1.5628543,-0.11786341,0.8388991,1.3525503,-0.37980688,2.5729086,-8.259379,3.9441113,-1.1105695,-0.79419357,0.78156114,-1.5967871,0.08451026,-0.35216913,-0.52498615,-0.030859685,0.80651003,-0.4861604,-2.0234623,-2.0549748,0.4355753,-0.5713913,-0.20944667,-1.6108711,0.10434943,-0.041838728,3.5282538,0.5771493,0.05897178,-11.114417,-1.9071987,0.030635122,2.8791692,2.0440521,4.92816,0.52657676,-0.4313765,-6.2133875,9.125388,1.9221747,-0.026269147,11.455815
0.66160756,-1.5094478,-0.63361865,0.07915389,0.44336918,-0.4167303,-0.07636176,0.62760246,1.7139614,0.5199624,1.3214046,-5.56301,3.529685,-0.025146823,-0.8089014,-1.3361914,0.74806976,-0.26590377,0.4829713,-0.61092097,0.12520139,-2.3689446,-0.3351275,-1.1477481,-0.57796764,0.44301423,0.5180754,-0.89984477,-2.0315113,0.014183578,-0.12333543,-4.010884,-0.7900667,0.33548898,-5.4156656,0.1481911,0.61586374,-3.568517,2.296775,4.2203097,1.0078762,-0.47089952,-5.917601,3.7223659,3.4671104,0.0442266,7.718197
0.43520653,-1.5237728,0.4003058,0.26546308,0.39704105,1.2387891,0.5721284,1.226642,1.3817253,-0.43637636,1.577341,-8.769477,3.3667333,-0.38660607,-0.64192015,-1.026596,0.7451888,-0.14369085,0.2936244,-0.7453967,1.0370729,-2.2900612,-0.71512175,-0.34231886,-0.9510686,0.56785476,-0.2381243,-0.38369164,-2.0764072,0.027004614,-0.2130863,-4.506775,0.011949785,0.27107865,-9.858334,0.8343852,0.5554239,-2.8593564,1.6342461,3.526218,1.1962095,-0.3706197,-6.2629867,4.602346,2.8794043,0.3591472,11.242444
0.45546332,-1.646858,0.35410213,0.20460583,0.2608777,1.4727081,-0.07934207,1.157895,1.7526389,-0.38760787,1.4306319,-7.4172807,3.367857,-0.50301695,-0.67306066,-0.91851246,0.6838812,-0.2684993,0.15865329,-0.35155722,1.0693784,-2.2669725,-0.733039,-0.06116204,-1.4844183,0.71960574,-0.4037381,-0.32222646,-2.4234624,0.104201995,-0.18808131,-3.4157636,-0.08639632,0.50962317,-8.958376,-1.0633937,0.42794994,-2.5283172,1.5324264,3.419584,1.2519981,-0.55205554,-6.2760763,4.451701,2.854239,0.1402947,11.09957
0.4992881,-0.6788022,0.3490346,0.8974163,0.44251338,-0.38277823,-0.5607056,-0.70812315,1.8849127,-0.1622593,1.5054932,-7.798628,3.7237096,-0.39378875,-0.5096793,-2.2571056,0.62812203,0.3858692,-0.13142912,-0.5674273,0.0138888,-1.7092044,-0.115073204,-0.5541704,-0.92839664,0.54991996,-0.63777816,-0.1659159,-2.4629352,0.22092971,0.12327469,-3.5561545,-0.0780253,0.56419384,-5.6714964,4.0145288,0.459128,-5.0172176,0.92535335,4.7298636,0.96607155,-0.3056669,-5.7394094,3.7803876,3.3059447,0.036268383,8.422559
0.16693343,0.4359858,0.86810005,1.2150549,0.41272214,-10.726065,-1.6704987,-1.1416163,1.6600806,-1.1444416,2.0013354,1.3081547,3.1673386,-0.744229,-0.534564,-0.25732595,0.44329917,-0.057486314,0.0508275,-0.48913953,0.25009185,-11.7902565,-0.4379134,-0.55454713,-5.0090103,0.486665,-0.25931263,-1.1259845,-1.511341,0.033266764,-0.1696891,1.1617804,-0.19319355,-0.24624246,-1.8615004,-3.0320926,-0.37733564,0.5621535,0.21406333,5.7382207,0.5737162,-0.22423129,-3.999692,5.358991,3.1265864,-0.38577107,10.473408
0.034685314,-0.108930506,-5.0055313,0.33713838,0.6547862,-5.888189,-0.16924818,-0.95868075,1.4156744,-1.4168867,1.5277936,1.4397451,2.340299,0.34981436,-0.6799036,-1.3486283,0.320357,-0.02145464,0.7942807,0.2914409,-0.18826094,-1.8006011,0.038446475,-0.9186209,-3.2625837,0.42439914,-0.62857336,-0.4221243,-0.9753167,0.09495939,-0.10240271,-0.13220368,0.27012703,0.11614377,-9.964068,-4.378847,-0.25738227,0.7485565,0.3754611,5.3290644,1.3118403,-1.2328333,-6.303117,6.46485,2.696532,0.14233446,9.061109
0.37579206,1.5070237,-5.26813,0.619096,-1.1656923,-4.996856,0.7069169,-0.32724306,2.1191797,0.46615502,1.2681538,0.92802906,2.7155106,0.6815596,-0.91527534,-1.8383113,0.51925683,-0.04491967,0.4913868,0.16770676,-1.0112548,-1.910553,-1.1923218,-0.31446835,-6.1290812,0.5085016,-0.3939499,-0.5739879,-2.03714,0.027066153,-0.016044574,-1.7572242,0.23141041,-0.088077866,-10.722182,-3.7037654,-0.1761972,1.0416899,1.3675021,5.5399623,1.9513185,-0.2999357,-5.7059135,7.6363044,2.302685,0.093668774,9.07177
-0.3179789,-0.72071683,-2.9020422,-6.5877943,0.6209693,-2.8921754,-0.7024883,-1.0058224,1.13988,-1.1536727,-2.4720404,2.0784523,1.1735865,0.53742546,-1.3592331,-2.206757,0.593165,0.12010596,0.07385256,-0.10917343,0.44306365,-1.0793153,0.58599585,0.4517732,-0.4801015,-0.45456713,0.06443957,-0.41066414,-1.7203112,0.15021384,-0.12861454,-0.5971157,-0.31856814,0.6709927,-5.982798,-3.7060943,0.22256728,0.61366844,0.6450362,3.5499592,1.5446881,-0.97733915,-5.943675,7.4860563,3.0363958,0.77405363,9.4180765
