"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
1.678426,0.43774638,0.4845417,1.4624023,4.1404824,-4.0281806,8.300433,2.7216034,-0.16205594,1.4143888,1.82829,-2.7348905,-0.88390666,13.372462,4.0818715,-2.3817382,4.985216,-0.23319533,0.79674983,-1.4179853,-4.4724007,1.4333159,-1.3414727,23.371761,7.321154,-1.8311025,-2.1769738,2.3444047,-1.6386291,0.8951304,-0.17625783,2.393081,9.716951,1.9516792,0.9719428,-4.9755235,-0.4582425,-1.368318,0.7070393,5.9402194,0.2991944,-0.5492215,-1.1837533,3.0674446,14.133157,1.076924,27.130598
0.5565289,-0.06723607,-1.4660668,1.1862977,2.3488848,-3.2996666,12.458884,-3.9792237,2.070573,1.1174061,0.80662906,0.5933241,3.0110312,15.262964,4.028556,-1.6796972,1.951209,-2.6184871,-0.62590295,-0.31108105,7.494502,3.4281185,-0.6099258,25.770515,-3.8890104,1.2550063,-7.938949,3.3636022,0.23838949,0.6175279,0.27481663,3.3371398,8.822643,-1.5687956,2.2597377,5.4034033,7.357616,-0.98873043,-0.6596253,6.9341,-1.11793,-0.4807731,-3.7038307,8.061039,16.533697,1.6500549,27.516973
2.9823844,0.22847141,0.5845153,1.3061672,5.4938807,1.296507,23.52071,3.3884113,8.480782,-1.8354256,-1.390877,0.56787944,1.6742518,13.982719,3.6645868,2.0965264,2.12187,-0.37321845,0.34039494,-1.20402,-8.797501,-0.6692745,2.9063194,27.311321,5.7980714,-3.4721522,-1.2435576,1.4098305,-0.62378854,0.79736644,-0.51244974,2.327931,9.856445,1.1727431,4.653263,-4.827409,1.1304549,-0.7016816,-1.1998852,4.4609776,0.68701017,-1.1625276,-2.3835971,1.5784883,6.1962733,1.6137965,27.48882
1.2112057,0.4317938,0.13435146,-0.40587795,3.8400898,0.42217615,8.219872,3.9206407,3.6492958,0.22116002,1.7518414,1.0192559,7.139679,14.130898,4.7621493,-1.3536633,3.3350902,0.532054,-2.6295178,-1.1187999,-0.32286322,0.595696,-2.1124141,28.134115,-4.2429676,-1.954909,-3.0507474,2.121135,0.203588,0.10231042,-0.24332356,4.6229043,10.685391,0.9745293,6.3355727,-2.671422,2.3185968,-3.297683,0.10813528,5.5739064,-1.0231133,-0.14922632,-0.56157064,4.6258855,15.82393,1.5164576,27.316038
0.9820263,0.32883307,0.06976073,1.6952337,4.2228017,-1.9688112,13.4386425,3.8128984,1.4352599,-0.56860775,1.4329513,-0.1428648,6.2507963,14.146011,5.213089,-2.7379653,2.8792133,-0.006600631,-2.8048725,-1.0319946,0.6021118,-1.15161,-2.0597327,27.46965,-2.5877092,-2.5357609,-6.4635363,2.7595382,0.6522785,0.37195608,0.101101294,3.169584,14.396016,0.38959327,1.8069267,4.1741815,3.0480297,-2.1807213,0.15832287,4.8429675,-0.5562427,-0.54436135,-1.625502,3.6467931,17.990791,1.4019865,26.728048
0.046974692,0.11172648,0.7262748,3.7145467,1.1321822,2.0950537,15.737175,2.4525592,0.81863296,-1.1329088,1.1416202,0.1356659,7.4217744,13.561455,4.34582,-0.37787718,0.26784655,-0.62634665,0.7372512,-0.90485215,-1.4175357,1.1786139,-3.2974393,25.987276,-1.712465,-4.3059077,-1.6195028,1.7343662,0.30641884,0.21708995,-0.23174268,4.2749066,12.13156,1.0458031,4.1227765,-5.725202,1.3871675,-1.283483,-1.4597102,6.0773168,0.5645615,-0.5663936,-0.68390447,1.5440652,15.657238,1.3756505,30.157381
2.529132,-0.67282575,1.4771795,3.1039426,2.816547,-0.91866684,5.741622,-0.051476847,0.70373625,2.517902,2.1615593,-0.63508993,-2.675826,13.379668,4.6116686,-0.78083605,2.178766,-0.72621804,-2.3667908,-0.19798918,-11.191384,-0.75293005,-0.84533286,24.34638,-7.1012936,-6.3522463,-3.8766186,4.3614717,-2.2217016,-0.004807626,-1.9102824,1.5479513,-0.4560817,0.33897766,13.857418,2.7215,5.1843047,-1.411385,-0.42627886,4.6676774,-1.8945189,-1.1100605,4.5021276,10.892722,15.856026,1.5692664,22.47295
-3.1815343,-0.39006874,0.5600799,4.1921797,0.35447222,1.6183822,11.841387,0.5672447,5.859462,2.9395952,-2.4072225,-0.7023571,-1.6515259,13.281472,4.3059855,-0.83180404,1.7034645,-1.3249401,-1.6912314,-1.4328455,-9.349758,-5.0744257,-4.663397,23.92183,-9.92046,-4.465301,-7.57115,2.56718,-0.9754187,1.0520682,0.30188993,3.0826705,10.149886,1.4406284,6.8458414,8.023648,8.69465,1.8412204,-0.66045904,4.243986,0.19206648,-0.24214427,-2.1279922,3.4493256,16.563374,1.8132232,22.19653
-0.5921966,-0.67856985,1.1345224,3.1215317,4.5237274,1.5026956,11.602606,1.6431397,8.535019,-0.51610184,-1.8472424,-0.88859224,-1.5003439,15.51933,4.368584,0.8497288,2.292252,-1.3036999,-1.9617652,-1.8439721,-14.133006,-1.8372536,6.2206764,22.807562,-8.540764,-5.037108,-4.5478635,0.19196698,-2.1186302,0.39041147,-0.45244884,1.704334,11.874294,-0.26619115,12.989529,9.734463,5.6003547,2.0474005,-0.27758914,0.93130046,-0.44463545,-0.2694446,-4.060539,4.3944507,16.659924,2.0627353,24.386974
-2.2553976,-0.5039008,1.7282327,-13.062666,1.5503368,4.379528,23.632864,-6.390453,8.016489,4.4495277,-4.8635287,-0.08192231,-0.013461433,12.217123,3.5934134,1.6599245,1.4515741,-0.35212263,0.76512265,-0.60377556,-15.56221,3.7224944,7.327593,23.192526,7.8218665,-5.722742,-2.7816086,1.1956193,-1.3940394,0.067051925,-0.3179987,3.7410223,8.681432,0.42277446,6.3218994,5.2147317,-0.06424477,-0.024125215,-5.1117535,5.2840843,-6.445831,-0.1612754,-3.1806114,3.3169565,10.244689,0.4021304,23.492395
-0.5561661,0.5738488,-1.262664,3.4107585,0.37247816,-3.7281601,12.233234,2.7062147,4.666419,1.4220997,1.2281377,-0.66678786,-3.5371327,13.179958,2.2560782,-0.5568755,1.7628688,-0.58885044,-2.2125332,-1.477471,-9.543794,-2.5600586,-3.4093611,24.750774,-5.2697573,-2.6537795,-3.8250701,1.7908326,-0.6784849,0.21677119,-0.7024374,3.125825,10.377407,0.63166124,4.1586514,5.8314896,7.9288163,1.0973808,-0.42015657,1.7563736,-0.86635053,-0.090655796,-1.0974088,3.976568,15.5365,1.5953102,24.120964
