"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
55.08255,-3.2147627,-54.152336,245.32545,70.95015,-21.625723,35.76434,-43.59676,1048.5479,1.0239577,1.8468382,-76.14857,468.70126,-106.92565,60.13732,-112.1669,-67.91585,-6.986163,59.300358,-43.882126,49.134144,-219.09033,100.450516,51.75466,-246.74095,173.42598,35.942112,-24.933817,-69.12236,-25.438562,-40.751404,-111.194214,-222.2013,-66.34884,-381.52304,28.272114,145.08319,-10.860851,5.6542606,32.278305,-82.60117,-25.70527,-234.91624,-18.639912,-56.945335,26.191116,-65.20929
13.810378,11.676601,14.556869,413.05307,81.55989,-40.35029,-162.79999,-62.806995,750.80475,-55.35438,57.643448,-159.42448,292.50043,16.335943,49.263237,-13.73988,-56.35366,29.724075,74.00728,-92.475296,44.31738,17.724741,67.188065,95.28123,382.6898,297.98346,86.221886,-61.573364,-74.23162,-23.701462,-25.11121,-69.69641,-167.23235,-9.971022,-359.55478,-48.83801,-28.124065,11.097214,-20.063118,17.87949,11.14691,54.985977,-174.19038,-22.358936,-40.862366,-8.973807,-60.4399
28.38653,9.172835,-39.86758,336.30414,83.2406,-121.60163,53.567276,-42.766068,671.0002,-75.95369,17.542665,-63.52356,382.31747,-39.474518,59.306705,81.06049,-33.98676,-7.3712254,48.817818,-65.02577,61.595432,-375.90872,56.125034,70.65659,-42.650608,216.58644,-130.71431,-25.55075,-34.911934,-10.691532,-22.627098,-117.445564,-281.7315,-78.849754,-315.2359,-35.568512,139.54823,27.271885,9.261162,28.063135,-91.22687,-13.534933,-158.7877,40.20099,68.97124,20.050781,-37.30167
42.61262,14.999612,-15.04706,475.3816,80.97157,-126.44654,-259.15903,-49.049088,740.2204,-50.770035,11.907606,-138.52988,338.66583,-28.760506,40.93249,-10.980241,-27.242838,-11.373104,47.62231,-62.512897,62.653576,-344.7891,21.60871,63.40405,188.05748,218.0958,66.610916,-35.856564,-58.813698,-39.387867,-27.65106,-177.4982,-114.73121,-66.74481,-386.58475,-39.173256,24.304884,38.777008,-0.3888076,17.645777,-4.172113,26.949936,-190.33705,-12.969606,66.400085,17.452911,-69.09215
19.768232,6.9294333,-16.673653,386.68698,82.16586,-130.40512,-210.60385,-38.283413,697.06525,-50.602844,46.894768,-110.86582,373.07614,6.214471,56.158638,-11.378149,-58.142216,-9.420179,37.089996,-47.463203,62.968216,-399.9398,25.667324,64.87215,192.2594,229.959,65.63216,-32.760628,-58.467472,-34.57367,-28.60236,-102.47191,-109.961205,-80.27731,-404.0815,-126.190155,-2.5920177,44.44055,2.1570544,22.080566,-36.684124,16.325115,-194.8886,-13.752909,70.80018,33.32977,-100.63673
-38.07035,18.137117,21.778387,-217.19363,-78.30465,-169.68987,78.88299,5.0107775,886.1457,-5.0348926,-4.7783313,-123.74359,347.9936,-27.453217,65.349556,-53.643074,-69.79692,-7.717621,40.08002,-42.877552,65.7016,-343.06595,-3.5114033,8.71725,139.83514,209.98717,45.948284,-42.463577,-80.960915,-24.053131,-28.407066,-181.38402,-117.82035,-84.44107,-431.86682,13.289186,29.720127,28.951149,3.661888,0.10383994,-38.656185,-25.404507,-197.10033,6.7071643,8.112523,19.632458,-102.32189
-21.014227,-25.473946,-4.2408376,-124.45314,55.13937,-204.4027,-23.413395,16.52656,404.08685,-81.74274,-3.0604825,-85.329346,5.6771603,-108.08842,85.3799,-68.38556,-96.0815,-12.39762,-118.8204,-63.843437,68.73026,-511.13205,-5.3248587,71.68471,246.41972,181.99908,56.248867,-74.47654,-97.826324,-55.356476,-47.369602,77.289116,-323.85712,-33.095722,-275.78555,-165.5026,-43.241207,-53.199406,-30.69485,13.94363,-126.98837,-2.3628201,-166.78966,-25.189493,-56.765766,-17.92827,-149.51984
-50.555702,-13.386753,-0.9307444,-187.07526,34.505688,-187.33116,9.048546,20.624104,7.3570037,-66.304794,13.432542,-78.89168,-14.300167,-92.25479,48.55646,-60.04445,-127.15957,-7.924869,-68.51727,-73.8508,84.78618,-422.4282,15.242802,45.87284,359.14154,200.53055,31.683018,-46.888268,-101.99863,-18.046179,-37.020298,-5.559122,-140.12349,-60.413162,-354.61636,-186.73726,5.1198797,-0.29579443,-42.924164,40.414497,-120.399635,-82.08092,-197.70717,-16.52774,-21.158749,36.600834,-98.67171
-13.007212,-23.66379,-41.814304,-164.4859,34.836952,-233.61804,-43.135765,16.415949,710.32367,-65.31876,2.3846323,-72.58964,2.6202288,-26.091337,42.526894,-52.79109,-80.33301,-9.3447695,-97.17463,-90.924065,9.655749,-435.00247,13.316124,30.812323,259.23465,173.85086,29.554083,-84.63306,-86.21783,-53.97821,-28.011469,-59.909428,-167.67683,-83.26318,-655.90186,-153.10446,-30.569748,-36.412582,-44.594803,27.89348,-96.06114,-42.71372,-175.1996,-18.82293,8.193695,11.216669,-125.051796
18.776201,-11.767922,-173.30339,-255.27426,26.77823,-135.27908,66.60604,95.87371,-221.99242,-66.70073,24.886757,-92.77099,46.13776,-102.6713,62.954033,-11.456144,-174.9541,0.14568846,58.92042,-3.9392476,84.44433,-229.95332,31.581987,17.628235,-20.13598,61.035065,70.22096,-48.038525,-98.73929,-65.14964,-68.58822,-99.19217,-101.97134,-75.96627,-194.90521,-148.62462,45.943287,7.8025293,3.4801743,27.464703,-136.52583,-114.39836,-160.13489,-45.55548,23.989506,34.77885,27.334465
-49.79054,1.8005371,15.132804,-162.28783,16.02421,-51.964554,1.6871527,-9.512613,719.56903,-85.559395,14.391513,-84.96865,-46.27148,-83.45736,37.631775,-75.29465,-76.15626,-11.579513,-99.872284,-70.29515,32.085163,-582.6639,-10.148326,58.088245,343.54712,167.63058,35.976032,-84.07929,-73.555504,-37.57849,-31.486544,-125.61827,-299.29807,-29.491331,-671.50085,-153.83865,-25.44813,-9.822022,-23.191668,16.34288,-83.924675,1.7954434,-200.56471,-18.48291,35.552383,9.997467,-160.70053
10.847839,2.3884525,27.11695,-148.664,17.565952,21.682226,-33.74378,-43.421993,-567.68243,-87.01502,7.9098444,31.273275,-37.00456,-73.90991,103.08777,-32.063248,-136.14789,-14.401121,25.746433,-172.53975,39.96038,-185.50204,20.752752,-30.39302,-353.31793,-65.41426,44.94192,-39.602676,25.951967,-28.088346,-48.133068,20.279108,-456.3835,-43.943897,142.578,-119.20179,96.52415,-11.51038,3.62821,2.6231816,-88.22227,14.561527,-40.309437,-8.07256,-31.83678,3.0397265,-31.298283
-42.68091,8.499242,24.361008,-283.65643,5.700387,3.8210278,-53.392,28.618261,-252.14066,-113.081985,14.801329,122.349014,-124.57361,-116.52118,88.92617,95.60796,-176.87816,1.0000163,40.591293,-139.50789,72.40386,-145.72855,32.653133,-53.86827,-462.68222,-71.340096,41.772923,8.179371,41.614063,-36.24771,-49.51525,-3.5467105,-307.8973,7.081785,-189.97806,-88.19322,123.24487,-0.37679195,6.3621483,67.28747,-81.05877,-67.28702,-75.024925,14.59492,-56.808468,3.720708,-130.71759
