"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.55655265,-0.008870782,0.035993684,0.5005216,1.1311271,-0.2706939,0.272218,2.0177462,-0.28553182,-0.15753607,-0.064142585,1.9476042,4.1408286,2.9020097,0.24060237,-0.19031267,-0.07485891,0.012552867,-0.33307922,-0.48428667,-0.3219309,0.36445716,-0.35180914,0.7534456,0.9774909,-0.025828851,-0.060799465,0.10169272,0.3936393,0.08909722,0.15843348,1.2204738,2.3777559,1.7165455,0.19993484,0.3026317,0.042469308,1.045018,0.8389321,-2.118992,-0.0044605033,0.103359714,-0.49751008,0.2502498,1.2490062,-0.0573099,1.2432922
2.2374513,-0.07974957,0.13323806,0.52717996,0.90095645,0.6644878,0.43355542,3.550673,-0.2979445,-0.05093088,1.4547468,2.9274418,4.243445,3.6545992,0.026229883,-0.17399375,-0.09016409,-0.63754326,-0.6008771,-1.5405858,-0.116292864,-2.1462288,-0.4702535,0.9632253,-0.13379073,-0.0047141337,-0.5467275,0.16810225,0.5798761,0.054939654,0.16532426,1.2351578,1.7660204,1.3641692,0.5264813,0.258524,0.24627544,0.5663603,0.9725908,-0.08562751,-0.15107812,-0.36505067,-0.06532602,0.27840233,-0.012522323,-0.0073836283,0.84539485
-0.5396875,-0.24920909,0.038966052,0.4818857,1.1108314,0.2360071,-0.3064549,2.2345176,-0.24053611,0.11026158,1.4935291,2.1085331,4.4808373,3.01513,0.32273343,-0.16313447,0.05997936,-0.005969688,-0.22160272,-1.073759,-0.5966118,0.11060547,-0.57633305,0.9021008,0.38266766,0.1531552,-0.40988696,0.04894771,0.09254138,0.094777636,0.07853753,1.5054705,2.2575533,1.5541915,0.8518968,0.18411449,0.067037374,0.9944078,0.75675374,-0.017307755,-0.0064421613,-0.095557995,0.025013456,0.057128802,-0.31739452,-0.29964027,1.1948947
-0.2858666,-0.07053574,0.11380424,0.6334461,0.97967345,0.43810946,-0.62987095,2.257005,-0.21016583,-0.025819117,1.6431628,2.6335578,4.267562,3.074384,0.18026166,-0.34621716,-0.03883557,-0.0013251832,-0.16687012,-1.1588628,-0.39015397,0.39686096,-0.37179133,0.9950435,0.27791885,0.07729527,-0.5062273,0.108145356,0.20930615,0.07882561,0.027456257,0.9929021,1.9382093,1.5470302,0.2470906,0.36946225,0.16965356,0.7289238,0.9418761,0.03276108,-0.069775395,-0.097961806,-0.030799687,0.16236988,-0.28439486,-0.22960447,1.2162765
-0.2954313,-0.1323274,0.10088721,0.5811288,1.0479056,0.12041707,-0.13054416,2.5912778,-0.3901467,-0.10730023,1.6190675,2.4746757,4.7566366,3.0064454,0.24237008,-0.36256647,0.0010759023,0.019020226,-0.13361771,-1.1369472,-0.36374286,0.36876717,-0.12851396,0.96716756,-0.14385886,0.07771288,-0.40910774,0.100684844,0.2109853,0.05564917,0.0044962172,0.8905952,1.9091966,1.3228142,0.30807617,-0.2382152,0.19604808,0.8398102,0.94591033,0.0009341587,-0.0761267,-0.11176935,-0.08755957,0.14673425,-0.19240198,-0.26224595,1.1362238
-0.30881897,-0.19562529,-0.026489502,-0.07762203,0.5160622,0.19506283,0.041825972,-0.333136,-0.11873286,-0.15277019,-0.02761141,2.3085024,4.652553,2.757996,0.29882047,-0.30713582,0.0421029,0.040971912,-0.10100053,-0.31009838,-0.104081705,0.44557664,-0.05810906,0.6909646,0.2516072,-0.022193953,-0.10650032,0.044369627,0.06462452,0.037447933,0.00072599173,0.96727616,2.1533234,1.7410377,0.4472342,0.35805154,0.18536773,0.97610915,0.75076944,-0.1620955,-0.0835393,-0.1030124,-0.27874923,-0.037087824,-0.14293644,-0.1318335,1.1287227
-0.47005334,-0.089605324,-0.076456785,0.29545602,0.6889728,0.21132554,-0.27393413,-0.89080435,-0.25411612,-0.07092535,0.14881691,0.8943795,0.9050445,1.9631345,0.23238865,-0.26050615,0.16786769,0.013309596,-0.027480246,-0.31375787,-0.5681545,0.14297058,-0.63313216,0.38563856,-1.0485679,0.07303404,-0.29548573,0.1541525,0.509218,0.040823113,0.16616216,-0.16983359,-1.1805038,0.6108083,-0.9253314,-0.9605866,0.27022657,-0.69144285,0.7524932,-0.17319787,-0.06075113,0.012592566,-0.022790533,0.13403365,0.4777279,-0.0031885072,-0.04863129
-0.57292134,0.10703939,-0.30617434,-0.016294772,0.55475307,-0.3625649,-0.9864879,-1.2547451,-0.3632062,-0.034370806,-0.18385066,-0.4102198,1.2427791,2.1335354,0.1798836,-0.9190386,0.2591713,-0.06738599,-0.04675754,-0.28944278,-0.99592614,0.054403745,-0.30998212,0.47509363,-1.735974,0.08910985,-0.26505625,0.11375846,0.3765651,0.106235445,0.13774899,0.18342425,0.8329449,0.42276773,-0.3440021,-0.7962068,0.27228647,-0.5848706,0.7622353,-0.5547635,-0.074812695,1.0555049,-0.4182462,0.053696793,-0.017497469,-0.093409084,-0.3255037
-0.84669733,-0.085936226,-0.14039324,0.02464929,0.8167789,-0.07459371,-0.12863094,-0.29125956,-0.45753738,-0.051075745,-0.28970227,-0.38306332,0.8106881,2.2275326,0.14029053,-0.53998697,0.15757552,-0.0839408,-0.06757217,-0.27317497,-1.0371711,-0.051651563,-0.4846384,0.2815425,-1.7039292,0.09168536,-0.3100936,0.088436455,0.3162055,0.060648397,0.043723676,0.008412938,0.8210256,0.45999107,-0.09830507,-0.88143367,0.24835896,-0.68599707,0.7977958,-0.51627165,-0.09018252,-0.035684552,-0.3069847,0.06446772,-0.19998838,-0.08946352,-0.0858198
-0.16612116,-0.29140046,-0.39583716,-1.5274899,0.7790943,-0.7618867,-1.0501702,-1.7386898,-0.041198548,-0.23304746,-1.3716667,-0.05892152,0.47432005,2.145347,0.18271458,-0.34755725,0.0032143635,-0.15183553,-0.24694994,0.4858252,-0.7403945,0.58994496,-0.41383836,0.121608324,-0.24380293,0.039173856,-0.53487253,0.03475072,0.17380473,0.07006099,-0.012392115,0.74933195,2.0000033,0.6628415,-0.19933358,-0.4607255,0.053090446,-0.8846696,0.4678918,-0.56760716,-0.1165772,0.48812905,-0.5865364,0.20606619,-0.054397438,-0.22079737,0.7779953
