"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
2.6615932,-0.089956395,3.17613,13.420706,22.377726,-16.302,-13.511819,-21.734056,7.900724,-3.3490832,16.977272,3.8014376,104.89578,57.330074,4.4995666,-44.997894,7.7817316,-6.0767026,0.88833743,-12.075218,-9.489282,-0.7702891,0.70170736,-0.07777735,-24.94848,-0.27000833,-8.071673,-1.2946216,-8.392548,-2.0505636,1.2913543,2.002242,-0.8218432,26.27217,-7.0204263,1.7380296,30.831411,13.741246,28.737352,7.5821424,20.995876,-6.183401,-26.308624,6.392597,26.079111,-7.1790743,-1.1919435
0.2742717,-0.96904737,-2.9993577,18.240753,27.545105,-15.930635,-2.9821885,-43.256676,10.154419,-0.4031776,76.09732,-1.8630333,113.130745,58.07051,3.861802,-20.656855,11.558192,0.04577375,-0.78898925,-33.93846,-1.5214142,4.5656734,0.08657052,4.1592307,25.119194,-1.4357777,-15.267194,-7.0696588,-5.392245,-2.2133677,-1.1587461,-1.635312,-8.592793,4.6497965,3.7915776,0.13227755,60.01997,5.991871,40.03649,2.1116467,-11.972125,-6.854569,-33.84074,3.7736912,13.184169,-3.4207034,18.045246
11.084796,1.9980693,-0.68362737,9.846284,19.84286,-10.372878,20.912432,-6.3494573,6.372349,-31.41949,28.418814,3.489247,108.020546,44.906784,5.5806265,0.6609108,-4.6544857,-4.012737,-1.8700696,1.8737446,-19.174616,-11.648638,2.8964305,4.511946,-13.044937,-1.9509566,-2.1121733,1.6296995,8.657662,-3.3497336,1.009718,0.5838648,9.566659,23.591413,-9.117426,1.8116779,46.94202,1.1573093,30.842302,5.2948604,15.380132,4.05534,-39.07003,-2.197943,-34.873055,-15.250291,-5.6273875
5.363673,1.5637183,0.58689356,22.477222,18.916222,-10.318207,-20.389553,-17.196835,10.875396,-5.034477,41.86836,2.4773383,114.824265,55.39251,5.2021556,-12.216161,6.1737585,-1.2901896,-2.6050189,-12.395548,-7.86956,-3.6177561,-0.87874573,3.5450342,19.818792,-1.178296,-2.8371968,-1.5992295,2.096298,-1.4013941,-0.9484587,-0.8477451,-6.405663,6.6473575,0.89840513,3.0202684,55.415554,12.765258,37.318165,0.7639887,-2.4668114,-3.7592278,-34.13217,-3.082689,-4.1090446,-6.3717017,15.12237
5.2475634,-0.40451974,-0.3254627,12.144626,23.805,-10.486312,-3.1791413,-0.68991804,11.744865,-8.668533,44.575615,1.3006638,113.70372,46.868023,4.9867535,-20.661526,11.352636,-1.1492056,-5.53933,-12.018963,-11.566038,0.3583621,-0.5622734,3.0174816,13.775409,-1.1907208,-5.196742,-0.9950606,0.24884836,-2.0147483,-0.43008348,-1.6938883,-1.3431486,5.0556555,3.7241597,0.41472542,54.776142,11.366459,37.144203,1.0597867,-2.73101,-2.824933,-31.599073,-3.8396785,-0.06293255,-5.9071345,9.401188
-0.867264,2.6785667,-0.050099276,-0.6819083,19.868532,-8.15836,0.74122787,16.336748,9.297482,20.967974,27.382986,1.1782058,114.80791,45.772568,3.5815327,-15.737834,6.605514,-4.148952,-2.4117622,2.9133728,-28.380192,0.29413033,0.035075955,0.23562567,20.232828,0.7590068,-3.782101,-1.4570878,6.710721,-0.9632134,1.9073164,16.611588,3.0708778,15.219567,-4.667062,1.5378268,56.549923,9.259388,39.029835,0.5110634,-1.2165779,-6.3560047,-33.8317,-5.852658,-14.076225,-0.22981264,1.7939467
-3.957843,-5.7612195,2.4662886,-17.554708,14.960542,-11.585837,-6.0205956,1.1633517,1.8368129,4.707077,45.90348,-1.4323201,100.88028,45.444088,4.062522,-22.448793,5.2349586,-2.3990498,-43.287148,-35.933422,-19.457726,-50.734867,1.5542881,2.3995934,19.051006,-2.429686,-18.286806,-2.9505737,-9.4304,-3.4486403,-2.3675964,-4.5204835,-16.430786,-5.734106,-6.5338383,-4.1428323,50.034557,-10.69664,34.10951,2.3065424,-9.643663,-4.3290567,-24.92241,3.4657667,25.936022,-7.4620614,19.80998
-17.999205,-1.2843672,1.4973562,-6.460679,20.496204,-11.754515,-30.782436,13.698684,9.477061,22.89588,-34.314365,-2.4000134,96.41426,50.5407,3.415536,-16.300377,1.573392,-5.8091908,-17.353004,-13.693355,-39.97948,-7.6396847,0.8903792,4.524491,15.977887,-0.6483427,-22.288595,-2.4341426,-10.399198,-3.4146183,0.053145416,-4.2348437,-5.56795,7.538373,-3.6012795,-2.3008509,47.423683,-12.227081,36.316685,-1.3949994,0.7948354,-1.5437877,-37.034477,-5.95856,3.2594085,-4.412482,17.410027
17.537518,-3.4726195,0.9967546,-12.148555,21.226543,-11.8554,-24.329548,9.188933,6.113675,-24.86707,-33.15991,-1.4144845,103.5051,49.09556,4.3436103,-9.817442,7.5497174,-5.670927,-18.05586,-18.332815,-38.43886,-13.201009,-0.7683342,9.222393,24.643011,-2.5767283,-17.855064,-2.9866157,-12.349676,-4.1697626,-2.2429857,-1.9296229,-7.0978003,6.4062924,-4.346572,-0.52328783,46.740837,-13.629445,33.135,1.493537,0.7362256,-4.3715663,-36.433235,4.687147,-3.204748,-3.4278743,17.567764
-30.263689,-5.370267,-21.888092,-52.634632,16.14984,7.5150633,0.99028164,17.722704,9.328925,25.099737,-60.027393,-5.3833733,65.61361,31.874348,2.5643227,-11.827098,2.3740432,3.4564085,-1.0048199,-4.2878222,-32.138428,6.14861,7.511339,5.2170005,1.8687867,0.39425096,-4.3541827,-4.3396554,-3.2751389,-2.7765155,1.2530206,1.3845832,0.9632716,18.305819,-2.898478,1.4025918,51.257607,-5.6183105,30.170822,3.1002076,7.631663,18.741999,-32.13254,5.4685388,-12.686939,-16.237555,-3.229634
