"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.24582255,-0.17051542,0.31581065,-0.017391132,1.8159827,0.30911377,1.9908259,-0.0019688604,0.520204,0.004687352,-0.10188341,2.8555164,4.3011365,2.997567,0.8544136,0.15470186,-0.17194314,0.30768946,0.05673418,0.049097907,-0.12258291,0.04255919,0.3210226,4.821234,0.23353134,-0.020223828,0.06185613,0.07915165,0.14558361,0.09660777,0.052587986,0.25217286,0.70093614,1.9147952,0.4559247,0.019879509,0.3560342,0.54230875,0.8550773,0.0004175872,0.11860873,-0.09015573,0.40335274,0.18847089,0.14543945,0.12304685,0.021772519
0.1865755,0.036688246,0.13698946,0.0011816444,1.7700162,0.39108348,1.4480875,-0.025170969,0.52913105,-0.011650439,-0.14411604,2.8888745,4.8581986,2.691515,0.8538991,0.24122131,-0.23400432,0.33801886,0.017509103,-0.024544079,0.041846313,0.01658172,0.2135323,4.9260006,-0.12421858,-0.051998448,0.18252583,0.15906143,0.21868767,0.07582559,0.028716061,0.4018849,-0.16367796,1.8715619,0.8402841,0.14877938,0.36493418,0.19759628,0.77729183,0.076085135,-0.04024847,0.055382393,0.41192064,0.17129661,0.18955426,0.03605131,0.8144266
0.34927577,0.013249025,0.6826937,-0.23358466,2.0102758,0.75419176,2.6860754,-0.0060200063,0.72865796,-0.008590705,-0.30376613,2.7798717,4.121068,3.1412807,0.73737895,0.48503825,-0.009171782,0.19138446,0.01860938,-0.008397857,-0.35008577,-0.030423423,0.3248426,4.681003,0.27186352,-0.06916099,-0.29040027,0.13708103,0.10914331,0.057302207,0.024195688,0.35050958,0.66804737,2.3001642,0.419544,0.061022177,0.28511193,0.4671157,0.9671865,0.14121711,0.2262573,0.100527264,0.09140092,-0.09684221,-0.4760804,0.09898781,0.02050014
0.24814105,0.017415453,0.46596444,-0.023311859,1.8775194,0.6364165,1.4924922,-0.05529471,0.60814893,0.030731972,-0.15687427,2.646372,4.474556,3.2153516,0.8333791,0.32164654,-0.07318825,0.30892113,-0.0528497,0.01345371,-0.13500491,0.060909215,0.23780048,4.490918,-0.36739478,-0.059640467,0.15292688,0.15430962,0.11292718,0.019941106,-0.008085764,0.28166598,0.4769402,1.9343003,0.737128,0.01692017,0.29843405,0.48226845,0.89197797,0.13287354,0.088895336,0.050303154,0.34485993,0.11138108,0.16041361,-0.06036823,0.35358658
0.31033608,0.023070006,0.40272912,0.009858287,1.8068839,0.66068417,1.7921762,-0.06147036,0.6153109,0.030801078,-0.12328426,1.9843402,4.45234,3.1474297,0.8186898,0.3195243,0.012263601,0.26463735,-0.0056716274,0.02910903,-0.13349938,0.014659974,0.29155818,4.4831443,-0.27152422,-0.03478437,0.15871775,0.26250264,0.17101274,0.016330658,-0.0020986486,0.34181023,0.26163036,1.8808659,0.8942958,-0.4009692,0.28992918,0.5131828,0.9717206,0.19155532,0.054550532,0.10780401,0.34419397,0.10947354,0.167824,-0.050075103,0.65554184
-0.30594265,0.050745845,0.41832426,0.11822578,0.34834865,0.69657683,1.4984599,-0.06172257,0.4158265,-0.07102707,-0.17776127,2.4588754,3.8990712,3.2264354,0.8374008,0.29304513,-0.23650706,0.2673613,-0.05058074,-0.0022749363,-0.14901431,-0.023551438,0.29447502,3.9920073,-0.42114,-0.011094425,0.052781783,0.10661393,0.118083544,0.042159002,0.027888672,0.28619593,0.5244462,2.1505933,0.45429066,0.039961882,0.2866153,0.36687684,0.90688354,0.13334678,0.058690403,0.018244555,0.3203269,0.04135813,0.18119892,-0.07424436,0.24711391
-0.0080201905,0.056468055,0.8754567,0.048032522,0.48247337,1.4061371,1.8016344,0.15655023,0.45920908,0.040515035,0.040092852,-0.1827834,0.9107034,2.1224396,0.75227267,0.48419476,-0.0017550802,0.10899884,0.08965424,0.177659,-0.02922497,0.4083715,0.7542493,2.1443107,-0.082206845,-0.043427024,-0.00030913638,0.2408224,0.47479472,0.2196964,0.12893392,0.24105197,-0.19705082,0.8597403,0.4881293,0.0043475763,0.46227565,-0.50730914,1.1448742,0.09480828,-0.04466968,-0.013375317,0.27007437,0.28596222,0.43828574,0.10118134,1.3905755
0.3976046,0.035674937,1.3624119,0.09665138,0.4499393,1.1893162,1.6250997,0.021548647,0.46131408,0.0012683381,-0.1252344,0.17484812,0.8690144,2.3281677,0.7633779,0.25314432,-0.04340802,0.088401854,-0.07697474,-0.09765427,-0.30557,0.18681146,0.56566435,2.0285785,0.0077944673,-0.06888963,0.3712816,0.050303202,0.15149395,0.11292571,-0.07728854,0.48012897,0.10678261,1.2316511,0.8030222,-0.06550653,0.40466627,-0.24150915,0.83455646,0.07476523,0.03278046,-0.18938741,0.35863796,0.21451168,0.29541135,-0.076135494,2.0016692
-0.05193882,0.02484942,1.2970449,-0.037764966,1.602309,0.6026134,1.4784051,-0.07856091,0.71206135,0.032000523,0.016093073,0.03298356,0.8496745,2.2099729,0.74903166,0.27279025,0.07757111,0.09403579,0.343378,0.007087677,-0.26274604,0.2238546,0.5019683,1.9976223,-0.22840749,-0.09603087,0.11337638,0.14798672,0.39233318,0.124189466,-0.006650585,0.4845383,0.07675301,1.1989421,1.1417723,-0.056259546,0.5337035,-0.74604785,0.9879606,0.15431821,0.038745932,0.045722626,0.42492986,0.24797639,0.3242924,0.007883286,1.0458167
0.14456289,0.24784097,0.17324564,1.2062526,0.6830525,1.6835291,2.0860996,0.37210545,0.31535482,0.041504484,0.08723357,0.055070005,0.69253147,1.7439183,0.69634604,0.38207018,0.50020903,-0.12484927,-0.0019410131,0.084336214,-0.18248764,0.26358005,-0.11957134,1.9386885,0.098131984,-0.0034567995,-0.0686519,0.2508442,0.14510801,0.09474578,0.040730026,1.1559609,0.45729578,1.1998572,0.07382487,0.1922664,0.21832325,-0.08188103,1.030099,0.12729411,0.29350853,-0.05435905,0.076563016,0.3547179,-0.29672277,0.4712331,0.31014228
