"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.017395906,0.051626407,-0.04384528,0.026537383,-0.02734311,-0.49845633,0.63201904,2.7984,1.8665744,0.15873753,0.25822172,1.5096177,1.6560777,4.0155334,0.38172776,-0.43014762,-0.14525127,0.030363273,-0.44569206,-0.32482252,-0.61667323,-0.49463406,-0.07292267,1.2288985,0.44500917,-0.06965572,-0.6589867,-0.063830815,-0.17241503,-0.024503497,0.0035167353,0.13901564,0.2035453,-0.30208576,-0.6233118,0.44392094,1.0649474,0.1535574,0.53476226,-0.121413246,0.101679556,-0.019062545,-0.23404096,0.27144742,0.3556593,-0.16464573,1.3427068
-0.05824935,0.0131489765,0.15680015,0.11863798,0.076446965,-0.07892595,0.4119388,3.876671,1.6294775,-0.6971482,0.0565368,1.4273667,1.4381146,5.0854597,0.3447072,-0.22729553,-0.14957821,0.10787042,-0.3920117,-0.36999872,-0.7554823,-0.5798857,-0.124520205,1.2084576,0.7015804,-0.068473525,-0.48961467,-0.073236585,-0.15959047,-0.069955565,0.00589992,-0.21476126,0.09029165,0.07755077,-0.08469946,0.11731734,0.92076534,-0.020354247,0.5512183,-0.09087618,-0.19170433,0.051933642,-0.2350641,0.25061384,0.44695294,-0.11213752,1.8414891
-0.025383642,-0.011247271,-0.002626484,0.09775311,0.041159406,0.61458856,0.7400392,2.6649566,1.8964407,-0.7483565,0.25032884,1.7124468,1.6527445,4.151366,0.403538,0.21176118,-0.12682013,0.030257704,-0.21264863,-0.02273399,-0.47912654,-0.800593,-0.16643415,1.6274043,0.35177034,-0.04340562,-0.5193909,-0.008781136,-0.009038642,-0.03845525,0.012846716,0.12703548,0.29325053,-0.24630919,-0.3605966,0.3717803,1.3157055,0.027246721,0.5037549,-0.14829102,0.26990506,-0.002146934,-0.097011134,0.14655155,0.0630825,-0.15105703,1.3174096
-0.018062843,0.040441025,-0.12649912,0.23495553,0.127742,0.40667996,0.38172844,3.3300705,0.7693157,0.086143136,0.11408347,1.2435999,1.4272263,4.496544,0.34404612,-0.16534683,-0.14965744,0.03113493,-0.38317,-0.2924652,-0.4137352,-0.6249284,-0.074652426,1.3253393,0.529697,-0.098461464,-0.55943805,-0.032703735,-0.08712753,-0.09547872,0.00082862563,0.019001802,0.17214231,-0.029390603,0.106497236,-0.045587473,1.0938132,0.106234886,0.5359066,-0.03347305,-0.06326152,0.16310756,-0.19854619,0.16570444,0.5070283,-0.11456164,1.6399268
-0.011813024,-0.0023154407,-0.15759909,0.13884012,0.0910584,0.40389472,0.6289731,2.5961022,1.5459107,-0.054685447,0.09268393,1.3927668,1.6349466,4.689868,0.3815007,-0.1352218,-0.095908694,0.036496133,-0.38045096,-0.3235739,-0.49185142,-0.55057913,-0.060458813,1.3205894,0.48714894,-0.12923686,-0.5836219,-0.041777067,-0.12939778,-0.028083261,0.0074668927,0.025355436,0.16741717,-0.053442672,-0.23988819,0.17764366,1.0496573,-0.010559183,0.5005191,-0.0432354,-0.04589519,0.1631863,-0.17273453,0.17341867,0.46872017,-0.11811935,1.5130541
-0.31654355,-0.032158315,-0.09645989,-0.39796895,0.024252715,0.75239265,0.7639706,1.7302954,1.3124132,0.6028704,0.21256568,1.911348,1.5932533,3.8646924,0.39407736,-0.12134711,-0.10309218,0.052492652,-0.27049428,-0.03164977,-0.39421782,-0.655395,-0.11585537,1.4343516,0.51827544,-0.07880995,-0.57126194,-0.013782563,0.13159199,0.01583225,0.03965642,0.07013085,0.18558381,-0.2321821,-0.40102386,0.40769288,1.0963631,0.13009353,0.53550506,0.0038798125,0.10301228,-0.022199085,-0.091885336,0.16442135,0.0024309058,-0.119824536,1.4411088
-0.04226741,-0.15450145,-0.13552932,-0.5103631,-0.1853823,0.9142368,0.5343855,-0.3785814,0.18184082,0.0036234118,0.2258227,-0.29643676,0.98914945,3.6199539,0.32142746,-0.25566933,-0.08412841,0.059356987,-1.3660313,-0.33898085,-0.43018198,-2.9246454,-0.14777973,1.0729538,-0.16779989,-0.15390961,-0.9215543,-0.030038068,-0.5448906,-0.06459359,-0.2311277,-0.12951346,0.06494034,0.070569925,-0.75645673,-0.030617286,0.7088213,-0.3751741,0.2135406,-0.19123016,-0.12412777,-0.16381072,-0.056113765,0.2432319,0.49309272,-0.09844408,1.5276638
-0.27231884,-0.21842057,-0.19186923,-0.18253253,0.08156706,0.9522617,0.42516577,-0.30664256,0.17088242,0.5692142,-0.7354576,-0.10592741,0.70972615,3.0615752,0.30601195,-0.22055939,0.03196825,0.07096557,-1.2039708,-0.3320019,-2.0705566,-2.5453885,-0.25690344,1.2030879,0.17188679,-0.178259,-0.83681655,-0.007696825,-0.44125623,-0.06447519,-0.09824475,-0.30058274,0.1084323,-0.00590018,-0.1261764,-0.10961046,0.52014536,-0.25656497,1.055239,-0.23243004,0.054430027,-0.110165216,-0.24945684,0.1164245,0.4821861,-0.09081984,1.4640188
-0.13810204,-0.15339142,-0.32805255,-0.5372074,-0.2267682,0.5055303,0.5935011,0.9521574,0.13705882,-0.75444704,-0.6046415,-0.16254058,1.5076715,3.742711,0.29914647,-0.20380035,-0.06385814,0.019491857,-0.25839514,-0.055812836,-2.546764,-2.096506,-0.07087192,1.1423807,0.2195388,-0.23517929,-0.8356575,-0.035100207,-0.51328224,-0.08069448,-0.1344821,-0.19164653,0.077662036,-0.0047364156,-0.20154314,-0.043754384,0.4425139,-0.22620656,0.24629557,-0.25992295,0.053307272,-0.26952028,-0.27775678,0.14647578,-0.09971499,-0.18980476,1.6163582
-0.31134644,-0.6191074,-0.019357648,0.09438727,0.9311389,1.0463184,0.89792186,-4.291939,0.5822408,0.2862711,-0.40334156,-0.14916633,1.1642752,2.886579,0.33930516,-0.052190557,0.4807854,-0.058152758,-0.18326275,0.1259276,-1.5007273,-1.0096991,-0.0949359,1.140238,0.16544637,-0.2540154,-1.5314697,-0.12803155,-0.26808405,-0.01666666,-0.011754808,-0.06168849,0.18880457,-0.46769994,-0.36497453,-0.040753834,0.72772014,-0.0050651045,0.34304667,-0.19746755,0.03866735,-0.2348046,-0.32762018,0.19985063,-0.06479059,-0.16721344,1.1981655
-0.21725747,0.02662178,-0.26429173,-0.060537204,0.000973788,-0.32329825,-0.40954918,1.2286063,1.8258513,-0.8068831,-0.59663683,-0.14809535,0.5545837,3.6220317,0.21067818,-0.32103285,-0.101436704,-0.0068999236,-0.6808362,-0.06664014,-2.3174136,-2.361135,-0.2830206,1.1137438,0.27018058,-0.18736307,-0.6574137,-0.1683525,-0.4567806,-0.088026844,0.012180525,-0.16509204,0.11539268,0.041982997,-0.42222542,0.122408,0.8020738,-0.28830343,0.27542156,-0.1352358,-0.008721386,-0.020443127,-0.34537867,0.21379574,-0.10458155,-0.17424956,1.870732
-0.03474002,0.0005546416,-0.061286602,-0.037009466,0.09039979,-0.3336785,-0.297683,1.7052773,-1.1153594,0.5337333,-0.09823031,-0.35500842,0.9467435,3.523792,0.23473361,0.10598829,-0.054822598,-0.0004744361,0.28756332,-0.025623232,-0.316095,-0.27912098,-0.25301123,1.28831,-0.786944,-0.05390705,-0.62296325,0.027116152,0.0024766927,-0.062985204,0.009003204,-0.22155403,-0.06845277,0.11429962,1.1308827,-0.016860709,0.91624707,-0.020499868,0.4423704,-0.0714363,-0.083855405,0.023475189,0.2467911,0.38478217,0.38683635,-0.08221123,1.6912327
-0.42528018,-0.07131124,-0.02677171,-0.2513733,0.28444716,-0.24442002,0.23099896,1.2419937,-0.4193662,0.54900974,-0.37926558,-0.68087935,1.1609368,2.9908307,0.31063792,0.08551944,0.014896363,0.097348966,0.61611444,0.041503467,-0.53725225,1.7200371,-0.1785287,1.3196858,-1.1103797,-0.0038808594,-0.5198752,-0.03304968,0.027122263,-0.09444866,-0.00505299,-0.5810859,0.13714677,0.059242174,0.8327584,0.040872913,0.2069851,-0.16711067,0.26811478,-0.18956251,0.3642355,0.01173777,-0.032007925,0.5472662,0.31202072,-0.10069083,1.2602841
-0.037634496,0.0005655737,-0.061918937,-0.06775873,0.0905471,-0.33379352,-0.29782823,1.7052575,-1.1126391,0.5324372,-0.09781256,-0.356937,0.9463527,3.5256684,0.23425788,0.10597406,-0.05488119,-0.00046340804,0.28743142,-0.023039095,-0.32110852,-0.2787903,-0.251516,1.2863288,-0.7854378,-0.054365065,-0.6232555,0.021190435,0.0044653136,-0.06566299,0.0079553565,-0.2215553,-0.07828677,0.10428738,1.1579095,-0.022477347,0.9306568,-0.020699037,0.43939382,-0.07139513,-0.0844585,0.023475189,0.2467911,0.38470143,0.38681003,-0.085164934,1.6909411
-0.02721204,0.0040656663,0.010265716,-0.11754357,0.101721406,-0.50538766,-0.2571462,1.7211738,-1.1805313,0.47559,0.29024422,-0.24820748,0.95940554,3.81775,0.24130559,0.10599841,-0.062842876,0.008856676,0.27807602,-0.013301984,-0.33710906,-0.38652614,-0.2348436,1.3524134,-0.8048437,-0.053342793,-0.60812277,-0.08416531,-0.20801201,-0.11455086,-0.011914959,-0.4060066,-0.08257481,0.10982552,1.1147994,-0.05012745,0.87743974,-0.03510664,0.44871888,-0.09582072,-0.08201235,0.23483093,0.22618532,0.39997903,0.37725848,-0.07108405,1.7096906
-0.037634496,0.0005655737,-0.061918937,-0.06775873,0.0905471,-0.33379352,-0.2976837,1.7052575,-1.1126332,0.5324372,-0.09781256,-0.35693815,0.9463527,3.5256684,0.23425788,0.10597406,-0.05488119,-0.00046340804,0.28755644,-0.023039095,-0.32110852,-0.2787903,-0.25149965,1.2863288,-0.7854378,-0.054354668,-0.6232555,0.021190058,0.0044653136,-0.06566299,0.0079553565,-0.2215553,-0.07828677,0.10428738,1.1576027,-0.022476029,0.93065375,-0.020701388,0.43939382,-0.07139513,-0.084448054,0.023475189,0.2467911,0.38470143,0.38681003,-0.085164934,1.6909411
-0.051121738,0.20690946,0.06686797,-0.19304201,0.43868494,-0.28878453,-0.1326034,1.0155447,-0.92079175,0.87893575,-0.21193056,-0.21753623,0.90316254,3.202583,0.36862296,0.097717784,0.06815323,0.05715937,0.622243,0.017186694,-0.35176507,-0.5429645,-0.27676964,1.4353131,0.41038713,-0.025023526,-0.60732263,0.14717075,0.01677455,-0.08904791,0.005384276,-0.20000868,0.10008562,0.05008323,0.6450878,0.03665913,-0.2906578,-0.103962444,0.4254797,-0.090712756,-0.55768764,0.083625175,0.69312924,0.383662,0.14086469,-0.38670552,1.5870566
-0.59129566,-0.055530556,0.3217642,-0.30920684,0.2169234,-0.59930164,-0.8567976,1.7839674,-2.1780658,-1.9977572,0.08909485,0.2523967,0.56363916,3.6946633,0.31122804,-0.39744046,-0.0385776,-0.06705753,-1.939851,-0.30010188,-0.49904373,-1.7963743,-0.095827855,0.7971835,-2.062019,-0.06219627,-0.64461356,-0.01733176,-0.30505928,-0.08958813,0.004621726,-0.09957214,0.48359445,-0.25344026,0.28217432,-0.11326881,-1.1621199,0.17779104,0.37670374,-0.090772815,-0.69011515,0.2111989,-0.27947494,0.19511919,0.35693574,-0.16704398,1.400692
-0.22691478,-0.07988477,0.009258614,0.0057922346,0.06211377,-0.86684966,-1.1147337,0.33913574,-1.621382,-1.3989006,-0.3090157,-0.22768557,0.5221147,3.4889112,0.28469267,-0.32301846,-0.09268672,-0.07438629,-0.9250743,-0.3187961,-0.47604138,-1.3315709,-0.19284384,0.82679486,-2.4075813,-0.022664815,-0.64618015,-0.039861284,-0.037842855,-0.08027187,0.042600892,-0.04353351,0.12498195,-0.5283551,-0.81040096,-0.17676544,-1.4145061,-0.32987425,0.3864702,-0.032062083,-0.73629177,0.023309082,-0.4548181,0.23951593,0.34073108,-0.13276428,1.159596
-0.5142528,-0.23460771,0.119840175,-0.22097723,-0.0075000236,-0.9768469,-1.1765388,0.7369737,0.2822411,-1.6801399,0.18334009,-0.26352406,0.41354737,3.209806,0.369827,-0.29480356,-0.046865594,-0.083349,-0.93677497,-0.4916956,-0.4991394,-1.4655739,-0.21666186,0.792693,-2.1669295,-0.03881517,-0.57423776,-0.06739838,-0.04134847,-0.07841604,0.014693797,-0.14777218,0.03527961,-0.580979,-0.65460765,0.25416243,-1.6685898,-0.4926786,0.34728467,-0.04124654,-0.88698536,0.029745746,-0.5847927,0.19809277,-0.09141936,-0.17225629,1.0005392
