"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.9618725,-0.735108,-0.9295926,0.42337012,3.7533817,-0.6275981,0.5220377,1.0195652,4.7238216,-0.39294454,0.5589161,-0.5598394,2.8200903,9.7569065,0.4145217,-0.49395972,-0.9434371,0.20089608,-0.13047491,-0.37278166,-0.12883921,-0.6212233,-0.136142,3.7978916,0.51581687,1.0120901,0.1912878,0.012930348,-0.284127,0.019420875,0.011349386,-0.8215224,-1.8140926,0.5027884,-1.4955373,0.6016913,0.5951121,1.4235401,1.0104645,2.2917762,-0.13836835,-0.03371368,-1.4898481,2.996465,3.3441522,0.030794041,4.644401
-0.26840186,-0.27644336,0.4058018,0.36927974,2.463798,-0.3789734,0.49871323,1.2051833,6.5179114,-0.13564497,0.8306463,-0.45833758,-0.45415977,8.623312,0.35999763,-0.3541754,-1.1863884,0.09309674,-0.19106062,-1.370795,0.41870117,0.2538396,-0.33767483,3.866802,0.295,0.93078244,0.23212408,-0.013031808,-0.14508246,0.58517176,-0.036122352,0.3595643,-1.3511567,0.074256554,0.5010709,0.18255901,0.39220604,1.1694628,0.8837982,2.9593048,0.034643162,-2.993039,-1.7789214,2.7073097,3.4258358,0.12808603,6.318487
-0.33227587,-0.14642724,-0.26876312,0.2600336,3.251775,-0.9231391,0.3644999,1.0479642,5.0889063,0.5208218,0.47333282,-0.2493347,1.1288687,9.387326,0.4028504,-0.0020298478,-0.50905645,0.19515494,-0.65387684,0.565425,-1.0534285,-1.3187245,-0.23938417,3.7273777,0.7393806,0.66656196,-0.067775525,0.04392741,-0.008820383,0.053825293,0.007819774,-0.1519129,-1.2772694,1.0590117,0.5989673,0.37655878,0.53966063,1.1773237,1.0955526,3.16601,-0.016528338,-0.031737298,-1.2275274,1.5538393,2.334495,-0.48696077,4.4885726
-0.6284252,-0.26686978,0.20289834,0.516265,3.8146608,-0.6493705,0.68061626,0.90664613,4.4924607,-0.49972358,0.9088831,-0.23689035,2.1802728,9.813068,0.44550008,-0.3804806,-0.79661065,0.2016217,0.08303402,-0.2865077,-0.30929872,-0.90342283,-0.33735058,3.7085533,0.0012840863,0.9144276,0.43079677,0.037023433,-0.07006868,0.048404172,0.07109607,-1.4342834,-1.5740268,0.4136223,-0.8295826,0.5475151,0.4451587,1.3988309,1.2310791,1.1230587,0.03236952,-0.40630472,-1.6885074,3.223361,2.9465933,0.17026663,5.658994
-0.53458685,-0.1359847,0.08385494,0.31885117,3.7878594,-0.75265896,0.5805446,0.897144,4.5184627,-0.061616458,1.0674695,-0.17877579,2.4289813,10.136491,0.37737933,-0.26700032,-0.7909094,0.027761493,0.020127565,-0.20319289,-0.26738402,-0.8430563,-0.29166412,3.7134292,-0.06459268,0.592926,0.5707659,-0.030927213,-0.16475834,-0.005431424,0.07496465,-1.4078041,-1.6257968,0.43713474,-0.64447993,-0.21633792,0.64628506,1.3017187,1.1959176,0.6298309,0.014324555,-0.42565727,-1.4070472,3.0461986,3.5434072,0.09168834,5.573833
-0.4534864,-0.17295511,-0.027463306,-1.2602772,3.1218846,-1.0533227,0.42215994,1.66389,4.2929325,-0.13169856,0.60779446,-0.2430563,2.6441083,9.516514,0.67020214,-0.34752882,-0.87427944,0.17190374,-0.22700615,0.59179443,-0.47788158,0.10123129,-0.35243985,3.7072616,-0.26028958,0.7972408,0.3144789,-0.17151362,-0.10547096,0.13768105,0.031730514,-1.0690283,-1.3690406,0.8152197,-0.9249987,0.37842545,0.24581659,1.649098,0.9406062,1.3300387,-0.13641137,0.35575408,-1.603095,2.3562374,2.886036,0.24732466,5.296514
0.29950264,1.4279659,0.19645241,0.42623895,3.63679,1.7024825,1.0138675,7.308847,7.522929,0.60900116,1.0103071,0.30009544,3.0030227,10.875512,1.1760371,-0.49336362,-0.6352005,0.34843898,0.369396,-0.11183981,-0.15122928,-0.72477937,-0.013964049,5.0497937,0.6514248,1.3955369,0.6481198,0.33141327,-0.10954759,0.5473884,0.41742384,0.43970767,0.6980572,-0.03509322,0.34830344,0.28546008,1.376682,-0.60131824,1.1027777,5.460877,0.011875156,-0.033255298,0.22480151,4.1841855,3.6979058,0.33847958,7.277355
0.22445694,2.7953968,-0.29079524,0.064681344,3.3350632,1.7960658,1.1572171,7.6521707,7.5454836,-0.02173368,0.4419888,0.38353497,2.5139687,10.395021,0.8607493,-0.10102309,-0.46497753,0.4173357,0.3160421,0.18451044,1.5412403,0.19493899,-0.27368918,5.2652974,0.73014176,1.1657462,0.88453984,0.0741494,-0.15123281,-0.05174139,0.107412934,0.76153725,0.4319106,0.70608443,-0.1549681,0.44055098,1.6629227,0.060588963,1.0937082,4.9387555,0.068158105,0.03126758,-1.2108061,3.5056849,3.677004,0.35195926,7.751971
-0.068585515,1.4861244,-0.18945749,0.79744536,3.93617,1.8712816,1.1806177,1.7524062,8.09969,0.4091681,0.18359026,0.33235466,2.917959,10.677335,0.613023,-0.14618401,-0.34931356,0.76567113,0.39673042,0.33704823,1.8672887,-0.14319956,0.15141916,5.1286654,1.3558547,1.3836092,1.5538317,0.08039653,-0.18793425,0.5718076,0.1946922,0.88038075,0.3411091,1.2234955,-0.07164121,0.93396944,1.6329389,-0.2137585,1.3254207,5.448639,0.06456848,0.38086027,-1.0693681,3.3020775,3.1173224,0.6214116,7.9239774
1.349418,2.7942226,0.14690678,-0.2867704,3.9330938,3.7346084,1.2465283,7.9671025,-1.2323103,0.5730374,-0.90000343,0.5194523,2.2685168,9.81466,1.3635498,0.35146368,0.7430423,0.17228521,0.0037695032,2.0867503,0.9449898,1.155925,0.58735776,5.4012337,-0.039902925,1.4935944,1.4249492,0.67121047,0.87738717,0.4977122,0.154272,-0.23868023,0.3936425,4.6986127,-0.65197194,0.13550277,1.8691764,1.0276433,1.7782584,5.7480736,0.57787865,-0.29879823,-1.5169655,4.859702,1.6244605,-0.906215,3.8783264
