"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.051975835,0.0578716,-0.25014046,0.15671271,-1.4496154,0.009207216,-0.14863315,-0.088842504,0.31925356,-0.12166262,0.12268015,-0.19538514,-1.587331,-4.913537,-2.6163414,0.36460117,0.16783606,0.052689787,0.20621926,0.9106628,0.6104019,0.37569168,-0.07619565,-0.69704074,-0.14714861,0.026079422,0.060862023,0.36667353,1.7019823,-0.016511947,-0.0016350584,-0.04245086,-0.010740086,-0.15241294,-1.160648,-0.46048027,-1.5996251,-0.0024985024,0.0051275203,0.07784954,-0.18227455,-0.029125383,-0.04967721,-0.45472142,-0.24041799,0.031370047,-1.4353698
0.019737005,0.06815336,-0.38474452,0.027954953,-1.5016701,0.013362544,0.05377105,0.17657594,0.23722269,-0.11307872,0.098498575,-0.21413527,-1.5614885,-5.6452055,-2.7210732,0.42906433,0.13192469,0.64013004,0.17569602,1.1356343,0.55268973,0.32959756,-0.109560266,-0.6058735,-0.21564484,-0.035460234,0.06372308,0.3795442,1.7805985,0.008982638,0.0007730603,-0.044338178,0.0124127325,-0.11885114,-1.3547324,0.5847872,-1.5775316,0.06878744,-0.0071290443,0.07452646,-0.19164921,-0.13300578,-0.06573988,-0.41113314,-0.19911584,0.07546643,-1.6785966
0.014446802,0.09394694,-0.42031944,0.14223218,-1.0854849,-0.050608695,-0.122753724,-0.20712799,0.28053203,-0.07674976,0.19764361,-0.2815158,-1.2324353,-4.530034,-2.3228796,0.16939911,0.052755807,0.073831186,0.19126542,0.3267928,0.80371433,0.39212248,-0.15781815,-0.623085,-0.14138892,0.07898696,0.040049355,0.37696236,0.8920673,0.006260662,0.0050533954,-0.021472221,-0.009243158,-0.07487662,-1.1097625,-0.30738056,-1.5303156,0.03215388,0.0038055836,0.06464104,-0.22659741,0.011361709,0.09405734,-0.44479,-0.2027044,0.04277807,-1.6050866
0.05247242,0.07272322,-0.45539707,0.13109891,-1.0720763,-0.06733181,0.020214297,-0.095084436,0.26728007,-0.12222676,0.12734266,-0.20558436,-1.5148866,-4.816912,-2.585077,0.30235317,0.16470748,0.06306689,0.19851524,0.92105174,0.5962208,0.37490827,-0.075844556,-0.58993816,-0.123900585,0.020007225,0.072936215,0.38242435,1.1101313,0.02842594,0.0024160792,-0.033738285,-0.033311777,-0.1690791,-1.1224478,-0.29647437,-1.3961592,0.032866806,-0.004723069,0.077319786,-0.16431011,-0.061132316,-0.042717256,-0.47669634,-0.23300576,0.06976695,-1.7535893
0.04358745,0.081037074,-0.47483778,0.0742126,-1.3883824,-0.05988922,0.06919364,-0.12930804,0.25663492,-0.10937888,0.115754515,-0.19362728,-1.5020455,-5.2979608,-2.5266075,0.3809618,0.16325553,0.06766186,0.1979116,0.93123925,0.58413833,0.3631272,-0.075077675,-0.63232625,-0.10348584,0.014348222,0.07797145,0.3818268,1.1246738,0.029928789,0.0036956123,-0.04568919,-0.036189243,-0.18162425,-1.1477119,0.58186275,-1.3988233,0.039149255,-0.00072129135,0.0763617,-0.15521929,-0.06783795,-0.056588527,-0.4353199,-0.25837687,0.06903225,-1.8549596
-0.03140083,0.08246669,-0.45162135,0.12404978,-1.0740013,-0.07719689,-0.18461376,-0.17518482,0.20456828,-0.1263232,0.20708671,-0.27248475,-1.1822191,-4.297907,-2.4495149,0.27618784,0.21974534,0.08311282,0.2119563,0.3298992,0.71567696,0.34633622,-0.09971254,-0.61568016,-0.13231109,0.015942061,0.07373131,0.36977637,0.7769805,0.0043259547,0.008675091,-0.075715974,-0.023599919,-0.054665156,-1.1045015,-0.48208708,-1.4068466,0.024370993,-0.0052903695,0.06227732,-0.2111857,-0.014388034,-0.040866375,-0.46440175,-0.23430684,0.035797413,-1.3119197
-0.03522585,0.069256686,-0.5060642,0.010221141,-1.5829316,-0.010846521,0.14049245,-0.2206026,0.21454638,-0.12284109,0.123375595,-0.16560103,-1.555074,-5.864757,-2.6101997,0.28834388,0.16051635,0.00088788365,0.2800206,0.9504842,0.5867119,0.2896645,-0.2239655,-0.9272093,-0.059514336,0.051487662,0.23423022,0.3929765,1.7664784,-0.031277377,0.0075698807,-0.040078405,0.023616176,-0.1280382,-1.1909871,1.4622499,-2.0258698,0.24861592,-0.012879024,0.07416616,-0.13084778,-0.0028536774,-0.06704472,-0.43244457,-0.20240891,0.10309334,-1.7239991
0.009176822,-0.0372291,-0.44845834,0.060581423,-1.6291184,-0.12676437,0.0688522,-0.13302708,0.1408276,-0.124792874,0.15142013,-0.024344064,-1.4699584,-5.4740744,-2.5307133,0.3056734,0.06821791,0.077676244,0.28660396,0.86664534,0.76525486,0.3390266,-0.15317376,-0.6852082,-0.08099321,0.009770268,0.06881919,0.35964942,1.996591,-0.02595675,0.0031245765,-0.047933545,0.008193077,-0.1925198,-1.440441,0.63192785,-1.7467116,0.13405663,-0.008330288,0.071871884,-0.11420116,-0.03329488,-0.061147965,-0.42427754,-0.19498663,0.096687816,-1.7009817
0.009230149,0.06823012,-0.46871734,0.060065012,-1.6215155,0.015487888,-0.068283744,-0.15243655,0.23662171,-0.1226164,0.18137354,-0.025290757,-1.4252793,-5.677101,-2.475533,0.31322122,0.006414678,0.19760375,0.42822173,0.8861818,0.7720558,0.35937908,-0.106237866,-0.6111861,-0.098701224,0.10234655,0.06249885,0.57441765,2.057908,0.0009448585,0.0013998997,-0.047044702,0.012889166,-0.20629913,-1.4020643,0.62865114,-1.997388,0.17378993,-0.00924061,0.07184619,-0.14424184,-0.009482866,-0.054064214,-0.43163982,-0.20156823,0.08515692,-1.6257297
0.018835407,-0.113675155,-0.19413288,0.057639517,-1.5385308,-0.0815839,-0.3233942,0.32883006,0.1620188,-0.1382744,0.19815971,-0.020947313,-1.4911901,-4.9662013,-2.223746,-0.27491358,0.03885142,0.061176144,0.21355072,0.04756705,0.7141897,0.32908246,-0.10090314,-0.705124,-0.15213926,0.021807132,0.045982834,0.36576942,2.151778,-0.0026133833,0.0037391833,-0.04518762,-0.03188044,-0.08426022,-1.3499367,0.62716955,-1.7067387,0.09905627,0.003261049,0.09958769,-0.23781356,-0.10095696,0.08662473,-0.37595236,-0.086952195,0.05585293,-1.7903134
0.013860546,0.08700322,-0.52757883,0.047319304,-1.5001633,-0.0056285034,0.044551924,-0.15958777,0.24993728,-0.11752492,0.13385028,-0.034749888,-1.5189414,-5.7833424,-2.5466423,0.35614926,0.047620982,0.0056254864,0.27822286,0.8963639,0.75895965,0.3562752,-0.17687811,-0.70091385,-0.1147325,0.038128432,0.06959513,0.39607468,2.1955664,-0.013632443,0.003495771,-0.046555582,0.013839661,-0.1282472,-1.3337444,0.5897027,-1.9902314,0.086625405,-0.013873281,0.06204538,-0.14566383,-0.0020708365,-0.06105585,-0.44244125,-0.22836703,0.085299194,-1.6154104
0.013939124,0.08457212,-0.4858672,0.11235282,-1.0044888,-0.0405357,0.015233298,-0.054116923,0.14869998,-0.14829625,0.1369424,0.00543771,-1.1478311,-4.570104,-2.1074002,0.30181473,0.05513276,0.083517775,0.23691596,0.95736617,0.6524046,0.1373914,-0.18193886,-0.73486394,-0.061460964,0.014159859,-0.01218982,0.024009148,-0.2597985,0.016508754,-0.002948513,-0.05453625,0.005196726,-0.1364037,-0.90547436,-0.32385036,-1.1824679,0.17395751,0.009148812,0.071968,-0.17347617,-0.028650198,-0.017556597,-0.4737269,-0.23777677,0.11178694,-1.4255596
-0.015290098,0.06589655,-0.53907543,0.032209173,-0.88487446,0.025955042,-0.24519056,-0.06208099,-0.063143075,-0.13948613,0.24927759,0.020815615,-0.7971385,-3.301372,-1.8860054,0.19464542,0.061662406,0.04224649,0.30211997,0.03555915,0.66040117,0.11740552,-0.01120378,-0.7383325,-0.011978122,0.0017150703,-0.04302588,0.033518795,-0.49269876,0.01920417,0.00977226,-0.066515796,-0.07145908,-0.17507365,-1.0622108,-0.41181597,-1.2410325,0.3564088,0.010200393,0.06834251,-0.20737368,-0.017141009,-0.032918375,-0.47774002,-0.3545047,0.11248033,-1.383524
0.013962619,0.08457515,-0.48563862,0.11241678,-1.0044007,-0.0402023,0.015262895,-0.054116823,0.14869998,-0.14853264,0.13663414,0.0055778674,-1.1466045,-4.5673466,-2.107654,0.30109227,0.055082344,0.08351739,0.23691596,0.95735806,0.65246856,0.13736524,-0.18193427,-0.73479134,-0.061461866,0.014103309,-0.012151178,0.024009148,-0.2597985,0.016583957,-0.002948513,-0.054726403,0.0047558593,-0.13575087,-0.88808686,-0.32384557,-1.2021224,0.17395751,0.009148594,0.071968,-0.17347617,-0.028650198,-0.017741686,-0.4736347,-0.23775588,0.11178694,-1.4255596
0.022330822,0.095646106,-0.3843163,0.18282382,-1.4328767,-0.03064643,0.01589814,-0.30569986,0.15261917,-0.12896416,0.13172379,0.012977647,-1.6034567,-5.070581,-2.1077745,0.29376897,0.07923776,0.06202677,0.1661253,0.88816684,0.5205603,0.13066366,-0.16465557,-0.7585438,-0.040706992,0.014342536,0.014672564,0.3831076,1.7279605,-0.0004296472,0.0070738993,-0.03980848,0.028660584,-0.08970709,-1.0683528,-0.3232692,-1.3797296,0.16187795,0.008435793,0.072438754,-0.112122916,-0.06352406,-0.084930986,-0.50374234,-0.1996584,0.09416305,-1.7871624
