"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
60.646294,46.55604,5.9475465,69.306244,-20.160742,280.50226,-267.5977,-86.41105,-468.68768,-74.75211,-32.51964,130.96573,-198.55035,-812.9793,-732.7923,-172.82341,-41.777653,-34.390797,26.398521,59.599186,198.52805,124.77579,-7.440774,-598.4258,133.26218,17.317993,43.17171,103.03317,342.92667,-40.0915,-8.382886,0.32703245,-16.437885,-148.0705,171.40393,-78.922806,-547.3995,46.26553,-33.624523,-234.69785,-42.230103,76.27853,267.20905,-246.38594,-409.8048,-21.860958,-1206.7778
52.449253,51.505833,17.13649,14.504728,-75.530014,300.77454,-49.995304,-62.73597,-457.3374,-77.62463,-82.57626,150.82971,-261.53674,-902.16736,-842.4871,-147.0729,-43.03102,-62.391487,36.324314,47.256233,79.34168,87.71392,39.096817,-744.8865,236.76881,26.334026,47.749146,153.58081,351.4059,-27.284048,4.1088653,-70.246666,-44.59846,-34.655235,178.42587,216.71854,-562.26587,37.782455,-84.22693,-235.02377,34.765903,5.540427,283.28217,-276.46036,-370.6614,-33.315395,-1236.3645
59.485806,15.279931,20.204542,72.203995,41.160126,-34.364296,-314.54,-63.348415,-620.2482,-118.0846,-49.89822,140.61205,-157.31245,-842.1174,-722.703,-72.90501,-59.279823,-70.15937,49.58271,55.416428,271.5368,55.31603,44.050415,-654.4997,235.63808,32.959183,6.7660923,103.82215,128.58168,-32.61067,-4.7081313,-3.175765,-35.884323,-121.85342,168.5583,-92.12539,-536.13257,31.56352,-80.35867,-220.57019,-47.064686,-9.16263,278.13577,46.049343,-181.88145,-48.124905,-1010.42786
56.37097,32.06497,-23.094128,21.283342,6.879724,92.31537,15.643301,-84.8111,-426.36966,-76.63418,-49.927,99.07899,-142.31354,-833.9174,-856.4255,-113.31731,-65.889626,-57.60732,-11.752643,66.189995,189.1906,93.37503,29.361034,-614.08704,311.2442,24.102982,47.69448,129.05576,332.62857,-22.477556,-3.9148386,28.613918,-8.59994,-117.139915,72.46899,-73.870445,-618.9126,39.123264,-73.37177,-232.2042,42.353935,9.877735,305.828,-129.2001,-455.29965,-44.73413,-1246.5767
53.324944,16.35273,-24.485025,50.04317,-35.221287,146.28252,-251.85477,-173.23376,-513.2278,-71.681206,-70.938644,123.120964,-144.06982,-834.12994,-774.3069,-127.1271,-58.71397,-58.074528,-13.441251,56.729534,95.53791,82.109886,37.72846,-679.50995,275.86902,23.805393,51.261,111.25514,301.29422,-23.635868,3.120026,16.216967,-14.102804,-111.34683,165.88458,207.14445,-563.6082,27.069479,-76.849075,-204.23082,35.493874,7.890825,300.1405,-218.00589,-252.37935,-45.395683,-1171.7902
16.17202,20.92455,52.51202,6.3746424,-5.904592,79.280075,-242.64842,-94.70774,-451.3496,-88.10059,-65.85124,126.28082,-177.53986,-842.2877,-771.1534,-65.02738,-71.77052,-42.50549,5.3488,68.49748,237.78549,65.326294,41.292114,-635.64154,272.1409,26.35555,52.297886,90.56893,115.28333,-24.70524,2.4417171,0.7237585,-21.825016,-141.93706,162.55133,-92.610695,-539.0667,48.891743,-73.15163,-180.41753,8.227565,-7.8160434,265.09848,-28.202374,-247.46161,-53.742126,-1109.1727
25.779043,-0.9923414,-47.91427,4.8121424,-142.45929,137.57137,-336.70633,-43.166702,-388.35016,-63.167034,-59.649967,-58.157753,-203.42163,-840.3121,-776.22,-119.51847,-54.104176,-39.950897,23.5327,103.23861,297.20197,303.56058,12.410803,-703.4839,461.82693,38.58319,40.600315,101.83584,414.49545,-35.965458,-3.2636828,-88.31042,-7.253868,-61.114384,-238.14862,329.0891,-558.42755,51.72344,-87.64905,-284.94382,2.4283233,1.0122896,200.27832,-237.13887,-614.92566,-43.120422,-1181.4528
16.426195,11.381793,28.792244,7.2827444,-173.73546,83.16974,-206.00233,-52.646347,-403.18915,-74.456635,-2.8641288,-47.890587,-168.03671,-812.8471,-775.91125,-101.00379,-54.353928,-48.96153,-41.766296,58.465958,346.17206,61.143658,46.915443,-684.5888,292.60214,43.201725,39.213863,62.366783,407.50552,-37.721207,-15.4888115,-36.383263,-66.04662,-147.08344,74.27415,302.99146,-575.3903,24.183443,-88.39173,-267.62595,-3.6330535,48.146366,273.55905,-213.61635,-507.52756,-54.50669,-1291.1086
33.868076,-9.77413,-29.995039,12.910315,-238.12912,105.562515,-46.16587,-69.84277,-390.65814,-67.97529,26.556023,-44.6423,-174.3174,-891.1648,-878.86835,-106.69714,-47.23726,-119.02773,-34.395756,89.05355,385.58414,98.42721,28.622849,-746.2354,278.8878,35.03697,38.886974,152.36781,463.15897,-30.195435,-7.773522,-43.305477,-55.538754,-152.02472,-90.253006,279.26266,-607.87744,25.569475,-92.92763,-280.3367,38.85527,-11.528796,305.5658,-215.56671,-529.35095,-56.20204,-1099.3793
-25.542038,-23.121696,51.34038,55.73774,-196.42757,-173.71672,-307.47647,-48.172268,-473.12845,-80.28605,174.0572,-82.793846,-128.58939,-858.6479,-723.25,-21.080849,-61.124355,-39.84449,21.256134,43.79722,325.8945,-48.426723,-41.707726,-703.6454,268.9692,20.330553,-5.267837,54.269215,491.04147,-31.903852,-0.4326909,-64.397896,-35.06985,-153.71931,2.5887291,273.49756,-530.5633,3.0285568,-22.06193,-283.42337,-51.0954,6.3039074,258.09833,-175.93878,-466.34866,-33.31086,-922.87
