"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.07280547,0.0590851,-0.050267447,-0.03287126,-0.16611834,0.0718892,-0.169551,-0.0095701935,-8.46327e-05,-0.008994692,0.12160087,0.0033152231,-0.61032265,-0.7650647,-0.74724215,-0.2982296,0.13938114,-0.011722675,0.008236005,0.17974952,0.07142118,0.07371074,-0.007706296,-0.11878799,-0.007492597,-0.036882933,0.008212776,0.10746392,0.43644735,0.008109929,0.014347776,-0.0019833338,-0.0046173646,-0.05282449,-0.22036004,-0.13375835,-0.07391066,0.018722365,0.010769063,0.059038203,0.011083799,0.008249037,-0.024088835,-0.036899287,0.019798104,0.043464668,-0.339653
0.074113525,0.058324438,-0.12990871,-0.03992916,-0.17164895,0.052739967,-0.049717434,-0.00935525,0.0034296643,-0.0095085725,0.15371215,0.0016658095,-0.651326,-0.8734217,-0.7742822,-0.35720453,0.1262211,-0.011364572,0.008813672,0.32812694,0.073716454,0.016523903,-0.0096536055,-0.15029764,-0.0052960645,-0.053723052,0.013507224,0.095798455,0.47471932,0.008538778,0.014132304,-0.0034539145,-0.0011697593,-0.024575934,-0.25679287,0.1282495,-0.0847994,0.014862061,0.0113060195,0.06666676,0.013951955,0.0119648,-0.025222633,-0.06234463,0.019056858,0.04362175,-0.4412163
0.07745115,0.04123539,-0.07487833,-0.010752075,-0.19987588,0.016809462,-0.23111326,-0.011455292,-0.009301606,-0.006762476,0.12291506,0.0027439673,-0.5859114,-0.74220693,-0.6698823,-0.10622259,0.114455305,-0.012006354,0.01193843,0.045235373,0.077612296,0.07568289,-0.007038316,-0.10954267,-0.010352658,-0.037673447,0.008274597,0.10883515,0.21115322,0.0076066614,0.011783482,-0.004871977,-0.0031307987,-0.044438638,-0.17504168,-0.039420553,-0.046722908,0.018548138,0.010786692,0.076333515,0.023620414,0.010418843,0.0012671079,-0.0334777,0.01936376,0.04409651,-0.34877393
0.07024839,0.05731849,-0.08154204,-0.026665686,-0.17956424,0.0042104293,-0.035223674,-0.007062708,-0.0019621402,-0.009417828,0.14386389,0.0038521641,-0.5942445,-0.6998645,-0.7735669,-0.34861383,0.13747199,-0.012595154,0.0073962063,0.18108816,0.07797053,0.07565317,-0.008774818,-0.123714216,-0.005876706,-0.03744039,0.008198643,0.11058764,0.3765001,0.0080751255,0.0124339415,-0.0016576975,-0.0031126793,-0.05195466,-0.23981214,-0.053493984,-0.056745365,0.018503226,0.010609832,0.06271312,0.012047006,0.013758232,-0.0256437,-0.039992906,0.01922256,0.04374149,-0.41956314
0.07462237,0.052196734,-0.08151687,-0.026212478,-0.17264162,0.042163413,-0.13962595,-0.0207653,0.0031830715,-0.007941264,0.1234321,0.0041510276,-0.6231789,-0.8585581,-0.7630636,-0.349225,0.13993998,-0.011442144,0.0074276705,0.18298474,0.07819779,0.07932424,-0.0084247505,-0.11697422,-0.004829483,-0.036388457,0.013494024,0.1110564,0.39421976,0.00810098,0.013691943,-0.0018145355,-0.0030880133,-0.052853454,-0.25086522,0.13631369,-0.07655407,0.015282806,0.010694485,0.06628083,0.01275346,0.011713579,-0.02434577,-0.039454162,0.019411854,0.04390372,-0.35740346
0.042965908,0.03863145,-0.075595036,0.011284169,-0.19914566,0.014022805,-0.23302153,-0.010329593,-0.008127797,-0.009604505,0.12344464,0.0037127747,-0.54328376,-0.60970914,-0.6141611,-0.1961855,0.14537418,-0.012895112,0.007770952,0.0480718,0.075678885,0.07555004,-0.009271614,-0.11781473,-0.010021649,-0.03774362,0.0082298,0.105914965,0.18062145,0.0074354047,0.0118696615,-0.004864411,-0.0034012196,-0.0439086,-0.16914223,-0.11691233,-0.055459842,0.019346861,0.010822514,0.048901495,0.023643708,0.008562472,-0.017233497,-0.032757714,0.020810792,0.043563984,-0.32831636
0.0733083,0.053933766,-0.099038236,-0.009205408,-0.19575652,-0.0068831025,-0.1409474,-0.020589191,0.005413137,-0.005477872,0.1284989,0.0036161134,-0.57078195,-0.91794896,-0.7726129,-0.3212792,0.14031303,-0.010605981,0.00712208,0.17832835,0.07894069,0.077343814,-0.007904022,-0.11785626,-0.028717196,-0.05494122,0.013375388,0.091990754,0.45632502,0.008436503,0.014783217,-0.0025759614,0.0090489155,-0.022237778,-0.27695933,0.20697072,-0.09609927,0.019663282,0.011316727,0.06692372,0.010741275,0.009383024,-0.024201928,-0.039764445,0.01872778,0.0437343,-0.36845598
0.039633818,0.04063941,-0.07108439,-0.0027711366,-0.1955172,-9.6097676e-05,-0.14890589,-0.020478124,0.0062911357,-0.00698184,0.12154903,0.0028678176,-0.60740834,-0.8876048,-0.656425,-0.32015005,0.13646436,-0.0011257883,0.008065667,0.11102186,0.07863753,0.07968231,-0.00774015,-0.110503174,-0.028022021,-0.03788415,0.013350833,0.110176094,0.46194342,0.008180896,0.014023863,-0.0033420126,0.00028918858,-0.05122938,-0.27956444,0.20206895,-0.103318326,0.0147759495,0.011278256,0.05272674,0.011690994,0.007490435,-0.037613932,-0.04542593,0.018584602,0.04380126,-0.35466772
0.072738,0.056366622,-0.07051266,-0.0036951657,-0.19526638,0.00011104537,-0.056089185,-0.020411326,0.006859437,-0.0051880814,0.14406736,0.003263047,-0.6034446,-0.912742,-0.7173209,-0.3395309,0.13690723,-0.0011159604,0.008956921,0.1095729,0.07794555,0.07953508,-0.0074508074,-0.109320834,-0.028379181,-0.037851065,0.013501724,0.10968252,0.4733872,0.008192687,0.0140426885,-0.003935599,0.0009920539,-0.052051634,-0.27856705,0.2034922,-0.12307038,0.01724005,0.011384293,0.06686002,0.012032883,0.0072319056,-0.029326426,-0.04528277,0.018487042,0.043981697,-0.43891189
0.0017180432,-0.018638907,0.006918123,-0.004529932,-0.19008803,-0.052140202,-0.2684179,0.06509237,0.005900496,-0.011844399,0.088670634,0.0038675466,-0.5598302,-0.89556766,-0.4839409,-0.15884669,0.053165916,-0.0012219024,0.011422431,-0.0777274,0.077044226,0.016568951,-0.0003154052,-0.088869005,-0.0030180172,-0.028686773,0.014389098,0.10118501,0.52598894,0.000716931,0.013484704,-0.0020870166,-0.009566107,-0.058105327,-0.23742676,0.1279925,-0.083162755,0.01504235,0.0113008255,-0.11531818,0.018324764,0.002395256,0.0009096848,-0.032048907,0.019919194,0.09518379,-0.2738088
0.03985109,0.05981005,-0.13105352,0.0013435762,-0.28254622,0.034872863,0.031865362,-0.020499738,0.007506388,-0.0038401564,0.15352005,0.0038314213,-0.63958263,-0.91806054,-0.6941062,-0.33860105,0.13303666,-0.011244583,-0.0017940667,0.11007448,0.07239752,0.08005325,-0.007014986,-0.1177965,-0.026279492,-0.053019937,0.014543631,0.10752601,0.6008359,0.008209455,0.013779178,-0.00309177,0.0010090104,-0.024244826,-0.2796014,0.20315473,-0.15308288,0.015201766,0.01134738,0.050697215,0.0112422835,0.009140916,-0.025276663,-0.043341603,0.012212971,0.04381563,-0.4392933
0.055770006,0.05574855,-0.1062132,0.0069433977,-0.18151651,0.06716226,0.04711936,-0.008346471,-0.00620382,-0.015352324,0.15649906,0.0036450615,-0.4948188,-0.78908294,-0.67833674,-0.22300933,0.057666086,-0.0014588856,0.01403689,0.045222994,0.07306521,0.019507324,-0.008537987,-0.11660192,-0.011502061,-0.043629322,0.014916474,0.06391422,0.095077425,0.0073174215,0.013663038,-0.003834995,-0.0015745925,-0.013325448,-0.18693736,0.10284639,-0.07823962,0.018680248,0.01090011,0.06446466,0.014484873,0.01044723,-0.029058399,-0.034877576,0.013602298,0.040229075,-0.42307216
0.0400428,0.042744413,-0.052502386,-0.006082184,-0.16445966,0.057521608,-0.040584967,-0.0071267514,-0.0059856055,-0.008192379,0.15031306,0.0043960223,-0.4636204,-0.5740455,-0.5657935,-0.03677304,0.05711916,-0.0018343407,0.0108869225,0.029581478,0.07186205,-0.015735382,-0.00724189,-0.09012609,-0.011537512,0.010835085,0.008461836,0.058175437,-0.15355766,0.0076984675,0.004702685,-0.0047592972,-0.0034214093,-0.05865316,-0.18552871,-0.100548975,-0.06087797,0.020009981,-0.0007423747,0.049726937,0.018563123,0.006088085,-0.036977984,-0.02792288,0.024829915,0.040084172,-0.41152722
