"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-27.2363,-62.05191,-94.085075,27.93203,15.050132,-87.71562,-470.67575,-11.929151,-185.47995,-26.360624,-82.32118,127.20887,118.13453,111.566925,168.0057,-104.729866,20.689653,-0.79926336,-154.26373,-128.41386,-32.490818,-131.1855,-4.4910016,-9.775598,-39.821083,-30.696442,-11.807754,-12.7020235,-127.37893,10.352357,28.471884,-25.466118,-38.64376,6.098128,-229.81061,59.127087,-34.086014,0.75733006,62.666344,4.6945796,-114.13849,-11.406067,-153.70966,-19.781998,-32.902603,-90.42996,-5.995289
-210.48187,-21.568422,-3.0705824,24.168242,21.956242,-152.42389,-49.842796,31.933266,-206.19514,-52.660347,-79.335045,47.64554,67.220955,96.766075,210.4736,-96.684975,40.946472,-2.2320864,-44.43938,-289.29584,87.326744,-331.02368,1.584863,-16.983564,31.519142,-0.6325463,53.016407,-12.334453,-122.88741,2.391692,27.995192,-156.55048,-106.22811,135.11592,-104.94019,89.42704,-2.8577125,47.02803,42.757195,13.773265,-107.16814,-48.40361,-172.70695,-4.3237906,-24.742085,4.4528646,-38.282585
-44.615814,-9.440746,-51.2052,22.250816,8.517286,-210.15761,-261.91522,-46.331947,-212.04068,-124.42666,-151.78735,128.21693,104.9981,154.73096,194.25218,142.32774,18.514465,-6.4030337,-141.23604,-158.28403,-31.107597,-95.65764,-29.762493,11.352719,-49.841854,-12.444424,-65.23705,-3.4636025,-165.07509,9.182737,-12.189824,1.0595349,-49.32012,-12.270494,-279.1455,51.602333,-32.206722,17.800272,101.375725,13.463556,-125.65909,-34.479614,-212.7715,-16.47178,24.64034,-75.819084,66.84046
-32.160725,-50.086143,10.244887,28.965282,17.631882,-144.5075,6.4453006,-38.246403,-169.89195,-91.72643,-130.50925,105.69168,156.29158,138.35596,226.4798,14.903503,21.000607,2.3028502,-130.62451,-179.41797,-30.40854,-295.03876,7.8116074,-30.12912,3.6639225,6.042375,24.215073,-6.5706964,-99.926895,-5.824083,-11.198338,-102.82052,-135.82071,75.0116,-295.05212,62.00354,-5.105236,14.140056,69.7383,17.346403,-116.226425,-29.92667,-215.07043,4.5315733,-30.667889,-20.309816,3.1937463
-26.174261,12.839769,11.211394,20.217617,46.100986,-160.0439,-282.2522,-25.527779,-165.08801,-86.14806,-81.28676,101.273895,125.49214,141.56818,197.67935,-7.514062,22.770498,2.306702,-130.45233,-185.67314,-41.320164,-144.12738,3.843407,-23.064293,6.820699,4.139715,32.889713,-6.4267216,-156.19066,-8.312132,-8.541676,-122.89827,-114.03123,136.19739,-256.25775,12.609797,-9.715922,23.583097,72.07674,14.91337,-109.98693,-39.613422,-206.1735,4.008093,26.86559,6.317456,-11.192066
-56.49148,4.8065186,-25.419567,-23.44756,44.268684,-93.572,-283.485,51.97265,-161.18001,124.85134,-182.04764,99.36341,90.104805,149.42578,152.94647,122.1239,44.220245,-5.6510725,-127.20235,66.23987,-63.273457,-93.70891,-18.527925,-20.290863,29.382927,1.469552,-6.8140264,-4.8781447,-207.05359,-10.653238,-8.369374,-37.096783,-56.272686,-0.35910797,-248.97821,47.677513,-40.90825,22.203825,114.02796,16.251152,-127.96632,-10.688551,-203.45068,8.89508,32.32979,-23.566288,2.700181
-38.995426,-0.6361516,64.44283,-12.682133,7.649011,-268.17386,-645.4276,-93.00116,-176.02686,-49.84517,-68.51989,-25.80064,101.81365,68.15316,183.9865,-34.88583,11.71166,-11.247072,-134.61731,-238.8926,-37.39583,-163.24377,26.11064,-35.972885,-36.38847,-54.21388,31.648293,-28.628517,-285.3718,-9.042016,-2.9492795,149.79999,-225.91908,82.93354,-143.05917,-190.76108,-10.370887,-145.66214,33.23749,7.416601,-125.60934,-48.174133,-232.8358,-9.280397,-30.456785,6.0326824,-328.3739
-53.6552,-88.15555,-162.35188,-43.379883,33.70317,-164.50578,-263.15912,-102.99332,-128.98154,-39.85554,-64.33403,-41.195637,188.76103,77.89753,165.36047,1.9142779,11.905781,-3.8873014,-193.20041,-205.29446,-92.44386,-173.97551,0.351545,-48.576942,-33.13883,-33.08118,22.989449,-17.95842,-267.30313,-19.690496,28.848328,-202.13208,-137.99744,129.62527,-288.96725,-227.98334,-35.884968,-197.17302,49.02682,-4.848018,-159.6045,-14.2811775,-224.92188,-0.38774824,29.967054,-48.112427,-126.84278
-47.514736,7.955843,-146.56857,-17.875507,32.217636,-209.75029,-206.79578,9.001537,-196.47829,-104.28702,-78.04615,-39.44981,121.69088,77.09534,199.29355,-31.72288,15.226668,-6.7284417,-163.63614,-199.42967,-108.849655,-173.42052,-16.037249,-22.439102,-30.259205,-95.47034,48.065258,-15.149226,-273.42923,-5.7761097,24.226042,-213.38759,-152.94899,89.60888,-279.4069,-241.66652,-45.25512,-261.5234,58.12724,11.259932,-116.9169,-20.601995,-223.55203,-24.425175,30.023981,-42.097694,-79.90747
-92.572205,-91.58344,-141.7974,-137.06898,-16.247461,-115.29216,-211.51767,-231.63692,-261.34708,-96.55834,87.14767,-51.906364,94.28578,40.378407,228.38905,148.60587,24.577026,-1.8354934,-261.26535,65.644844,-121.59052,-121.98124,-17.125412,-18.210669,-48.014057,14.900421,19.196068,-17.03568,-176.25252,-15.475179,-4.2616587,-163.79767,-127.94444,-28.07644,-274.9254,21.58864,-13.379987,-219.15141,90.084045,-23.421219,-203.26292,-77.023834,-174.51463,-80.913475,27.698568,-108.98385,-284.96564
-63.58128,-99.75511,42.550316,-17.480806,22.187963,-171.53104,-43.334892,-6.423416,-198.88754,-85.50263,-84.78818,-33.76365,195.74268,77.940125,191.94249,-129.12936,-0.30741465,-2.9259813,-185.68768,-201.96155,-127.8624,-380.6475,0.08053241,7.738579,-28.390987,-84.01725,54.547268,-26.572578,-230.41127,-9.4481,-24.303835,-241.62158,-127.70709,101.99754,-246.10353,-146.71223,-41.490726,-231.54214,37.853863,-31.232658,-113.59297,-41.94847,-280.77582,-7.7448997,-35.46991,-35.638027,-81.855125
-31.975967,2.3179398,28.708685,-19.044312,18.707008,-70.38251,18.033422,-46.48223,-76.84296,66.93354,-50.885635,1.9446882,148.91982,71.73205,249.21634,95.96539,15.169044,2.1135302,7.866148,-143.45715,37.743797,99.64795,43.484474,88.33691,-77.65744,20.473629,57.519714,-9.815693,26.880056,-14.513248,-14.917414,-99.63866,-97.628204,104.68691,-58.148407,11.13907,-60.902927,-139.14258,65.98899,18.26324,-173.03194,-49.441517,201.46161,-14.607665,19.447716,9.464606,12.445564
-50.748356,-15.018082,-52.14716,-41.56908,70.60026,-143.4915,82.48131,-66.03902,28.678425,153.1337,-8.45064,-25.854273,-95.946915,45.270954,189.72156,103.08438,36.42281,-2.0763097,53.48603,190.54485,11.790707,265.36768,26.18677,137.64046,-173.35379,13.447272,3.8807907,-11.994898,43.50149,-12.358173,-10.493281,-97.705284,-9.689856,125.32602,-145.27669,65.645996,-88.19897,-122.69267,34.758522,8.713068,-140.12589,-31.297125,-97.111946,1.7328496,6.171758,9.939748,37.00367
