"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-24.125454,-11.67576,-3.6395247,-10.490268,-9.979347,-2.8202145,6.47323,5.570005,-1.3112656,-13.832098,-6.5271935,-30.266771,-19.211786,7.7556043,-10.839401,15.731872,-9.7633,4.1703568,-0.5403168,5.5890894,-1.3443209,-11.658293,5.414761,36.00184,-6.351687,-2.137759,-1.0871806,-0.3181745,-2.7360322,3.8042676,0.40508947,-3.3766596,6.0900517,7.868314,58.569874,1.0314834,-1.7648947,0.22337468,-2.53871,-0.15581374,-0.6443038,1.0880013,7.795965,35.37312,66.35322,2.5536752,163.36684
-26.06268,-12.476342,-2.4843028,-7.2554517,-14.624778,-2.1929603,7.988097,-3.9115045,14.404428,-12.798401,-5.3651724,-20.81242,-8.19138,10.044018,-7.0773115,16.87761,-13.217627,8.813957,-1.3810421,5.907773,0.47561237,-14.450358,4.6205735,26.979158,4.2868624,-1.7377003,-0.60515594,-1.6186521,-4.5632796,1.9858981,0.22183827,-1.284885,-1.5344836,-1.0625284,54.973682,-9.327495,-2.061756,0.074250035,6.957457,-0.15848568,0.19099376,3.9033837,8.074126,38.18867,63.60945,1.693401,158.51251
-37.937374,-8.879198,1.4904397,-8.484515,-8.326347,-2.1554396,3.807516,9.642016,-5.531511,-9.9577055,-8.192966,-20.641558,-33.430733,10.171879,-9.914614,3.9254143,-4.740242,5.202417,-0.5299369,6.769972,0.81229,-2.3690941,6.3957233,37.049477,-5.23482,-4.7833138,0.15246882,-1.3454909,-0.74518526,5.067563,-0.3667311,-3.7476022,1.9119278,8.189821,56.305916,1.6672814,-1.2825079,-3.0430827,-3.8714373,-3.7089407,0.37002105,6.6159964,10.247075,22.895851,-12.762452,-1.4848953,150.3882
-25.461123,-10.54766,-2.2049584,-9.803417,-7.485376,-0.52976906,7.063903,6.1716137,4.732181,-12.0551605,-9.152023,-24.684132,-10.147068,9.256075,-6.0415535,18.052654,-8.419025,5.227799,1.0444382,5.1360283,-1.4389913,-8.0764675,4.8486285,34.401558,-2.9299498,-2.7465973,-2.4066172,-1.9780118,-0.5096991,1.5167902,-0.39022577,-4.750437,-2.3458064,6.0144873,51.483402,2.540703,-1.4844885,-1.2016704,3.3227978,-0.63847,-0.7987454,4.9010415,9.839621,34.910862,62.79866,-1.5950019,149.24487
-23.111998,-7.5009966,-0.5824691,-8.874541,-8.642268,-0.8148307,3.2486455,7.746982,6.549592,-13.246292,-8.741453,-21.926746,-16.806362,8.264185,-7.6725445,16.532324,-9.745796,8.532964,2.8752477,7.8078136,0.57247746,-8.790586,4.17241,36.247932,-4.613269,-2.2400954,-0.37636086,-2.136433,-2.048951,2.2878752,-0.18236114,-3.6817462,0.6986103,0.371304,54.410843,-12.512328,-1.0181202,-3.7911975,3.3472903,-0.14179625,-0.5513833,6.1219325,8.930393,36.354015,63.477024,-0.9422364,154.2489
-5.965561,-8.1467285,-2.0576568,-2.962159,4.1216,6.7226286,5.942385,10.106161,-8.135185,-5.962674,-13.928098,-20.524815,-10.710989,6.902626,-4.062764,14.272195,-9.36681,6.4297314,1.1306963,4.5264206,0.4115967,-4.0511937,6.6946115,35.279686,-7.7014375,-1.4694107,-1.3857769,0.036768682,-0.72330225,3.6048524,-0.1346421,-1.8544372,1.739223,9.80138,60.2577,3.9652998,0.3155883,0.18359888,7.4070687,-0.6144933,0.03465819,3.3628538,8.321842,36.60558,61.558334,0.7362801,162.37958
-17.479404,-3.464418,3.4772666,-4.556286,-5.907593,5.334605,6.899555,7.769441,28.682531,-12.754542,-4.997649,2.0263896,0.43603888,16.077908,-2.3330545,16.191006,-9.683306,6.8213563,0.2951486,7.776712,1.0127935,27.112444,3.5990207,38.712173,-0.11128123,-9.553585,-3.6283417,0.52175665,-5.8514647,9.459718,-0.10639817,-1.666159,2.6369982,-5.661327,42.899155,-16.070684,0.955832,3.6648545,8.435785,1.0314051,0.6302729,8.375632,14.788054,40.88949,65.86533,2.1671803,159.19902
20.095589,11.323373,-0.6256859,-6.463273,-5.9484177,5.0107274,11.479082,1.6136637,24.070415,-11.980068,2.9724357,1.5835055,-3.7934537,13.858291,-9.060248,11.790694,-9.127437,3.816306,2.2441728,5.0308537,1.4956969,14.326088,4.617104,38.978695,-10.973858,-5.4333014,-3.1819408,-0.34369275,-8.621109,3.6351259,0.53756785,-3.9401634,-0.15278292,5.170295,65.85959,-28.932484,-1.2685575,3.991881,3.2112217,-0.12210099,-0.7790503,1.9699286,12.450872,41.17873,65.511284,1.4212375,161.3498
-18.94982,-3.4751487,-0.5339415,-7.456896,-11.407243,2.5508392,13.7747,10.781571,2.4533522,-8.742647,9.925904,3.1114714,-2.216175,14.905761,-7.8989434,13.0176,-6.6092205,3.0958848,0.13529497,5.883898,0.92134154,7.0617647,3.4640288,40.95023,-1.1262015,-9.037924,-0.70491356,-0.40175685,-7.731261,12.362238,0.99209005,0.2516618,-2.1380274,-0.107804745,63.929264,-21.599781,-0.20053686,5.655337,9.562685,1.0804499,-0.5340567,4.7737603,12.258942,36.558735,65.813385,-0.28577146,168.02992
21.335922,20.489315,-2.0734088,31.214281,-4.644915,-3.0970895,11.056711,-11.352076,11.809462,-9.746427,1.4871287,3.5835845,3.5035179,7.186944,-6.7129774,2.491134,-1.0561255,7.5442433,-0.0068058693,-1.2506593,-2.5658464,-16.20755,3.168458,43.516422,-12.998025,-4.327897,6.5062423,-3.9980652,-3.8673463,1.7337843,-0.14588276,2.8605998,-0.56810766,11.245276,76.56985,-8.440914,-1.4306183,4.969293,1.6017842,-1.0598255,-2.0901675,-1.4339119,12.022321,39.973625,41.399063,-2.7201688,164.49738
