"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.304182,-2.571568,37.748753,-1.1050647,27.376904,-49.2266,105.91592,-1.9218189,8.442079,25.543701,-4.910322,78.75022,37.169487,56.336815,63.9704,-10.259001,25.247784,1.9910635,-3.847191,0.5713019,1.3204973,77.57068,-7.872313,33.036552,-4.08009,-7.5587134,-9.327511,-1.3754551,3.7628288,0.7503922,-2.5848494,35.740376,8.300496,15.279419,48.577473,-0.9733687,37.94697,11.251126,62.878044,2.6778815,8.251658,-3.500349,4.484697,0.5328724,-9.992076,-3.8105714,8.099943
-9.87086,-9.052538,4.2087717,-5.4609494,17.600067,-34.295567,-11.289744,-15.87898,28.929876,17.134003,-3.4845529,108.41664,148.93474,99.22304,65.2282,4.9504223,65.21934,-0.72958255,-5.328685,9.409087,6.0594273,37.27012,-6.968596,46.734486,-5.3440285,-10.223755,-27.048916,2.3612394,18.988451,1.0969274,-3.4105494,29.32095,13.181809,16.533772,56.660286,3.7636895,43.151897,19.296371,38.000328,2.1529214,4.7580953,-2.4444964,5.509839,3.6554635,1.0931603,-0.28043178,27.501123
-3.1171842,-0.69920546,28.158684,-3.6743186,51.57518,82.30115,102.88106,0.9222626,11.246117,18.623688,-5.641092,52.087257,71.115715,63.068577,78.80218,10.8539,8.04851,-3.402062,-3.521653,-3.4501262,-5.2074614,75.09928,-3.1267784,15.523636,-6.6919103,-21.097643,2.2189968,-2.712738,5.66863,-0.5726293,-0.64969826,12.416207,4.3114347,20.128216,54.16822,-6.9441137,58.438927,13.839807,59.18828,5.44794,11.133004,-3.4717107,8.483057,-0.074991755,-12.623467,-4.2713656,9.225677
-0.6942704,-2.1603167,28.541306,-7.898978,44.299362,53.688057,-11.756917,-1.5905904,30.639744,15.828354,-8.788112,79.461845,81.56599,104.7187,66.81762,4.793709,51.979862,1.2324258,-6.182664,0.42366412,-5.525244,70.30989,-5.309567,23.152252,-7.307973,-12.54895,-15.077535,2.9887204,10.963135,-0.011487454,-0.2410646,18.913673,7.2273855,13.579024,39.954082,-0.33182693,48.90324,25.36925,43.525284,-1.1007934,0.352966,-3.0062008,7.856604,1.4860317,0.31491622,-4.2462306,9.992146
0.32584122,-1.082505,27.377195,-3.7205393,48.844276,33.794712,101.12659,5.5669436,12.111679,22.806873,-10.427709,43.098022,52.35589,83.76001,76.65992,-5.93429,38.212543,0.78742737,-5.243157,0.62923026,-3.4532602,100.32672,-14.304019,17.64927,-7.4270496,-17.009642,-37.20308,2.2501636,6.836435,0.14164573,1.2561269,13.204903,6.0440063,16.5263,37.62176,33.281548,64.566246,9.14236,58.539547,-1.589244,-3.7426136,-2.5404062,1.7270268,1.6911066,0.08259914,-4.5513973,7.8971715
6.5964646,-0.43029365,29.284222,-8.234265,-13.636942,72.565125,87.521,3.635769,15.3403225,20.575369,-3.150541,56.1409,56.14101,70.775505,77.85895,-6.641219,34.155827,2.3626995,-5.580504,-7.3158793,1.347485,56.554375,-10.955768,10.604141,-5.635113,-16.1562,-29.203726,-5.538348,2.4047675,1.4141537,1.3408349,13.606689,1.1718324,34.401836,53.56078,-12.8486595,66.93864,6.632817,62.219856,4.0731974,2.5316508,-7.867923,8.270806,3.3370957,0.44484007,-4.584941,-4.6189775
-2.0118742,-2.530984,-3.8432972,-6.2200966,10.461074,66.41819,72.68826,-27.828747,-23.155188,22.55001,-2.7733908,-2.7808347,21.008913,31.104637,64.15728,-7.440544,36.390957,0.6123494,-29.735645,-8.254297,-12.683789,65.48718,-12.786765,19.836061,-30.631924,-31.640408,-63.535946,3.1192532,-36.295258,0.68498266,-1.3924496,-8.040219,16.48582,-2.067689,-48.336697,59.489445,72.00219,-14.324515,40.545906,-2.9704008,-2.5529096,-2.8037195,-17.408226,1.3564997,-3.9167464,-1.2211987,56.844456
-1.0460743,5.4370675,48.52733,-4.4751205,-6.0180287,96.29274,30.704361,-37.37066,5.7428575,24.441183,-3.9839149,-4.6021347,14.868116,38.830883,69.56974,0.27822387,18.514534,-0.7946088,-9.368541,-2.817599,-56.8883,54.716244,-15.82393,5.9175415,-37.21533,-26.576435,-78.25207,-7.6890645,-38.36171,0.4720409,-0.5550344,-8.281248,-3.6725578,14.233391,23.650553,22.646763,75.24726,-15.392918,34.15369,6.2861595,-1.5310569,-5.2598815,6.566871,1.4179634,-1.694911,-4.8261275,25.773354
-4.992685,-1.8551074,57.18395,-13.879131,30.58255,96.47034,12.46971,6.4136515,6.9182677,16.497498,-10.906731,-5.5726547,19.83747,51.500557,68.79682,4.471767,3.8382316,-1.7705812,-18.033821,-2.458812,-62.468605,62.163815,1.3940741,-16.113176,-31.564875,-31.497372,-74.1807,-10.877014,-7.6558456,-1.1627555,-9.162359,-8.038505,-2.8979385,8.773888,-17.587984,34.243656,69.24679,-15.141801,29.681921,4.115446,-0.5957493,-2.1339948,7.793384,-1.0196409,-0.7959606,-4.746535,19.168139
-2.2577522,4.1787753,44.25252,16.94249,-5.297063,116.22142,100.93677,-48.365086,-0.8698473,29.01924,9.219222,-7.9339256,10.770811,31.285982,79.68739,-11.766706,19.191717,-1.0596235,-4.722234,-4.546216,-54.565247,21.917421,-7.818368,0.6450999,-14.139771,-18.090767,-48.15366,-12.928068,-81.45181,0.5958091,0.29403636,11.221688,13.42579,29.601341,22.517696,17.590485,31.970003,-6.472777,44.907253,5.574674,-2.018305,0.36117494,-0.5442222,9.420736,-4.934619,-5.8778825,-5.8961353
