"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
4.0937514,1.0036745,-1.6258734,-0.23138115,-0.19471726,7.089524,-3.81649,-13.969129,-7.9199734,1.1750315,-0.56033623,-7.484714,-8.828954,-24.804369,-4.390222,-4.799994,-1.1809869,-4.3258233,-0.3246972,1.7123079,-0.50344527,1.6742506,2.1459942,-19.197704,-1.9724185,-1.5015147,1.0605594,-0.464275,2.251549,-1.7926416,0.39600888,-3.1500201,-3.2754025,-2.9793766,-7.5663137,1.1973969,-11.529443,-5.248015,-4.584671,-1.0128211,-2.1418068,2.3668911,-5.9146285,-16.899973,-12.844916,0.15804674,-32.667427
5.6196156,1.1916442,1.3491334,-0.5411952,-0.3031442,3.9703827,-5.694044,-19.379065,-8.619271,0.7209993,-0.9402757,-8.603939,-16.15115,-24.116049,-4.334291,-4.2901287,-0.8818565,-7.098863,-0.55801374,1.5104238,-1.834116,2.170645,2.207116,-17.372564,0.34537885,-1.9484646,2.43012,-0.9169735,2.8431258,-1.7449925,-0.21910128,-6.6002917,2.4509275,-0.37998575,-0.3727827,-1.6329961,-11.089372,-4.58741,-7.000411,-1.5880495,-2.2468417,2.4555008,-6.5751677,-17.90317,-14.12497,0.26222885,-33.484047
2.4947274,1.4736444,0.393102,0.4942704,0.007045325,-16.18178,-2.7991335,-12.514806,-13.654216,1.1514266,-0.57549655,-6.2966113,-11.63745,-23.351364,-4.0065246,-0.068636864,0.378078,-3.5432913,1.0668522,-0.9004954,2.110471,0.50512534,0.67881405,-19.776562,-0.87384623,-0.80788606,0.97161347,-0.59936345,-0.15238173,-1.6114318,-0.062869675,-4.2640834,-1.7230681,-1.675908,-4.7129674,0.26097998,-11.463308,-11.840938,-3.8351505,-1.8012083,-2.7749019,2.5534885,-3.3363526,-10.802083,-5.197286,0.07416133,-35.46285
2.6774724,1.1379902,1.5716734,-0.38773853,0.43647867,-19.273888,0.5124877,-19.347975,-9.566527,1.0042093,-0.24095276,-6.116913,-11.672177,-22.999054,-3.9454494,-2.306265,-0.8084822,-4.470592,-1.2110747,1.4188355,-0.033383347,-0.07086781,1.5937375,-17.925013,-0.48096448,-1.3477188,0.80279166,0.08884285,0.8712678,-0.4457773,-0.10684225,-4.170564,-1.1879827,-0.8060086,0.47811353,0.62908226,-11.71191,-5.698889,-6.7337947,-1.2428768,-3.3885083,2.2486348,-3.891057,-16.025259,-13.4500065,0.40085632,-34.484253
3.2724648,1.2960434,1.2660756,0.15790933,0.032245345,-13.374104,-3.8794112,-13.348298,-9.784151,0.9213195,-0.46844423,-5.516161,-11.015025,-23.264181,-4.68739,-2.60167,-0.4634235,-3.9486084,-1.360994,1.318843,-0.101565056,-0.80290014,1.9048482,-17.818666,0.2573386,-0.27578723,1.5569549,-0.43741766,0.5145501,-0.35010335,-0.16392976,-4.3725996,-1.0448352,-0.03570036,0.6888184,-1.3784848,-12.28283,-4.4295297,-6.4436197,-1.7167835,-3.0963728,2.506019,-5.06886,-16.288654,-13.781023,0.4118558,-33.12742
0.5777208,1.67704,1.2708154,-0.46396562,0.949406,-14.928,-2.9836946,-5.559294,-7.6362176,-0.06829287,-0.4054802,-4.56933,-9.267896,-23.096638,-4.274626,-3.6533892,-0.6070689,-3.2578914,-1.2794005,1.6907364,0.18644373,-0.057585206,1.3415003,-19.926016,-0.43605557,-1.5422634,1.3116382,-0.6469086,-0.09645113,-0.48967615,-0.028055346,-4.5457006,-1.6688722,-2.4744098,-6.3657246,0.8421337,-11.284422,-6.01937,-4.313126,-1.3367921,-3.3257182,1.1965566,-4.625803,-15.095743,-15.205514,0.23526603,-37.025684
1.7149678,0.21068934,-0.40754732,-0.51909316,-1.5142614,-19.906235,-3.275383,-6.914282,-10.881734,0.8473406,-0.6838186,-1.5367849,-9.546489,-22.071604,-4.6513004,-4.5173593,-0.63620406,-1.5947902,-3.9210908,0.30097786,-0.35319832,-3.3489344,0.64091074,-20.060116,0.53065103,-1.295188,3.2168667,-1.7552036,0.30459863,-1.2739768,-0.47598013,2.7426968,2.3838491,-0.56149644,5.2482557,-0.4178025,-15.668612,3.1581116,-5.7354627,-1.7835574,-2.8541477,-0.59318405,-1.1589922,-17.032648,-17.71995,0.01518116,-30.795488
-1.0297793,-2.465416,-1.5344937,-0.23600726,-0.7482678,-19.532408,-2.5716996,-8.055019,-11.500183,0.12839562,0.52441907,0.44451022,-6.6806226,-21.951166,-4.3780117,-2.1595607,0.23582998,0.19038507,-5.2953806,-0.81629896,3.527908,-1.817208,1.1786224,-18.401638,0.19529597,-1.0700378,2.1816418,0.22216754,0.061257917,-1.21945,-0.5265103,-2.621777,1.3892326,-0.574019,-1.020831,-1.926739,-14.590835,0.98437375,-13.588762,-1.5112975,-3.63169,1.6913655,-2.2478285,-14.707018,-17.003942,0.37031627,-32.143013
1.1257935,0.88636935,-1.4715515,-0.1311412,0.20064832,-18.997765,-5.7855787,-13.338738,-11.027029,1.2822847,0.8244184,0.79648894,-8.665809,-23.160185,-4.289228,-2.0265667,0.8134235,-0.28662178,-5.557597,-0.8384985,2.4450042,-1.8560933,0.27483338,-19.716146,-0.24133576,-1.1649865,2.182121,0.15596654,0.8317328,-1.089999,-0.47041982,-2.2186832,1.3761314,-0.2424305,-1.2789366,-0.55340874,-14.42061,1.8790307,-6.8907304,-1.5059111,-3.015306,2.7780633,-3.6063423,-13.139517,-13.867426,0.38337758,-31.663845
-1.3322629,-0.92638284,-8.687669,3.207832,-0.3730636,-19.585346,1.3729211,24.471952,-16.810234,1.320726,-0.9153449,0.67993265,-3.533843,-25.5908,-3.7927608,-0.18085355,0.83888435,0.54996365,-1.9061812,6.977587,2.691039,1.3545902,1.6514057,-19.32852,-0.37139827,-1.0300456,1.2072177,-0.23306313,3.756863,-0.75661725,-0.15003206,-4.860759,-1.5730457,-2.7912378,-6.5527077,0.033269607,-13.330467,-3.024827,-3.5720897,-2.0823512,-2.8360922,-0.21075113,-3.535317,-17.226925,-27.725494,-3.266135,-37.683823
-1.7107399,1.0449877,1.6758138,-0.5521438,-0.95952606,4.639149,-1.1936663,-12.170912,-10.749175,0.63260937,-0.2247108,0.34990075,-6.285951,-25.311935,-5.249277,-5.294492,-0.37817204,-6.628287,-5.127254,-0.34609216,2.4223833,-2.6892006,-0.48098356,-17.761463,0.31090525,-1.146015,-0.13807885,-0.7070896,-5.680867,-2.283128,-0.23828733,-4.6927457,1.9085717,-1.284825,-3.061934,-0.9740292,-15.589482,2.4696274,-7.0667834,-1.4229132,-3.4175105,2.8064353,-6.4788866,-12.510488,-12.453218,0.36710247,-30.676905
2.2099512,0.94554585,0.6061425,0.23457766,-0.33045825,9.397233,-0.42266515,-11.701509,2.6755395,1.0327723,0.44340026,0.73832804,-4.938334,-20.560305,-4.434211,-1.1388973,0.3658466,-1.805874,0.96901613,-0.34794614,-0.98313814,1.7811853,1.6242698,-15.128445,-0.5853775,-1.4357909,1.5609014,-0.12322855,-0.7483361,-0.46822867,0.019360067,2.3496535,3.314099,0.31470576,4.3093348,-0.17498356,-10.068427,1.01042,-2.6691508,-1.5409354,-2.4019992,3.0642042,1.6681985,-14.455316,-13.82914,0.23987786,-39.44293
-0.0121123195,-2.3814692,-1.8093684,0.48993996,0.6883253,5.838647,-6.240403,-13.33837,4.0009727,-2.0040364,0.8350516,1.0526447,-4.3720837,-1.6142553,-4.792915,-3.5272563,0.6441659,1.5027758,0.631787,2.3797145,0.6290624,-0.34095773,0.15670012,-11.703917,0.23133807,-0.7054839,-0.7882458,0.1949187,-1.294761,-1.2177314,0.22849299,-7.081986,0.5842458,-0.3061361,0.32924792,-0.072818145,-13.456884,0.6757468,-2.0617113,-1.7230569,-5.070141,2.5565293,-0.6572523,-15.602806,-12.9585495,-0.08812087,-37.282036
2.2067533,1.0185102,0.5462928,0.23926602,-0.34404683,9.40124,-0.40623438,-11.7009735,2.6693273,1.0234327,0.44236585,0.7411979,-4.9239674,-20.560835,-4.4341803,-1.1312017,0.36355296,-1.8056613,0.9690009,-0.34931335,-0.9855622,1.7831256,1.6152353,-15.190328,-0.51080656,-1.4235643,1.5692885,-0.1255597,-0.74789584,-0.46902525,0.021033227,2.348137,3.3254416,0.31081855,4.287865,-0.17407532,-10.218675,0.91192234,-2.36209,-1.5362432,-2.4053965,3.0645227,1.6391733,-14.468361,-13.824383,0.23445871,-39.442596
3.3657606,0.9149737,0.9492924,0.23648281,-0.26173383,8.679574,-0.29789695,-13.081662,-4.600973,0.9166678,-0.30903906,0.63164943,-5.4104223,-22.303707,-4.5287743,-1.1145995,0.32890332,-0.8687916,0.9020649,-0.36797854,-1.0747807,1.843257,1.7263199,-15.987789,-0.49929735,-1.3612285,1.3685309,0.098341085,3.0176108,-1.0597785,-0.11149224,1.5706937,3.7269852,-0.28106025,4.357369,-0.1374616,-11.678712,0.73351246,-2.260848,-1.6432956,-2.386262,2.2691774,1.6883055,-13.318961,-14.88631,0.20733425,-28.972677
2.2090888,1.0434268,0.6063265,0.23451626,-0.34413555,9.39727,-0.42168626,-11.7009735,2.6693795,1.0234288,0.44267303,0.7399756,-4.9238443,-20.55949,-4.4341803,-1.1302192,0.3635988,-1.8057845,0.9690009,-0.3513357,-0.9852502,1.7831256,1.6526686,-15.13974,-0.5026926,-1.4299797,1.5665895,-0.1255021,-0.746709,-0.46817943,0.018371824,2.349335,3.3199956,0.31086025,4.309223,-0.17451093,-10.14119,0.96501637,-2.6599612,-1.5362723,-2.402282,3.0644717,1.6292477,-14.465364,-13.829355,0.23990382,-39.442596
2.670278,-2.7183309,-0.6499782,0.14780268,0.2616012,9.247351,-0.782423,-11.229637,-1.8463515,0.41239902,0.56162715,0.46194643,-3.0103421,-21.920765,-4.762977,0.045501646,0.183373,-1.4803855,0.27091235,-0.69137955,-0.7195939,1.7316277,1.3930016,-11.522299,-0.4531859,-1.0331398,1.3041239,-0.24065763,-0.87248784,-1.0858852,0.14841084,6.065712,1.8998296,0.04968964,-0.68501383,-0.06746391,3.2995,2.5205476,-2.820256,-1.739099,-3.01801,2.2010264,1.3039744,-15.264728,-10.178397,0.07756818,-33.42493
-1.3838204,0.59166086,1.5196285,0.2594964,0.4570265,4.9277945,-3.9375167,-11.854734,-12.37574,0.8614877,-0.90752435,0.73059744,-4.6608334,-25.00845,-5.6639633,-4.3702517,0.470944,-6.3911657,-5.566484,1.6549299,-2.1699219,-2.7107046,3.9762554,-17.40377,-0.5467062,-1.6819224,2.5032094,-0.18006389,3.1983752,-1.6514268,-0.027644973,-8.437594,-4.006692,-1.0689732,-3.0318944,-0.4159109,-4.1260624,5.4702244,-4.2962856,-1.7302057,0.38336074,2.0651796,-5.5524807,-17.086998,-13.189119,0.24111916,-32.554237
-0.7253541,-1.0439594,0.51584715,0.29654232,-0.45542002,6.338015,-0.17939892,-10.819625,-9.544897,1.5041174,0.99588305,1.125253,-5.7227454,-26.082321,-4.0821004,-2.452931,0.7697366,-2.472869,-3.700515,1.3230852,0.01730433,-0.6999287,1.2237624,-17.002642,0.98397124,-1.410521,1.8669223,-0.38503698,0.684783,-1.7109805,-0.09728636,-10.5842495,-3.6367872,-2.650973,-10.839565,0.4528264,-5.747133,-6.2415037,-4.985755,-0.7822554,-1.0318359,2.4760725,-6.3506765,-16.117212,-13.018922,-0.065320894,-33.29917
-1.870157,-1.918261,1.1075116,0.14292748,-0.6192599,5.8573804,-1.235379,-11.648151,-10.917361,1.1178304,-0.6086583,1.1281369,-4.846392,-23.04764,-4.2792983,-2.166942,0.6762149,-2.4484873,-3.6752844,2.0025094,-1.086675,-0.6971575,1.7042215,-17.542543,1.0084796,-1.4990896,0.6246848,-0.3253815,0.41276523,-1.7196729,-0.28808993,-11.165646,-3.5792296,-1.9023018,-3.7867594,0.31956625,-7.0520525,-2.425417,-5.4974666,-1.4186653,-0.57043207,2.144987,-6.3221684,-15.8307,-12.031242,-0.049295608,-34.139126
