"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.8311178,-0.41644832,-1.2513924,-0.4124507,2.873064,-1.2583582,0.41400915,2.2535346,2.187403,-0.5036838,0.47490105,-1.9593828,6.7324166,7.6927085,0.47236392,-0.65435654,0.066709794,0.016051281,-0.5486407,-0.359381,-0.36778384,-0.7359913,-0.094886586,5.2046814,-0.89613587,-0.07666254,0.72006994,-0.23497705,-1.6444435,-0.16525514,-0.4633438,-0.8432014,-0.9640135,0.85833436,-0.52585906,0.5343104,2.369524,-0.4119716,1.978344,1.4731629,2.0184264,-0.12969917,-2.4030604,0.28229517,0.69087017,-0.24205332,0.5584214
-0.8611156,-0.45615,0.010718578,-0.20031583,2.8489182,-1.4168342,0.20972069,2.0446172,3.8913913,-0.16380528,2.0751028,-2.6776183,4.754097,5.801314,0.7625067,-0.70990276,0.016183224,0.21447542,-0.10277216,-1.4977524,0.37033716,-1.8304358,-0.06461733,5.5102105,0.2671246,-0.13637637,-0.6678722,-0.4056901,-1.0686707,0.05537353,-0.14097159,0.24918476,-1.6759684,-0.14421318,-1.445387,-0.23412569,6.635084,0.014159563,1.4646349,2.0303848,-1.0608569,-0.66667974,-2.4761345,0.44702515,-0.35187715,-0.13214731,1.4883074
-0.5973639,-0.47465312,-0.40641147,-0.38678774,2.3948057,0.2789489,0.035036966,1.9888855,2.233591,-0.32101208,0.5558166,-3.3425217,4.1287575,7.121637,0.87619746,0.15978092,0.25566664,-0.03928633,-0.35305467,-0.4898128,-2.4212408,-0.06437753,-0.28265998,5.247754,0.44794396,-0.058015592,0.6315906,-0.34729737,1.1899995,-0.3577899,-0.37161428,-0.49921978,-0.6245212,1.0532464,0.79915524,0.41185826,1.84601,-0.3610693,1.8742701,1.6865386,0.75370675,-0.57795995,-1.9188204,-0.5472087,-0.59320647,-0.48406875,0.51985645
-1.6649792,-0.5335774,0.03100806,-0.21723446,2.853408,0.48721188,0.7813219,2.634761,1.9573159,-0.4968104,0.44325393,-1.8857337,6.971024,7.6372814,0.6300399,-0.6445345,0.23239675,0.06359083,-0.73523945,-0.49699873,-0.45098752,-0.86793816,-0.2367001,5.389438,1.2249305,-0.038176436,0.526564,-0.8642646,-1.0304884,-0.20132454,0.013163147,-1.0477273,-0.6488677,0.7383414,-2.2514393,0.5424739,2.1507366,-0.42527482,1.5643373,0.67276675,0.6246462,-0.40739593,-2.8583188,0.23849969,-0.50046,-0.18997031,0.8556712
-0.5623904,-0.3185717,-0.027362384,-0.27152058,3.282526,-0.19303547,0.32913148,1.7565337,3.1149607,-0.2814769,1.4864599,-1.8253706,6.2525263,7.9318204,0.6809624,-0.717667,0.120157935,0.09992556,-0.88657516,-0.84500474,-0.53682417,-0.80542916,-0.09737308,5.3922825,1.0305114,-0.06173714,0.3216127,-0.6920995,-0.99246305,-0.1540645,-0.024768967,-1.0537227,-1.4274995,0.32377145,-2.3574326,-0.38798562,3.2018192,-0.27838477,1.7257023,0.63075316,0.5432945,-0.31470954,-2.9761422,0.42416298,-0.46784106,-0.41185337,0.9104043
-0.48431557,-0.41728494,-0.06599309,-0.7317493,2.551179,0.4648958,-0.049878486,0.87923056,2.8512025,0.9182398,0.83722615,-1.4464283,6.7677026,7.313867,0.46275342,-0.72602993,0.27248505,0.077693865,-0.64643484,0.01587491,-0.37296835,-0.018436648,-0.12588592,5.349927,1.1547945,-0.03642745,0.34998345,-0.4266028,-0.7966638,-0.49693066,0.073626176,-1.3702593,-0.7262942,1.2477454,-1.8358368,0.44935045,2.196788,-0.4247454,1.666861,0.61567074,0.8545537,-0.17324291,-2.6203983,-0.53265435,-0.5233144,-0.44918004,0.9291921
-0.7275016,-0.2703303,0.06491918,-0.28953776,2.9971807,-0.3058778,-0.37246707,0.80855274,4.943942,-0.638101,0.5897208,0.15828675,6.859082,8.72267,0.22622332,-0.4359431,0.14609408,-0.041477676,-1.1931162,-0.9528315,-0.9805347,-3.5414774,-0.36371055,5.669137,-2.51909,0.017399006,-1.4130571,-0.38461658,-1.3161324,0.012268624,-0.10250944,0.43262658,-1.5596493,0.22382797,-3.4672287,-0.88259244,4.5192475,-0.34827247,1.4820083,1.790576,-1.2638551,-0.20635928,-2.2185795,0.87478036,3.3586514,-0.48651296,0.96429485
-0.015987778,-0.046310212,-2.0852087,-0.6915889,2.950325,-0.86351496,-0.30563876,0.40251148,3.699695,-0.07339038,-0.73266256,0.19442761,6.52836,8.166839,0.51916546,-0.87546015,0.14999053,-0.07209459,-0.48675743,-0.7042705,-2.5114114,-1.0036057,-0.018745199,5.7162085,0.28781796,-0.076804504,-1.0401417,-0.22742286,-0.72013414,-0.033400107,-0.0009918469,0.072493,-1.3248358,0.8665857,-0.37088692,-0.79281336,4.0893354,-0.090829685,1.2142669,1.3983369,0.5004543,-0.30283472,-3.0534241,0.094079055,-0.43876323,-0.42200798,1.0958829
-0.4155827,-0.34184614,-1.9940561,-0.3944545,2.8996744,-1.1218095,-0.2847395,0.5212746,4.566627,0.0473206,-0.8994907,0.07029909,6.4539948,7.7722726,0.40114716,-0.78904915,0.13213007,-0.07988713,-0.38621235,-0.7182614,-2.6449547,-1.1860551,-0.098895565,5.7179356,-0.48400414,-0.048326436,-0.8986494,-0.40891337,-0.8832658,-0.0799063,-0.097320326,0.31060413,-1.3408349,0.60264575,-0.11780471,-0.63020384,4.139885,-0.12489893,1.4137037,1.8484528,1.2761706,-0.29327834,-2.9528484,0.13835165,-0.5483688,-0.4616422,0.9898168
-0.085435435,0.41373476,-1.4228122,0.13059832,2.3920772,1.257802,0.82987547,-0.6898741,-1.213107,-0.05878853,-2.5618124,-0.011547958,5.651713,7.359943,0.5413495,-0.2882901,-0.056754008,0.06701521,-0.8125743,1.1506157,-1.1629503,-0.19037257,-0.5880887,4.805321,0.9965301,-0.15367967,0.57594246,-0.2403188,-0.7356051,-0.48560825,-0.07948433,0.059464652,-0.89033806,1.314312,-0.52647376,-0.2557616,2.4986887,-0.1482368,1.1605886,1.032121,1.5535887,-0.36501047,-1.9981458,0.12287871,-0.13971835,-0.7923013,0.616807
