"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.033871584,0.28445107,0.22824214,0.15467826,-0.23931596,-0.14322512,0.62377167,0.21813019,-0.41774434,0.04770037,0.40688688,2.128087,-0.92752385,-0.07851735,-0.061373502,-0.54263943,-0.08698411,-0.07194316,0.19225588,0.113649145,-0.17521243,-0.37278974,-0.5291987,0.18558343,0.5105866,0.04429469,-0.09596791,0.061290633,0.9946963,0.054568395,0.15025869,1.0231062,0.71008325,0.29225743,1.5568237,-0.2055151,0.14463077,0.53797716,-0.31587267,-0.02978936,0.6902435,-0.0359861,0.11591197,0.6934846,0.15434788,-0.31913105,1.4337623
0.06630948,0.4063525,0.09365739,0.1944626,-0.39401376,0.020444112,0.6469197,0.25020567,-0.43606082,-0.16218583,0.20575647,1.6563348,0.803888,0.78869444,-0.07157028,-0.020300563,-0.065635316,-0.0654078,0.2015384,0.004479016,0.030361187,0.00083875295,-0.3623311,0.008477359,-0.10038586,0.071156435,-0.08894164,0.14706208,1.1305172,0.051060513,0.112978086,0.8869462,0.74977535,0.20430344,1.639729,0.087359086,0.56500995,0.3477352,0.7334387,0.02199234,0.7905409,-0.04947168,0.13209356,0.8916814,0.17219603,0.06524605,1.4259516
-0.014843991,0.10582785,0.26652688,0.11212944,-0.3244726,0.464822,0.60082525,0.26674622,-0.16030475,-0.73527265,0.29052284,1.8713735,0.15677354,0.79730546,-0.03206924,-0.051728353,-0.22483553,0.021721883,0.20899868,0.06031475,-0.50789416,-0.9732585,-0.3322858,0.070773125,0.24225189,0.18257375,-0.118556514,0.11100026,1.0205352,0.05075046,0.10143628,1.4205666,0.97451985,0.07552215,1.635157,-0.037433665,0.09495386,0.6829657,-0.39332482,-0.0034582661,0.9142776,-0.085089155,0.11933264,0.9289192,0.083696336,-0.025710002,1.5070442
0.037521876,0.2546679,0.0069082133,0.2278392,-0.25470963,0.22513254,0.547186,0.23532858,-0.24519648,-0.029537216,0.4149193,1.6834005,0.7070934,0.67420655,-0.020813292,0.008605819,-0.009587412,-0.148173,0.28544527,0.0704786,-0.16943966,-0.2882821,-0.33503222,-0.050730996,-0.17002206,0.09167866,-0.07456948,0.19359922,1.1222693,0.082330205,0.12352611,0.93426883,0.9626813,0.13738745,1.603213,-0.05914635,0.21194142,0.9030889,0.55209374,0.06615412,0.7301675,-0.115341865,0.048273496,0.9508301,0.18044505,-2.2665117e-05,1.4915876
0.0140908705,0.2673586,-0.0052040615,0.3106048,-0.30494192,0.17078124,0.78581405,0.2959685,-0.15056922,0.002091058,0.31267765,1.6767542,0.6474557,0.68177736,-0.037261214,-0.010699584,-0.02927806,-0.13602999,0.28856754,0.07348662,0.07280643,-0.2791509,-0.33900234,-0.081574336,-0.10142253,0.101906426,-0.0955884,0.19941685,1.1829941,0.07050847,0.12506491,0.8356505,0.91238153,0.081373714,1.6936598,0.17210308,0.18142474,0.8593136,0.6718956,0.035279296,0.8458441,-0.08041025,0.19097733,0.8898637,0.16158399,0.008173849,1.4979335
0.041882746,0.25000766,0.07704054,-0.36372083,-0.2661357,0.57565033,0.6618381,0.04958159,-0.10588363,-0.23298176,0.33243376,1.3533305,-0.58480096,0.7615652,-0.036531273,0.058891535,-0.5206156,-0.27968574,0.23542824,0.13383709,-0.6131612,0.04908893,-0.3675941,0.13072947,-0.42632788,0.015698103,-0.023133993,0.1472578,1.0195205,0.07640345,0.10940671,0.86024386,0.7309799,0.47111106,1.5340811,-0.3353097,0.1371897,0.96423984,0.5894459,0.05937989,0.47392222,-0.02296794,0.0027100614,0.80018574,0.21467897,0.030876912,1.4762021
-0.013580823,0.090102136,0.00031836427,0.04433316,-0.0014673434,1.1305344,0.7231157,-0.53216994,-0.3854109,0.06531244,0.34547192,0.16860937,-0.32021526,0.054897264,-0.06434276,-0.027739074,-0.34164748,0.11421496,0.16904013,0.13072033,-0.54905665,-0.5145437,-0.4140641,0.042242732,-0.4147338,0.102019764,0.13755201,0.16848014,0.4328925,0.08988828,0.13537766,0.689549,-0.2031001,0.037897084,1.6896344,0.1816391,0.6374926,0.099549726,0.5050914,-0.21471749,0.7526694,-0.04712719,0.01363107,0.86871946,0.1739409,0.15021914,1.3844727
-0.119911075,-0.19561203,0.17804152,-0.08537035,0.06628148,0.77484214,0.5083497,-0.51349163,-0.040643036,0.11965732,-0.06075362,0.086907506,-0.40377742,-0.016994737,-0.03298498,-0.15856181,-0.23002213,0.060193576,0.18449984,0.023876805,-0.71153605,-0.7091643,-0.4508946,0.24119195,-0.5384555,0.020845965,0.12472456,0.08736646,0.34729233,0.042522967,0.040940892,0.5250024,0.40289193,0.020910185,1.5200732,0.36116853,0.9403604,0.36804774,1.5236541,-0.043016646,0.6670565,-0.08860091,0.1602303,0.7350149,0.18787217,0.04133451,1.3466574
0.0037842162,-0.16424224,0.085831344,-0.14344808,-0.5081283,0.41832593,0.71649987,0.09356024,-0.00013072559,0.018934332,-0.09631667,-0.108119056,-0.31497288,0.4564711,-0.080194,0.03848737,-0.416845,-0.010473534,0.1612875,0.072838895,-0.33319968,-0.44430158,-0.48406225,0.09825992,-0.5543165,0.14999104,0.008300508,0.07645687,0.6736128,0.0403935,0.03257224,0.5399882,0.6276082,0.06363318,1.6063014,0.32790452,0.8070051,0.30966988,0.733287,-0.16526751,0.6541147,-0.058465164,0.08311852,0.83608556,0.014263272,0.08100873,1.3543727
-0.07770295,-0.31853038,0.107480325,-0.06977964,0.1997317,-0.4224914,0.1873511,-0.6563018,-0.12089425,-0.0020913035,-0.22454897,0.028645067,-0.53141254,-0.03313287,-0.14707097,0.09766266,0.1477355,-0.1919301,0.2734837,0.11266294,-0.47934952,-0.46133187,-0.081748724,-0.002711107,-0.64638776,0.204232,-0.10818019,0.07175042,0.36970478,0.08624889,0.09757743,0.7586836,0.44673538,0.12121695,1.7051607,0.13499542,-0.06517776,0.3592878,0.21319222,-0.029883355,0.26738927,-0.14025435,0.07177569,0.67940867,0.11815852,-0.39645502,1.263771
