"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.020273414,-0.0020520063,-0.034239806,0.052330438,0.024337457,-0.061571136,-0.04403846,0.13846245,0.13984129,0.028375087,0.05544746,0.062197506,0.09990587,0.08217808,-0.08750062,-0.14496344,-0.00013460271,0.0035468244,0.0062057823,-0.013951903,0.037580147,-0.2536841,-0.009720679,0.12930988,0.0021739875,-0.009863,-0.0030919956,0.0023377105,0.0042694863,-0.0019550466,-0.0029918572,-0.04307149,-0.15474619,-0.02262788,-0.23629026,0.013651229,0.05438527,0.027582647,0.0012853611,0.01843307,-0.003201504,0.0043113637,-0.24282914,0.14040351,0.15833907,-0.005700888,0.29911107
-0.00017250786,-0.00028447178,-0.01659582,0.008435699,-0.0019750188,-0.120138235,-0.09070896,0.15381336,0.18982224,-0.024464518,0.24951456,0.041370425,0.12208119,0.25229847,-0.04404385,-0.080355495,-0.009220623,-0.0054524173,0.014467377,-0.019306486,0.086666375,-0.13924626,-0.02202147,0.13065827,-0.011831106,-0.00781992,0.011982847,-0.011899477,0.0006108172,-0.0061289137,-0.0014848753,-0.09115007,-0.13284859,-0.010837413,-0.20555966,0.0045356797,0.11480373,0.012541102,0.0057446174,0.028781472,0.0138027305,-0.035889037,-0.23509249,0.20093565,0.17872107,-0.00020096113,0.35260305
-0.017767718,-9.508427e-06,-0.015367523,0.08258146,0.021280214,-0.17482734,-0.007008029,0.15921135,0.12444092,-0.022363668,0.17067885,0.07030542,0.1335198,0.27274343,-0.018041786,0.04578132,-0.011957674,0.00022354376,-0.01444427,-0.0057184324,-0.07371718,-0.09235305,-0.021694433,0.15797696,0.016449235,-0.002564059,-0.001812945,-0.0014816781,0.0017725985,-0.0023702085,-4.7708974e-05,-0.06493179,-0.036050208,0.019461626,-0.14931752,0.008757826,0.10119143,0.0431003,0.0138189355,0.01499596,0.0074509187,-0.0048476723,-0.27569285,0.137544,0.032771423,-0.0074716615,0.31732357
-0.006113518,0.0009207656,-0.013671149,0.039580867,0.004970416,-0.18180232,-0.029386837,0.14126019,0.21516198,-0.0016547391,0.17524752,0.07421093,0.12782556,0.2732278,-0.024748238,0.03715974,-0.0049944944,0.0016155089,0.0006066624,-0.013354799,0.05102186,-0.16223784,-0.01778067,0.14925915,-0.0074910508,-0.008199095,0.0004142316,-0.0006536512,-0.001231773,0.00017242676,0.00012381657,-0.09231373,-0.07018434,0.013976229,-0.22780688,0.01789215,0.06356211,0.040524334,0.009638456,0.029053448,0.0034585362,-0.013897666,-0.25946167,0.10472627,0.10944882,-0.0008004865,0.30160144
-0.005541857,-0.00086717674,-0.018387228,0.05937326,0.01020161,-0.21673286,-0.029662427,0.16277549,0.14802286,-0.0017273412,0.19195983,0.05877024,0.15634401,0.2918839,-0.014362001,0.030667761,-0.0041610207,-0.0010864064,-0.00822564,-0.014721739,0.06043019,-0.11109502,-0.01759127,0.14346367,-0.0027084257,-0.00685743,0.014481746,-0.0049495366,-0.002113218,-0.0020312401,0.00033043,-0.07205828,-0.072781645,0.012610465,-0.24448258,0.0016860341,0.07436357,0.039881717,0.003692983,0.023582276,0.005289177,-0.013985721,-0.25516245,0.09244504,0.08725881,-0.00043048023,0.313413
-0.034683175,0.0018217072,-0.02790943,-0.13180275,-0.03339439,-0.18767685,-0.017475875,-0.015426962,0.062669694,0.024166208,0.15798387,0.05751453,0.0959445,0.19376546,-0.014625339,0.032357555,-0.0064598494,0.0023965181,-0.0309047,-0.016642755,-0.08245691,-0.10856992,-0.017499164,0.10532539,0.007096859,-0.003284249,0.0021999055,-0.0033079945,0.00059538655,0.003904265,0.00047723463,-0.04479734,-0.043320548,0.022645632,-0.26112244,0.0123255,0.0926803,0.03023631,0.005756323,0.027506152,0.008432546,0.003869409,-0.30056128,0.09560828,0.07003917,-0.00074534264,0.29175103
-0.03098207,-0.008349316,-0.012813157,-0.03976075,0.012656111,-0.2619571,-0.2527224,0.0034053104,0.020621749,-0.01127179,0.022372002,-0.022683209,-0.023463927,0.07157569,-0.1114573,-0.21448867,-0.0015872825,0.0011685193,-0.09836354,-0.06482925,-0.15864573,-0.39051348,-0.021717204,0.088454105,-0.050458994,-0.017941728,-0.024562186,-0.0066037807,-0.069149025,-0.0049846885,-0.0032222993,-0.06440878,-0.055303786,-0.010322279,0.39091784,-0.018389326,0.02211143,-0.019752106,-0.00719116,-0.023569714,-0.0032627464,8.712504e-05,-0.19426711,0.109633744,0.12389927,0.00052329095,0.19302583
-0.05023002,0.0023298343,-0.04789221,-0.090703115,-0.008324382,-0.17270741,-0.023793535,-0.036967654,0.0011094956,0.04426468,-0.008146471,-0.020378072,-0.02532207,0.10558791,-0.0611866,-0.029266102,-0.0063998247,-0.000346847,-0.044677854,-0.024993688,-0.13507675,-0.18924652,-0.04047849,0.11534662,-0.0347642,-0.013532606,-0.031075206,-0.0024700344,-0.014191694,0.00038418613,0.0016009561,-0.10789185,-0.04172868,0.0101654725,-0.2913318,-0.011752368,0.04867423,-0.054658122,0.007975891,0.017603602,-0.0013812107,0.0011769094,-0.31740838,0.0878027,0.07296672,-0.003049518,0.18419363
-0.023744144,-0.010102655,-0.025018206,-0.014911247,0.027446806,-0.19094636,-0.03610094,0.1081796,0.019719973,-0.037868336,-0.039120995,-0.02338823,-0.086769015,0.16432986,-0.060684822,-0.0400048,-0.008150482,-0.0029510744,-0.077147394,-0.021788828,-0.1384569,-0.18261701,-0.039677918,0.1377108,-0.10982664,-0.013048329,-0.014357248,-0.006856321,-0.02298786,-0.0020484766,-0.0071142344,-0.1495405,-0.06351575,0.005694455,-0.26777405,-0.007170797,0.043647043,-0.08061154,0.0048546502,-0.039460056,-0.0008534684,0.0015748971,-0.28594017,0.13206875,0.039973404,-0.011754313,0.21863514
-0.007120586,-0.013530073,0.0059511336,-0.09919491,-0.015065631,-0.19200437,-0.011955884,-0.11087822,0.02573903,0.028377527,-0.053642124,-0.006796788,-0.0062173167,0.104330905,-0.019822266,0.021755818,-0.010148665,-0.008695056,-0.004864986,-0.008585638,-0.18160586,-0.01491212,0.0013573825,0.14425875,0.0144299185,-0.004045537,-0.0029688638,-0.0022771647,-0.009406368,0.0051169954,-0.002504767,-0.056738596,-0.01258646,0.012505277,-0.17812979,0.0055406573,0.0685939,-0.005874111,-0.007882901,0.0096618645,-0.0075252024,0.00060097594,-0.36011848,0.13572963,0.0022235315,-0.008626181,0.18922329
-0.04641855,-0.0034057193,-0.018165348,-0.013006598,-0.013618481,-0.08174539,-0.023339322,0.14111654,0.027007062,-0.023735471,0.07894925,-0.028097047,-0.025485346,0.10095246,-0.07744087,-0.12982805,-0.009633207,-0.0012923543,-0.05684042,-0.023965187,-0.13534352,-0.31869233,-0.025501812,0.09784408,-0.035532888,-0.020151986,-0.014427723,-0.008728015,-0.037751537,-0.005083103,-0.00014336135,-0.17857349,-0.16339628,0.001458848,-0.25298142,-0.007546839,0.07041435,-0.053602997,0.0041693766,0.007628769,0.00045781577,-0.0032567785,-0.32425824,0.11303812,0.0579382,-0.0018611151,0.22302143
-0.014951863,0.0015785912,-0.011067602,-0.0066793645,0.004536625,0.0059355176,-0.015161386,0.070778854,-0.026450992,0.03495576,0.09440502,0.0026407838,-0.009006204,0.033520445,0.060903396,0.07153976,-0.0006865238,-0.0048155827,0.11481428,-0.008201614,0.16150875,0.1867445,-0.0019879476,0.08621759,-0.12395033,-0.013467902,0.011835407,-0.0010633888,-0.004205412,-0.002656314,-0.0007764033,-0.037340794,-0.04522802,-0.02459582,0.7211568,-0.0015896541,0.047211614,-0.0069172187,0.0094549395,0.04562316,0.0012450062,-0.006932661,0.6156184,0.1663237,0.18134396,0.0013692102,0.3048741
-0.0047408,-0.00540431,-0.0023030748,0.010664377,0.034676738,-0.004298377,0.02063997,0.07352872,0.002973032,0.084907494,0.06086618,0.009956378,-0.013258017,0.18948102,0.10490018,0.24751893,0.021139618,-0.0072984556,0.27260634,0.008665198,0.1522897,0.32100794,0.009705594,0.23105395,-0.119310796,0.0026239299,0.014762446,0.0021902777,0.036452845,-0.0058890125,0.001264181,0.037665322,-0.02140774,0.01618074,-0.10947316,0.030533662,0.10775492,-0.018236956,0.03370185,0.038285866,-0.0007516149,0.06235989,0.05473915,0.12633246,0.12244223,0.013645985,0.42131296
-0.014875045,0.0015954521,-0.011827541,-0.007765111,0.0060568,0.007312445,-0.016033225,0.07072955,-0.026380492,0.03484363,0.09465194,0.0026128655,-0.0104562,0.033438057,0.06089339,0.07196978,-0.0006899165,-0.0048488234,0.11449924,-0.008781409,0.16921884,0.18653218,-0.0019858186,0.08633908,-0.122238465,-0.013510823,0.011827858,-0.0015259961,-0.0042620203,-0.0028742782,-0.0007803766,-0.037337866,-0.036163066,-0.024566991,0.712721,-0.0015838562,0.04007435,-0.007026301,0.009666473,0.04561759,0.0009302323,-0.0070851864,0.6159433,0.16590147,0.18175688,0.0013783136,0.30484086
-0.014963478,-0.003933973,-0.008767251,-0.00730511,0.009026858,0.024974825,-0.008680643,0.07338864,0.0018465441,0.036810126,0.09198708,0.000420429,-0.008867288,0.03326202,0.046072245,0.09192454,0.007790345,-0.00600546,0.12819007,-0.008886016,0.16847406,0.15839492,-0.0046078046,0.081885226,-0.13148122,-0.012294893,0.010379822,-0.0110932095,-0.014361314,-0.0061391555,-0.0021883387,-0.036443792,-0.037046127,-0.027362341,0.7137238,-0.0023313246,0.04522419,-0.009959976,0.005524097,0.048164856,0.0023797513,-0.012436886,0.6115126,0.16229698,0.18252479,0.00029225508,0.30707178
-0.014875045,0.0015823283,-0.011798824,-0.007769016,0.0061044195,0.0073104505,-0.015984634,0.07072577,-0.026400523,0.03479767,0.09464967,0.0026123552,-0.0104562,0.03344971,0.06087566,0.07197038,-0.0006899165,-0.0048498386,0.11482351,-0.008779451,0.16920906,0.18682589,-0.0019888773,0.08633936,-0.12240352,-0.013521518,0.011826843,-0.0014972886,-0.0042559463,-0.0026430506,-0.0007803766,-0.03734074,-0.045254942,-0.024590235,0.7205295,-0.0015821495,0.04007435,-0.006885915,0.009566351,0.0454922,0.0009378036,-0.0070923334,0.61594194,0.16590118,0.1816529,0.0013766671,0.30484086
-0.00717399,-0.019974908,-0.0009815175,0.039837837,0.013348,-0.010680471,0.043319423,0.12611884,0.046162967,0.044016715,0.11572038,0.007502514,0.020962318,0.07754453,0.108173214,0.065696925,0.010932494,0.0009122122,0.17136896,0.003534765,0.18745893,0.2137764,-0.011437351,0.077274,-0.045011476,-0.010485071,0.008172591,-0.005384064,-0.042794462,-0.011237052,7.5116164e-05,-0.07664865,-0.05897395,-0.009298389,0.002224432,0.003055059,-0.06032375,-0.016563559,0.010429198,0.032486167,-0.0018026907,0.0048869615,0.5383659,0.065096535,-0.011179676,0.0014196676,0.33127955
-0.11516794,-0.0048415535,-0.013123831,0.009637545,-0.037025623,-0.029650386,-0.034120787,0.14795929,0.03875168,-0.051640254,0.06700626,-0.013688581,-0.0067606354,0.084916234,-0.041737515,-0.09530396,-0.022221679,-2.3053644e-05,-0.08128237,-0.021828348,0.08992632,-0.17068832,-0.025364634,0.10249645,-0.09429416,-0.013795943,-0.010323441,-0.006767124,-0.036641303,-0.0037992918,-0.002842776,-0.07170528,-0.121751204,-0.013817385,-0.29767552,-0.014490767,-0.0828482,-0.046392806,0.013835876,0.015721297,-0.004713204,-0.06498292,-0.30136758,0.13476047,0.11763636,0.0039920495,0.19195697
-0.02421295,-0.00478121,-0.024617752,-0.010536768,0.002556855,-0.038161896,-0.030896291,0.09985694,0.030051399,-0.046871506,-0.0127820615,-0.0058170385,-0.002860762,0.08043289,0.009775769,-0.005575788,0.00076314184,0.0010592552,-0.07807794,-0.023012228,0.06338825,-0.1914459,-0.025898008,0.14253967,-0.14779386,-0.0076066526,-0.0017820887,-0.0028815346,-0.019471744,-0.0058491407,6.9652335e-05,-0.053428087,-0.036393862,-0.0073475176,-0.31542024,0.016356394,-0.055469267,0.02530669,0.0010986477,0.023374662,0.008308187,0.010010803,-0.2817748,0.07756207,0.10574605,-0.0042493534,0.19359127
-0.02325835,-0.0028262509,-0.029848147,0.021450538,0.013444339,-0.029926814,-0.029964989,0.10551346,0.027120283,-0.047038175,0.06300433,-0.025019396,-0.004528222,0.081010215,0.0029444343,-0.03213854,9.056496e-05,0.0012563898,-0.07373434,-0.017649971,0.074501865,-0.18623841,-0.021157082,0.10892416,-0.115540005,-0.0067153736,-0.0010573687,-0.0022905946,-0.02221706,-0.0020945251,0.00057150074,-0.0843978,-0.05999444,-0.015789071,-0.33371496,0.015273309,-0.081632316,-0.0037582035,0.003040332,0.022052724,0.003975357,0.011331411,-0.28560793,0.076934464,0.090455785,-0.00028157598,0.24382089
-0.032658953,-0.008274402,-0.009924172,-0.0009060826,0.0017291659,0.0029249743,-0.03823807,0.16682558,0.011458081,-0.046768907,0.1267959,-0.013493504,-0.0020672933,0.09090139,-0.0154001145,-0.09563509,-0.016923929,-0.0027587786,-0.06293679,-0.026923494,0.08556581,-0.23709913,-0.02736128,0.11535381,-0.07198682,-0.015649552,-0.019411486,-0.0039680516,-0.0069975476,0.0003055741,-0.0008352461,-0.058043156,-0.11712863,-0.016478803,-0.29103646,-0.0030919546,-0.049707834,0.024067024,0.0029021117,0.02330088,-0.0035087722,0.0058150967,-0.2876395,0.06322757,0.08701896,0.0001011232,0.20410366
-0.0121228695,-0.0049663037,-0.029598251,0.0115977805,0.006169059,-0.06335374,-0.037811697,0.13425364,-0.021502253,-0.05588448,-0.035999082,-0.0008358093,-0.005200075,0.081840046,-0.02884841,-0.05438734,-0.004966443,-0.0035912707,-0.07471813,-0.024462044,0.021460278,-0.2628095,-0.03860066,0.11813423,-0.09900211,-0.014960958,-0.02084525,0.0012478783,0.0060819825,0.0009999827,0.00049042265,0.05817013,-0.094707705,-0.0043936553,-0.34384054,0.017305918,0.0032322772,0.03192776,-0.0033909658,0.011914655,0.01947079,0.0056086066,-0.30797893,0.056314938,0.12007711,0.0027871905,0.20560181
-0.041716255,-0.022758562,-0.03503742,-0.018973237,0.00035318924,-0.025159765,-0.039575256,0.056130365,0.033202257,0.014969819,0.0061212326,-0.00572022,0.0017248694,0.044864576,0.03467622,0.13752323,-0.011793599,-0.0022199247,-0.08300059,-0.049412273,0.09526503,-0.22526416,-0.023265831,0.12195843,-0.13156036,-0.0085610375,0.01244734,-0.0019366207,0.021889139,0.0027783199,0.00089030823,-0.041997753,-0.02401685,-0.030591192,-0.31100386,0.0015846153,-0.029492334,0.029292747,0.0047165747,-0.073844165,-0.009554315,0.006772624,-0.2841694,0.084607095,0.05480324,-0.0031875754,0.19631296
-0.034432165,-0.008648549,-0.028218726,0.04586466,0.003484132,-0.029627157,-0.023251532,0.13396248,0.022700367,-0.010368502,0.0012456664,-0.006991382,0.0002521406,0.082860634,0.041912585,-0.15569463,0.012694918,-0.008056999,-0.07889285,-0.0315541,0.07430185,-0.19291514,0.015461343,0.13627088,-0.03717649,-0.01108236,-0.010534137,0.0014282863,0.0028192229,-0.0007170134,0.0018535319,-0.102673635,-0.07230618,-0.022815865,-0.3020842,0.00681949,-0.06647232,0.028291658,0.0021057278,0.008230095,0.008313025,0.002009113,-0.3052804,0.08535446,0.04792153,-0.00377534,0.20526266
