"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
6.037558,9.12106,5.7149873,-6.829498,-9.4658985,43.14762,-110.23094,-20.094461,-5.6520324,-3.9157348,-1.0282565,-66.1385,-29.510536,-11.1718025,-4.67238,-13.687478,-1.3803859,-1.4291534,0.6595062,1.6294341,0.5769456,-51.151367,0.85387886,0.7072527,3.612582,2.6872337,0.97312117,0.011312623,-4.702975,0.19719762,-0.13036999,-10.038278,-11.506286,-14.951109,-100.13852,0.57443035,-1.5689521,-9.538713,-5.4255395,5.0618668,4.262858,-4.746639,-66.54656,21.17148,13.043178,-0.15338,14.388865
4.6332116,3.024665,16.407204,-0.6818884,-31.412788,-21.30584,-45.423195,-17.124657,-10.70939,-20.011799,-6.448058,-81.13357,-46.048706,-44.399372,-42.120865,-14.857667,-1.4585177,0.045988858,3.728464,0.5416829,1.977435,-41.49655,2.9311984,-13.302407,2.1577299,1.8530812,0.75419277,-0.62190443,-5.228578,-1.5591189,-0.5753118,-26.382042,-33.28323,-2.7721286,-11.191447,-0.20631704,5.6002007,11.384546,-3.6464186,3.7705295,5.282556,1.9731361,-53.957134,24.738993,15.273191,5.0094986,14.456166
4.7729053,0.18829311,-1.7476512,-9.081142,-29.055548,-33.119705,-46.908123,-24.983189,-5.9937186,-19.216759,-4.217073,-44.47044,-31.495028,-13.8639555,-15.038142,0.6610804,-2.0543249,-0.989205,2.0088837,6.2418275,-4.6233177,-23.977835,4.1562815,-4.963568,1.7409198,1.4894346,-0.41861597,0.13686651,-2.094173,1.124576,-0.025884243,-8.695512,-23.75808,-9.140019,-76.99643,2.3890436,-0.039908085,6.930775,-8.8489,3.2427459,6.878948,2.6746218,-63.19878,-2.0363014,4.4688687,-3.052231,15.6608515
4.3469615,-0.10101153,-2.6066856,-11.19689,-24.643057,-68.199875,4.9103665,-25.702421,-14.160469,-20.875504,-2.5041437,-56.262768,-39.57528,-14.115252,-22.803564,-5.335946,-0.8384558,-8.135083,0.12549457,-0.60285497,-2.290941,-22.089571,3.509571,-7.8142605,4.7901883,1.523467,0.92375606,-1.0356324,-3.886867,0.7697293,-0.9879088,-8.419218,-10.612517,-9.391672,-35.52581,1.9420455,3.1979756,5.565214,-5.895541,3.134704,4.5513735,2.629613,-71.0193,-3.1078932,-5.063141,-4.1738076,15.652031
5.1144004,-0.584297,-6.6463037,-12.210385,-25.893526,-20.675602,-48.34529,-20.86817,-14.401732,-12.565482,-6.0496445,-48.00552,-37.88362,-14.224311,-13.883442,0.6050538,-2.626882,1.0085498,-0.75180036,-0.3510715,-3.6276376,-24.433899,3.5073245,-6.1701927,3.466782,1.4217539,1.2396836,-2.7609801,-3.7722976,0.70288724,0.042051863,-7.622096,-9.592459,-8.458015,-74.57224,4.8433433,0.8178861,10.931156,-6.3466253,3.2250926,4.4972878,0.8572157,-70.0652,-7.5643177,0.90058064,-0.3832077,17.155855
3.6795228,-0.23849203,3.9341958,-1.115941,2.1278503,-14.399797,-63.668118,0.70900214,-11.761691,19.825571,-4.136688,-42.879852,-30.773766,-14.901648,-15.075376,2.5882986,-2.2355318,-4.1609397,-0.9563489,0.5235904,-3.4156802,-25.438189,14.896798,-4.1540756,3.8172545,2.1636915,0.9670526,-0.21801029,-4.772281,1.4829305,-0.35714778,-10.700862,-11.379603,-6.705441,-75.744705,5.132929,-0.18958174,0.4765098,-7.3328266,3.508614,5.8768754,4.70222,-70.440186,3.3895905,-0.034994755,1.9071888,19.63354
9.389019,0.2948895,-15.640306,-1.1683809,-12.691423,-63.707592,-112.777275,6.8069177,-5.2744956,-1.7783475,0.3605168,6.079701,-0.98724145,-8.028153,1.4029545,3.0381298,0.014273697,4.7747936,-19.406258,1.7854819,0.4784575,-97.887596,4.3635583,0.53968686,1.2216307,4.2645173,6.586967,0.9462853,-2.1403546,7.902777,-0.5601434,5.974876,5.250253,2.972312,160.44763,4.9354534,2.631046,16.90955,-6.8407364,10.35017,7.684706,4.5940075,1.936763,28.676037,11.652854,-2.4500222,15.301341
7.025154,-0.93187183,19.817863,0.3073737,3.7353601,-17.443045,-35.43201,13.372298,-10.700445,15.476125,-8.905629,9.664925,-1.3780277,-14.184095,-13.605035,-0.4349427,0.31736112,0.7436355,-7.716342,1.5048981,-20.653566,-8.734671,17.322641,4.856172,-0.17470953,2.959172,7.1294994,-0.059587575,-4.177128,0.24966194,-1.1370097,-2.6559408,1.7675273,-2.5080235,14.436065,2.3023376,0.3210945,34.1654,-3.2329233,9.1075945,8.032126,-0.55066496,-49.68089,-8.222808,0.10739458,6.5017376,19.141315
6.896834,0.58654517,5.1554546,-2.374174,-35.118088,-64.4288,-23.769709,1.4233146,-8.286582,-10.956546,-10.143438,10.231189,5.475547,-13.319406,-16.794428,3.0730371,0.41735184,1.8013055,-6.9019346,1.5297027,-56.900032,-1.5039835,8.766407,5.9134445,-7.988925,3.3898015,9.833003,-0.8666405,-4.942342,9.929767,-1.1391972,-6.7797074,14.259812,-12.569863,139.77953,2.6564968,4.5231724,34.68979,-1.2136581,8.535381,7.728743,4.5505595,-65.10853,29.294764,-6.8406134,4.5002136,21.268976
2.2513683,1.948573,-1.4675212,12.693027,-9.650961,-62.458923,-35.55668,23.556665,-10.755882,10.19704,-3.6687946,-1.1366976,4.8632083,-19.472483,-5.1625566,6.948,-1.9532906,13.508982,0.38280544,19.79779,-30.250877,-5.7409062,4.933629,8.906928,5.185222,8.758482,3.6708364,4.2920423,-2.3602798,3.6084702,1.0812144,-7.254385,-15.474412,-8.1493845,3.8175395,2.0294263,1.9511741,41.156933,-3.8783362,6.992156,8.037575,-1.0897523,-63.020885,21.259632,3.7468295,5.489078,45.602257
