"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-25.151545,-17.959606,-1.0848106,-116.23275,-44.510708,-48.673107,-212.51723,56.536568,-734.04456,-35.335316,-88.65864,-213.14606,-270.0195,-103.40406,-89.45272,-96.576385,-54.863792,-0.670221,-0.37808016,39.383484,129.29076,91.52744,-61.731388,-75.96566,2.3325534,4.0058007,15.553489,-54.433327,236.49579,-25.775984,4.163838,-73.02132,-27.762451,-51.40674,-780.1744,-89.57662,-313.48767,-95.43883,-22.887362,1.7090557,93.52198,-15.84928,-31.11186,-202.06923,-221.8483,108.317024,-907.40564
-74.15879,-38.97481,-66.247925,-112.68063,-45.10989,-70.76956,-106.66687,194.4984,-763.6652,-15.3062725,-201.83618,-108.703545,-267.79092,-214.77226,-125.010704,-84.10978,-3.79469,-12.702549,0.45270085,270.17996,29.45722,-2.841002,45.6473,-118.109116,28.807379,13.300676,-8.557112,7.6973,277.58636,-14.781477,0.1657228,9.419772,-1.4209434,-26.961699,-1246.3964,61.430954,-300.439,-41.38679,-119.956085,-4.3972855,-12.629059,11.37319,-35.00546,-315.42084,-196.57684,32.894623,-1134.2047
2.7979517,-25.373333,-50.529285,-62.434513,-54.729084,-31.5608,-167.73492,55.07981,-836.92426,7.615262,-190.91364,-165.79124,-429.4796,-196.59004,-103.3632,-179.2625,15.414294,-4.419579,0.23420566,-60.382195,111.757065,62.14144,23.070587,-140.60732,3.2646632,2.2528322,92.80634,-51.444,133.07323,-31.038605,2.1329927,-49.948334,-27.167633,-32.460117,-781.81415,-91.12416,-279.01157,-128.65196,-38.52743,-4.9796424,80.68839,-3.2543066,20.01877,-209.8437,-97.87327,9.0566635,-1003.4951
5.744125,-73.08406,-18.681742,-90.16046,-56.15261,-72.27411,-38.14427,86.362785,-864.9524,-24.272505,-213.86519,-146.40144,-400.6998,-215.07779,-118.29472,-102.169495,12.164056,6.252028,-30.690197,65.745094,123.23945,19.561245,15.708722,-125.30562,58.33687,2.7541008,23.78484,13.162934,173.04474,-22.156485,1.5514858,-32.643505,1.0463114,4.5568132,-928.8371,-95.325836,-312.5597,-121.61193,-57.676838,-6.1001596,34.52058,3.688445,-31.329853,-236.64412,-72.0013,34.816525,-1086.4186
5.1334224,-54.063995,-17.48128,-110.23422,-83.93323,-50.936802,-261.6754,40.49292,-864.5381,-24.463663,-219.12318,-138.47188,-375.74362,-240.24734,-109.58881,-99.5789,19.017405,9.205405,-41.21551,100.42329,118.7556,-0.90964895,8.768714,-128.72641,56.85134,2.6031418,35.49925,13.345614,143.88405,-17.252325,1.8647213,-38.691307,6.852127,-2.9822838,-1032.3013,96.75083,-238.79964,-59.789524,-56.513294,-5.034239,32.669426,2.1171093,-5.6735973,-254.37599,-153.06538,25.78637,-1121.5327
76.85894,-34.21637,-15.629054,374.97287,1.5299331,-108.654236,-133.49046,54.804516,-740.9372,75.960075,-188.30188,-144.72523,-334.78024,-236.54222,-97.45387,-39.27889,6.8715577,6.570381,-28.101955,-52.85456,86.18282,-35.324455,-28.430492,-75.9901,41.539955,-0.7445479,32.883297,-45.17784,146.92656,-26.965975,3.9382343,-20.708923,-22.57244,-17.233875,-630.8625,-78.709236,-218.23338,-123.1545,-47.258698,-0.91410136,77.66024,11.435094,56.823425,-201.54318,-120.34091,43.98565,-915.40186
20.266432,23.167568,58.52013,46.649715,-37.84585,-82.633224,-199.93715,45.398727,-208.10861,-23.87867,-111.71748,-4.394321,-144.3774,-123.055305,-118.60416,-103.93237,99.12973,0.8983142,-36.06085,151.17354,148.793,225.74657,11.6147585,-51.826965,117.975586,-43.05536,28.035727,58.67392,205.91814,-27.132395,9.940047,36.847183,29.966158,33.153305,-1192.7893,232.96411,-182.95778,35.844913,-76.39317,1.6084424,21.797308,-25.60459,-86.12582,-281.42224,-227.28902,12.9708805,-950.8589
54.27383,241.9231,42.302246,174.75168,-25.067713,-32.802242,-98.64056,44.307796,-259.3791,67.033615,142.57664,19.626408,-173.95546,-115.80479,-37.43742,-1.9891514,138.07597,-5.2275653,-75.35367,30.13033,185.16321,281.9036,51.937553,-26.895594,165.68301,1.9064709,26.35625,3.4178178,333.37964,-42.311012,-2.9449742,66.99355,26.390833,59.73427,-1109.7314,205.22823,-129.86215,43.42169,-60.915268,7.7780204,91.03385,-35.967495,11.04283,-216.43013,-131.5329,86.159355,-942.85297
5.0454426,65.3875,46.736557,168.95598,-105.37573,-94.21835,-14.915896,44.8982,-541.97687,-6.044943,129.00508,12.092755,-200.41008,-148.71991,-93.51494,-86.45093,26.56305,17.45134,-83.73274,7.211972,218.83836,194.94351,77.22542,25.155268,157.14767,-23.756187,27.944353,19.140541,392.08514,-28.255268,5.8058586,56.27637,19.218628,9.649463,-1299.2443,178.29662,-245.45778,35.418106,-104.941216,-11.1957035,42.4135,2.107377,-32.966606,-218.85461,-140.8012,61.72142,-900.6596
1.2485433,158.25871,5.9686112,19.121922,-38.674816,-60.68337,-87.240265,48.08872,-301.43005,57.702538,99.2681,31.611572,-184.10901,-104.58381,-81.24839,-42.812393,-143.13228,27.005096,39.26986,-149.39803,74.61453,119.71458,43.075516,-25.818003,82.14792,13.93163,56.438087,-6.2721415,355.58197,-12.23654,6.861756,-12.537535,17.493263,17.039934,-1006.7555,53.123764,-213.31673,-1.8163309,-48.64227,16.858488,96.21571,-60.17641,81.86475,-208.14676,-127.74111,120.601326,-849.19
