"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.03311965,0.00224223,-0.04439342,-0.063016556,-0.1703486,0.39038518,-0.92176473,-0.26829126,-0.47480112,-0.060383927,-0.028894817,-0.61443317,-0.7823694,-0.9266778,-0.6725806,-0.089932404,-0.20989671,-0.025478289,-0.011506438,0.07260736,0.038729403,-0.26996806,0.22519524,-0.33560592,-0.004996426,-0.02793272,-0.022101756,-0.015117194,0.016300412,0.030158011,-0.01667277,-0.5762327,-0.18640137,-0.06539896,-1.0733057,0.10695841,-0.13510373,-0.020084875,-0.2769705,-0.022896105,0.013199277,-0.07413234,-0.11029754,-0.19182242,0.0052088704,-0.004131028,-0.5967713
0.054020807,0.008348145,-0.06282632,-0.06387792,-0.3847348,0.38759416,-0.86176676,-0.21294054,-0.62264013,-0.028896803,-0.08149797,-0.7800776,-0.8892827,-1.18336,-0.6008211,-0.12300781,-0.3880031,-0.08591149,0.02847031,0.07536401,-0.06780783,-0.048382107,0.25682837,-0.24825749,-0.04464722,-0.05272554,0.18345074,0.02272342,0.055172,-0.060787495,-0.00782269,-0.12076724,0.105583675,0.04240535,-0.62082624,0.18723202,-0.25029376,-0.0036392678,-0.4199978,0.034402926,0.030871179,0.17767608,-0.0988101,-0.20894061,-0.010370882,-0.001353904,-0.8272361
0.05317476,0.006234033,-0.012042297,-0.075113356,-0.20913583,-0.72426254,-0.81255,-0.31049395,-0.48447603,-0.056913156,-0.079714485,-0.43469045,-0.7781807,-1.087788,-0.74480903,-0.12717828,0.0040316777,-0.03375208,0.064592004,0.059106354,0.018886438,-0.18567102,0.26880738,-0.21112052,-0.18064028,-0.07172669,0.046979707,-0.0054713706,-0.009499526,0.0033583387,-0.014129287,-0.17474984,-0.31060454,-0.07965373,-0.82186884,0.109051846,-0.11762226,0.04253079,-0.2713745,0.044094745,0.015455668,0.1490041,0.05533883,-0.09116593,0.11387295,0.06572959,-0.41590822
0.021000093,-0.034035012,-0.059436783,-0.074395046,-0.35799053,-0.59105736,-0.35191092,-0.28733927,-0.44836113,-0.082162395,-0.0802355,-0.60862267,-0.86431086,-1.1033356,-0.62475485,-0.11034179,-0.18852335,-0.025226405,0.07458972,0.10223969,-0.020251283,-0.2223136,0.2650041,-0.21124333,-0.0639929,-0.048013628,0.026224688,-0.02372443,-0.0006358168,0.024689853,-0.010557824,-0.10080452,-0.049565084,-0.07793956,-0.4338661,0.10928876,-0.19658831,-0.0030488186,-0.4152156,0.023958895,0.028805627,0.12666665,-0.17168681,-0.14965606,0.008933417,0.059193935,-0.54019225
0.03614773,0.008291733,-0.046701774,-0.05794189,-0.37596944,-0.5945553,-0.5424767,-0.28002384,-0.5048915,-0.09497966,-0.12408865,-0.62788975,-0.85540175,-1.0517086,-0.6657885,-0.12129921,-0.33155185,0.0075320103,0.061902184,0.1095883,0.002037604,-0.20517273,0.30538583,-0.19856358,-0.068678536,-0.046383433,-0.0270637,-0.028698906,0.003521739,-0.00071948796,-0.008281193,-0.10785331,0.07174756,0.009101813,-0.69990164,0.08129842,-0.26423398,0.023528866,-0.3130626,-0.005831481,0.026813326,0.13117863,-0.0961171,-0.14775027,-0.02106369,0.06915042,-0.5814828
0.056433976,0.0067889635,-0.0439198,0.07354673,-0.214455,-0.47629553,-0.6740313,0.027929982,-0.46523938,-0.031867065,-0.13812858,-0.4187171,-0.70891774,-1.0043914,-0.69499266,-0.09872829,-0.1086439,-0.022087077,0.055471793,0.019375311,-0.00016353706,-0.2590093,0.30551976,-0.17819647,-0.06620709,-0.06163535,-0.13057351,-0.04393167,-0.032293208,-0.0023240699,-0.004849942,-0.19037263,-0.1299671,-0.097324476,-1.0916133,0.15595844,-0.18033841,0.00014733266,-0.32537302,0.01907641,0.040355045,0.11072971,-0.048540264,-0.16758512,0.061889812,0.193933,-0.42151606
0.07740482,0.039175265,0.050301496,0.13013607,-0.019307807,-0.3515823,-0.4744341,0.34841263,-0.4103572,-0.101493016,-0.07349822,-0.075568266,-0.57360226,-0.77592653,-0.56369585,-0.10634824,-0.083935514,-0.02130962,0.06422522,0.14147873,0.053691983,-0.18166526,0.5637371,-0.07966979,0.123702906,-0.1040471,0.8313177,0.07667475,0.11212045,0.10570419,0.0029302298,0.19769004,0.34654215,0.07869196,0.34802034,0.42009172,-0.17276551,0.1466097,-0.30074668,0.14617512,0.04520006,0.11451922,0.2587989,-0.15127966,-0.0022343057,0.09017218,-0.4091593
0.06796668,-0.028465329,0.039624248,0.22043872,-0.07366656,-0.24284774,-0.2189162,0.2336373,-0.30617696,-0.044901058,0.2414331,-0.068375036,-0.5622826,-0.81457245,-0.5255663,-0.08653117,0.049308576,0.008331622,0.106351525,0.084233806,0.08170785,-0.12457312,0.5784275,-0.08432414,0.21569337,-0.027945535,0.6960071,0.014462214,0.09129884,-0.0378649,-0.023316313,0.038305573,0.45214537,-0.062901884,0.22777662,0.33354273,-0.17614484,0.09099806,-0.3263521,0.17668518,0.049231168,-0.066634506,0.013500058,-0.16777317,0.013119453,0.18115133,-0.34489483
0.07674753,0.050523877,0.06536816,0.12712249,-0.34306726,-0.1928358,-0.5738372,-0.06401168,-0.34339255,-0.14527163,0.24260594,-0.024994856,-0.48054484,-0.8217344,-0.56234854,-0.090700455,0.04178071,-0.0077820625,0.08754906,0.104852386,0.22718531,-0.10052729,0.53729886,-0.07967905,0.36832047,-0.019075999,0.5738426,0.052336402,0.09588181,-0.03126381,-0.008571698,0.14535134,0.4395408,0.064976625,0.11881913,0.4208912,-0.18398897,0.16899784,-0.25470367,0.19960368,0.051994994,0.1276529,0.21550798,-0.14302184,0.06418862,0.103657365,-0.43764448
0.02852532,-0.024038687,-0.0802319,-0.27663657,-0.15230723,-0.12243,-0.50176966,0.2817836,-0.4816873,0.0012488213,0.122250356,-0.09364905,-0.6569677,-0.7497962,-0.7550678,-0.15623207,0.08015561,-0.10692266,0.0415783,-0.081081025,-0.17873578,-0.19167681,0.54961586,-0.111181036,-0.07825172,-0.05292517,-0.03742919,-0.023547273,0.030085938,-0.008314294,-0.0034132989,-0.09568958,-0.18180789,-0.08220941,-0.3806618,0.24265549,-0.12285687,0.07029698,-0.2391477,0.20294212,0.010298687,-0.019817263,0.057649232,-0.11549977,0.28416052,0.08094805,-0.39556468
