"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-1.8893334e-05,-0.00011309823,-8.526523e-05,1.0146986e-06,-6.645283e-06,7.873406e-06,-0.00030172957,-3.0597366e-05,2.9415674e-05,-0.0001760016,3.2150663e-05,-0.00052460347,-5.9762613e-05,-2.9439912e-05,-7.3942945e-05,0.00015864779,0.00010231452,1.0759835e-05,-5.0719084e-08,-8.57854e-05,7.5525604e-06,-1.2109901e-05,2.9984894e-05,0.00030042382,4.884432e-05,1.6544194e-05,6.267428e-05,1.5403664e-05,-5.4935746e-05,0.00010987778,2.4508858e-05,-1.2940963e-05,-1.612144e-05,-0.00012219127,2.5573407e-05,-4.5091023e-05,-0.00020911354,8.953769e-05,-0.00021563655,6.29037e-05,5.3609976e-05,3.306778e-05,7.6259836e-05,-0.00021341539,5.3206906e-05,-9.590116e-06,0.00013268655
-1.5564245e-05,-0.000115386705,-0.0001474858,2.052178e-05,-6.361094e-05,3.17421e-05,-0.0006605265,-1.5703446e-05,2.8247812e-05,-0.0001765477,3.2304375e-05,-0.00059439085,-6.0013e-05,-3.3702e-05,-7.950292e-05,0.00014175865,0.000104382074,-4.165467e-05,4.068883e-06,-0.00021057414,7.0640417e-06,-1.2109901e-05,3.161389e-05,0.00030181717,0.00011634819,1.6218368e-05,6.9117734e-05,1.2076332e-05,-5.289695e-05,0.0001051517,2.1119244e-05,-1.2582339e-05,-7.905126e-06,-2.8387778e-05,2.479693e-05,3.6828947e-05,-0.00025313042,8.512662e-05,-0.00033357175,5.4893295e-05,0.0002273427,4.173406e-05,7.6228294e-05,-0.00014356316,7.5682474e-05,0.0003590737,0.0001070806
-4.5240857e-05,-0.000111257614,-7.57121e-05,-1.64421e-06,-3.437575e-05,5.3389274e-05,0.00065519084,-3.6236615e-05,2.9806486e-05,-0.00017004348,3.882839e-05,-0.00056340155,-0.0006888084,-2.918155e-05,-0.0007293333,0.00013866252,9.877993e-05,-2.8091483e-05,3.2994558e-05,-6.318861e-05,7.5525604e-06,-1.2109901e-05,3.1660828e-05,0.00030042382,6.141363e-05,1.6577558e-05,6.991866e-05,7.4942094e-05,4.070895e-05,0.00029260677,9.620409e-06,-1.2940963e-05,-7.4699615e-06,-0.0002118485,3.6863086e-05,-4.51972e-05,-0.00020922274,8.861775e-05,-0.0004113444,0.00012381768,0.00012798293,8.752282e-05,0.00015322173,-0.0002134095,7.579519e-05,-1.0351519e-05,0.00012946266
-1.3440255e-05,-0.000113157344,-0.00013160787,-6.6259804e-07,-4.5736662e-05,3.3936358e-05,-0.00057888875,-1.957326e-05,2.8564435e-05,-0.00038441346,3.2304375e-05,-0.00059466704,-5.97624e-05,-3.3702e-05,-8.0327554e-05,0.00014981735,0.000104382074,-2.591983e-05,3.2589455e-06,-6.782667e-05,7.0640417e-06,-1.2109901e-05,2.9937957e-05,0.00030190402,5.9743237e-05,1.6108615e-05,6.917655e-05,7.75134e-06,-5.5456734e-05,0.0001051517,-8.073557e-07,-1.2582339e-05,-7.905126e-06,-2.5877402e-05,2.5511581e-05,-4.7208403e-05,-0.00020905718,5.060084e-05,-0.00029069843,5.3841562e-05,5.8550482e-05,4.173406e-05,7.4589814e-05,-0.00014356316,7.558606e-05,0.0005918854,0.0001070806
-1.2430551e-05,-0.000115386705,-0.00017660428,5.797323e-07,-3.1930194e-05,3.397649e-05,-0.0005478632,-2.1358961e-05,2.8564435e-05,-0.00038339422,3.2304375e-05,-0.0005946428,-5.97624e-05,-3.3629436e-05,-7.950292e-05,0.00015345955,0.00010445395,-2.7137134e-05,3.25879e-06,-0.00019553956,7.5525604e-06,-1.2109901e-05,2.9940298e-05,0.00035294803,5.9743237e-05,1.61776e-05,6.9117734e-05,1.3255118e-05,-5.538879e-05,0.0001051517,6.2307904e-06,-3.7008501e-06,-7.905126e-06,-9.709937e-05,2.479693e-05,0.00011271347,-0.00020903043,8.503675e-05,-0.00028897863,5.3841562e-05,5.8550482e-05,4.173406e-05,7.4589814e-05,-0.00021641942,7.558606e-05,0.0005927005,0.00010708058
-2.2845577e-05,-0.0001061998,-7.57121e-05,-1.2602026e-05,-3.3766668e-05,5.4201642e-05,0.0007201414,-3.4216606e-05,2.7748418e-05,-0.00018687382,3.882839e-05,-0.0005677457,-0.00068880845,-2.918155e-05,-0.0007211693,0.00015987341,0.00010240756,-2.1012866e-06,3.3235086e-05,-5.9562113e-05,7.5525604e-06,-1.1544603e-05,3.16033e-05,0.00030042382,4.8477465e-05,1.6484382e-05,7.057607e-05,6.855631e-05,5.1450425e-05,0.00027899852,-8.845878e-07,-1.2940963e-05,-6.2850772e-06,-0.00021508955,3.6095385e-05,-4.4888653e-05,-0.00020996465,8.353915e-05,-0.00074875756,8.986706e-05,0.00013222623,8.7309185e-05,0.00014020385,-0.00021341539,7.579519e-05,0.00028027818,0.0001346337
-1.2333655e-05,-0.00011469472,-0.00019210346,1.1511098e-05,-4.8832626e-05,-1.4290816e-05,-0.0010471618,-1.9337458e-05,2.7828526e-05,-0.00017212075,3.2304375e-05,-0.0006372988,-6.000994e-05,-3.2451095e-05,-5.1174487e-05,0.0001480016,0.00012105309,-5.1431387e-05,2.0204736e-05,-0.0002148429,7.5525604e-06,-1.3082073e-05,3.0437564e-05,0.00034344476,0.0006870421,1.6376174e-05,6.5826636e-05,4.158444e-06,-5.2484935e-05,0.0001051517,1.1568628e-05,2.5134702e-06,-7.923805e-06,-6.292177e-05,2.3096245e-05,6.137391e-05,-0.00027564456,8.23555e-05,-0.00033191105,5.5574237e-05,0.00021759537,2.7901193e-05,7.4572126e-05,-0.00022174271,6.56169e-05,0.00036010044,0.0001041627
-1.7059892e-05,-0.00010133784,-0.00017660428,-1.0790765e-05,-3.2574495e-05,3.121591e-05,-0.00054936815,-2.323783e-05,2.613905e-05,-0.00038381421,3.2304375e-05,-0.0005856885,-5.9878203e-05,-3.36294e-05,-8.022537e-05,0.00016057627,0.00011656516,-2.6169013e-05,3.25879e-06,-0.0002149947,7.5525604e-06,-1.3192525e-05,3.2113498e-05,0.00035294803,0.000106393934,1.6230764e-05,6.124473e-05,1.3231397e-05,-4.6373196e-05,0.00010518332,1.1457879e-05,1.6293814e-06,-8.373605e-06,-9.621861e-05,2.4728712e-05,0.00011765406,-0.0002534256,7.7160934e-05,-0.0002880238,5.3625175e-05,5.851457e-05,3.3315748e-05,7.458262e-05,-0.00021639741,7.5682474e-05,0.00059311424,0.0001044835
-1.6109256e-05,-9.981275e-05,-0.0001269256,-1.1014685e-05,-3.0301313e-05,3.083811e-05,-0.00039642476,-3.2995973e-05,2.613905e-05,-0.000383988,3.2304375e-05,-0.00058674987,-5.9878254e-05,-3.3629436e-05,-8.01514e-05,0.00017107614,0.00011709833,-2.6169013e-05,4.596051e-07,-0.0002148429,7.5525604e-06,-1.3192525e-05,3.2113498e-05,0.00035294803,0.00010701094,1.622744e-05,6.106111e-05,1.3231397e-05,-4.6394725e-05,0.00010518332,1.4825042e-05,2.1188646e-06,-7.9051315e-06,-9.750192e-05,2.4728712e-05,0.00011764676,-0.0002531535,7.7160934e-05,-0.0002880238,5.3625175e-05,5.785331e-05,3.352938e-05,7.4580414e-05,-0.00021641942,7.5682474e-05,0.00038630067,0.0001038182
-1.428287e-05,4.2604348e-05,-9.7396136e-05,5.0484236e-05,-5.7767375e-06,4.021366e-05,0.00054918387,-6.9900576e-05,2.7607863e-05,-0.00017761398,5.3336724e-05,-0.00057577796,-0.0006984285,-3.1428863e-05,-0.0007854555,0.0001511599,9.906847e-05,-8.4441774e-05,3.2994405e-05,-0.00022845647,7.068062e-06,-1.084029e-05,3.2164924e-05,0.00036712305,0.00011056536,1.9835425e-05,6.994297e-05,5.795765e-05,4.9404636e-05,0.00037640947,1.1948807e-05,-1.3592351e-05,-6.5193767e-06,-0.0002834553,4.401372e-05,4.2036714e-05,-0.0002121946,8.5537176e-05,-0.00045696762,0.00012384616,0.00022527353,8.1012724e-05,1.832336e-05,-0.00014226772,7.628744e-05,-8.447655e-06,0.00012379105
