"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.018908808,-0.006328628,0.055393476,0.0046442407,-0.03278233,-0.016031234,-0.014203133,0.037951734,-0.04055743,-0.26947242,0.008782549,-0.023415182,0.008154034,0.00527333,-0.032027006,-0.006181878,-0.07165661,-0.05613125,0.015205944,-0.0012546829,0.03799911,-0.17945917,0.4070855,-0.030564291,0.014933362,0.010115848,0.051695082,-0.0011679991,-0.009222035,-0.0010199868,-0.0019813455,0.009319809,-0.02552626,-0.011646635,0.02140069,-0.057346325,0.05803597,0.0050348435,-0.0006142864,-0.0014360757,-0.21223225,-0.013216318,0.005629405,0.0027562918,0.001907489,-0.00018675449,0.005576205
-0.04990179,-0.0015236089,0.072266765,0.07414843,-0.007886951,-0.019429076,-0.019469025,0.04424437,-0.034825142,-0.19451465,0.004829844,-0.045639705,0.0066014496,0.0027063868,-0.055448305,-0.0075009307,-0.11850434,-0.08304311,0.01182559,-0.0009628314,0.035887476,-0.21358015,0.22920951,-0.015203822,0.012026656,0.009517907,0.11446832,-0.0010521438,-0.0090198135,-0.0002857368,-0.0020952285,0.009442921,-0.037058294,-0.021444745,0.017009594,-0.04425515,0.18833652,-0.010412144,-0.0014893153,-0.002776274,-0.20814146,-0.007890677,0.0038586988,0.0029374675,0.0019401674,-0.00020712579,0.0058359327
-0.0040303324,0.004414946,0.058913525,0.0061081746,-0.008086204,-0.009102115,0.018010212,0.10743455,-0.02876771,-0.15637918,0.009192472,-0.023507245,0.006687623,0.00527333,-0.0726093,0.008215063,-0.05803262,-0.080646284,0.013599983,-0.0015856047,0.040654175,-0.14694093,0.11747268,-0.031914815,0.021395886,0.012705074,0.047122054,-0.0011603773,-0.00921627,-0.001051596,-0.0021834068,0.00924302,-0.023869013,-0.007413152,0.013856331,-0.06728768,0.049726997,-2.8569337e-05,0.00010750769,-0.0015773688,-0.21534677,0.034140397,0.0011198639,0.0011820114,0.0021579594,-0.00017246263,0.0067134667
-0.05035175,-0.00717379,0.044584233,0.005559963,-0.032569505,-0.012605574,-0.01995142,0.037713833,-0.038995683,-0.19759656,0.004733562,-0.023380302,0.008498961,0.0026494889,-0.055404358,0.005533438,-0.06776505,-0.08102873,0.018873235,-0.0011455477,0.037943948,-0.17979126,0.35371214,-0.016380182,0.012151939,0.010500365,0.12000908,-0.0010811497,-0.009138798,-0.00035672582,-0.0019600221,0.009176074,-0.03897389,-0.011928136,0.022274839,-0.043325953,0.048570346,-0.005737132,-0.0015222703,-0.0027926774,-0.20930642,-0.010021571,0.0012248387,0.0018009354,0.0019397462,-0.00020712579,0.0065729725
-0.059905313,-0.0071722544,0.04545416,0.0046516643,-0.032569505,-0.012272103,-0.005450113,0.037951734,-0.039017104,-0.1943132,0.008986139,-0.023401905,0.006415595,0.0026317707,-0.06282932,0.008814855,-0.058956392,-0.08102873,0.017414227,-0.0011794951,0.037955757,-0.17957066,0.37131947,-0.03187807,0.0161259,0.012094243,0.12000756,-0.0010811497,-0.008945678,-0.004866634,-0.0019600221,0.008876657,-0.040454064,-0.024144588,0.017151985,-0.043265738,0.04863255,-0.0051266532,-0.0012819758,-0.0027766887,-0.20869477,-0.009837134,0.0012248387,0.0014675412,0.001903994,-0.00020712579,0.0066382014
-0.0044721207,-0.0009889606,0.05987101,0.0005252726,-0.0018332304,-0.009294819,0.018607978,0.110455856,-0.033116397,-0.11069571,0.008782549,-0.023383465,0.006283778,0.0018814253,-0.075476184,0.010969312,-0.057029683,-0.08102912,0.013972785,-0.0015131301,0.0409409,-0.15656485,0.11547395,-0.03188452,0.024730748,0.012705145,0.06415973,-0.0011771171,-0.009490837,-0.0010272914,-0.002187162,0.009273672,-0.034854654,-0.0075344453,0.0145260235,-0.054545883,0.04672226,0.0028042023,-0.00063673535,-0.0014011491,-0.21631685,-0.012252703,0.0010995839,0.0010683605,0.0021775549,-0.00015382646,0.006484433
-0.05974503,-0.0012715029,0.044360947,0.00025981085,-0.026801763,-0.002545936,-0.0049853073,0.14224672,-0.041947298,-0.45485967,0.008481776,-0.045607835,0.0064018196,0.0019646434,-0.063331366,-0.0055082417,-0.05845453,-0.08193387,0.023077622,-0.0011673055,0.034648877,-0.26680872,0.47038713,-0.0317059,0.036319442,0.009430435,0.12019917,-0.00092733273,-0.008694052,-0.004920559,-0.0019608736,0.009861435,-0.036010634,-0.023394518,0.017135834,-0.0720771,0.1817536,-0.008505355,-0.001527628,-0.0027929896,-0.2104877,0.031045776,0.0038076264,0.0014712106,0.0019036552,-0.00020712579,0.0066289017
-0.048294395,0.00060840446,0.041098632,0.00039845193,-0.0017020729,-0.0024562054,-0.0056531318,0.14204352,-0.037089106,-0.37848303,0.020958232,-0.04367664,0.0085394615,0.0019823615,-0.06351238,-0.0024454854,-0.06824004,-0.05797591,0.02430926,-0.0011029036,0.03510637,-0.21400674,0.31655157,-0.031950805,0.03388016,0.010657391,0.10740575,-0.001421952,-0.00901703,-0.0049552335,-0.00209182,0.009873264,-0.036506444,-0.0090147955,0.021931903,-0.07245001,0.17757434,-0.0062681492,-0.0013064593,-0.002766026,-0.21526018,-0.011914522,0.0010544304,0.0012911375,0.0019089046,-0.00018848965,0.0064483047
-0.050250106,-0.001766733,0.039611235,0.0007424452,-0.0020633135,-0.004064491,-0.0056856335,0.105180696,-0.03718239,-0.13270523,0.020916382,-0.043685053,0.006301872,0.0027875293,-0.06333135,-0.002613292,-0.052365124,-0.05908568,0.022863623,-0.0010958293,0.036915295,-0.21196659,0.10952796,-0.031728078,0.03480358,0.00942876,0.10580662,-0.0010597601,-0.009203306,-0.0049048983,-0.00209182,0.005566851,-0.027813843,-0.02122511,0.015239606,-0.07188683,0.17844985,-0.0052173138,-0.001280139,-0.002766026,-0.21167774,-0.011888815,0.0010747104,0.0013214817,0.001338766,-0.00018848965,0.0064483047
0.0072979857,0.04067598,-0.021137852,-0.00011476233,-0.0018130104,0.0018653823,0.0121284025,0.021510962,-0.03473452,-0.11238712,0.021374691,-0.014159209,0.0066505927,0.0047938935,-0.0853189,0.008619658,-0.06682226,-0.0032035399,0.014440501,-0.0014557658,0.045643795,-0.050940137,-0.002110325,-0.022889411,0.01824629,0.01081653,0.056321573,-0.0021592057,-0.011369533,-0.006031694,-0.0021548588,0.0039939773,-0.06289018,0.011469599,0.02742623,-0.0701479,0.045556363,-0.0065964195,-0.00018833629,-0.0011201974,-0.15094034,-0.0013504224,0.0009987655,0.0038247874,0.0020516047,-0.0001111161,-0.00014182033
