"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
352965.8,-110460.53,-564014.06,-92004.91,-12939.405,260322.11,-771350.5,-542597.6,-498941.03,333327.38,150655.75,-392140.56,-381091.12,-79453.695,85795.81,-2000413.5,312711.6,-230998.25,-754188.7,-452047.56,-437651.16,346081.3,184688.69,-280239.47,47142.42,-28763.451,376331.62,-72018.984,62526.5,-113564.64,-50220.027,-156103.22,-423372.88,-24163.578,-904566.8,20019.531,306317.1,-238134.73,-25583.01,41018.574,129496.64,-41825.867,-1356088.0,-83993.76,-93348.8,76448.92,-720742.7
368131.12,-92120.5,491899.47,-65323.58,-4796.7744,493423.66,-990333.4,-640405.06,-295298.44,150738.69,567013.06,-648052.44,-276993.34,-129709.05,110928.27,-1664744.6,295257.78,-214614.86,-679300.2,-403813.84,-2096.2275,480549.88,166086.42,-285155.7,415780.4,-42026.113,362928.28,-89092.04,31929.213,-121457.984,-70345.41,-469178.9,-57745.984,-689049.3,897.74054,136382.88,196319.31,-328674.22,-31315.713,16831.662,230407.06,2052.6736,-1271662.6,-91570.68,-96359.72,-17417.361,-997071.2
226227.8,-156989.0,188177.92,-2255.5342,-78877.64,-380306.5,-1153367.0,-400849.0,-498416.6,198157.81,402826.8,-569528.5,-460276.2,-147099.88,183695.36,-887450.44,302684.62,-189601.06,4855.2285,-433664.38,-272322.16,291070.25,105688.414,-280301.72,211492.42,-29256.479,72969.125,30142.709,46181.406,-104371.85,25401.254,-126175.945,-462485.75,322723.53,-660327.25,258382.14,338583.78,-70652.055,34732.883,73530.81,244473.8,69699.414,-1291962.6,25367.365,-49044.06,-6684.9204,-783429.94
379291.6,-68972.09,367798.44,-100481.43,-83106.77,-247933.3,-676394.56,-516291.38,-354080.66,231310.9,211816.66,-746774.3,-458389.7,-183946.17,65256.535,-1607521.6,383519.88,-200425.16,-503092.0,-384412.66,-251553.8,510522.66,188949.88,-280680.56,371982.4,-76060.51,323719.6,-31959.113,33857.81,-61666.88,-6717.4746,-253633.67,-527341.06,-85323.87,154267.69,14433.774,256715.86,-212651.75,45441.06,117354.74,242171.83,-47214.133,-1280513.1,52072.004,-83769.17,-31657.367,-844335.9
374536.6,-82310.125,335666.75,50261.805,-111821.11,210129.11,-871047.2,-288659.6,-387740.12,228942.2,590980.94,-557209.06,-491920.56,-140254.14,94545.96,-1609561.0,354964.5,-267344.97,-529015.6,-409564.0,-244766.89,429030.7,206187.53,-264631.1,393816.16,-42764.047,339600.75,-72435.016,39628.477,-123066.51,1090.775,-336200.1,-238378.31,-379923.38,-464083.0,178479.25,275428.9,-292760.38,40140.395,112346.55,232209.81,-160675.33,-1270345.8,-66692.9,-78184.16,-63775.938,-870914.94
171296.84,-78426.84,341608.78,9429.662,-24837.715,-220456.53,-578773.3,-152317.06,-396537.44,448293.84,257281.64,-359638.0,-467624.44,-123286.08,160477.08,-1780095.2,389169.03,-252896.81,-657556.6,-438226.06,-474004.06,619505.4,78296.05,-294318.4,335721.7,-87998.44,297650.38,58332.73,68275.086,1413.8079,32179.586,-162746.08,-390017.03,-74369.2,-733387.94,46695.17,318034.53,-181671.23,79396.9,79677.73,245210.3,35521.68,-1297683.9,27148.389,-87504.95,-57512.758,-879294.4
225133.22,-119397.6,317957.88,-282958.94,-89874.08,-711016.9,-680070.2,191110.53,-382556.06,343695.53,83496.336,-701813.94,-435675.34,-91309.99,77069.18,-1649846.2,356323.56,-242243.55,-1800788.1,-504625.9,-580870.94,-765847.8,199040.72,-231953.72,483970.78,-46322.668,178278.14,-32033.145,60389.062,-99698.305,-64504.51,125589.29,54308.875,-173207.92,-145743.12,198388.86,241291.11,-707491.94,45263.137,8237.325,158504.36,-45011.375,-466988.3,18238.92,-76335.88,-138478.42,-970097.2
-183387.78,-153904.36,132309.27,-62161.188,-55598.75,-488065.1,-743233.75,131913.69,-454953.78,460045.12,-79785.55,-440026.25,-520892.9,-80631.445,186736.08,-1819714.4,307080.38,-243543.28,-1736828.5,-452208.34,-690535.25,529013.94,44371.336,-223732.22,277434.3,-116067.15,322187.06,38806.81,16761.88,-96037.125,-28910.703,-96821.305,152381.86,-606380.6,-7461.5645,135678.19,251420.03,-573414.56,37890.117,108964.945,172510.17,22308.215,-1339542.1,15992.586,-78704.47,-66594.68,-902990.06
264158.7,-191636.84,-59722.027,-82418.84,-3725.173,-323425.47,-709459.6,-16854.74,-408371.97,111961.29,-116437.92,-450647.94,-388586.84,-51368.74,161201.5,-1741125.0,266528.72,-223427.81,-1703240.9,-310080.47,-694958.4,207455.8,35280.094,-223216.39,376318.28,-40859.746,344230.66,10918.219,67952.57,-137301.92,-26264.773,-196422.6,-8206.577,-637987.2,59672.42,155485.81,250743.84,-534110.5,-9887.149,120473.76,263453.6,80762.32,-1344956.5,33826.83,-46151.65,-62369.41,-935812.0
-176605.56,-108090.08,-532638.44,-101195.15,-54737.555,-924682.5,-1360552.8,134223.28,-629911.75,541752.06,-375649.16,-253605.92,-735635.7,-69250.625,180645.8,-1408811.2,251708.03,-84779.7,-1099423.8,39567.855,-501113.16,1334328.1,-916.2332,-231925.14,246564.8,-188916.02,82976.586,22041.201,-8699.247,-93642.49,26267.639,-59073.24,-335815.62,87112.25,-502805.72,364773.9,365459.12,-464846.03,46188.64,-199839.03,14277.561,-55906.016,-1103403.6,41382.773,-77350.63,-18776.42,-889795.3
