"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
139018.16,-14221.012,36529.37,200341.31,780254.06,-214080.58,487393.06,126749.52,-83548.86,426106.78,288101.12,418402.8,495569.47,1562688.1,1039033.56,-552393.7,398861.75,-50378.117,-39755.586,-444145.38,-238696.03,394640.25,8445.501,1510943.1,-50091.582,-38076.46,-62589.42,-14207.35,44638.516,-32348.203,14600.376,186229.06,325416.28,113075.72,-143243.4,4372.7686,728831.8,4037.0708,806918.2,60144.824,173571.47,157527.06,-147864.98,-112774.34,47294.523,208016.55,601985.94
280890.22,969.4733,197576.62,124343.35,1027040.56,-98893.58,569064.6,50758.633,76441.29,103871.85,207420.08,359078.16,1263714.8,1704819.0,903503.4,-380726.16,290320.0,-89621.59,-45354.047,-530644.1,50493.805,498481.88,-59312.086,1486628.2,-254481.52,-58314.395,-90846.72,-19913.078,10514.388,27656.418,8636.948,7718.481,125955.22,11645.063,-9338.233,80334.305,747060.8,107342.91,876368.2,73835.164,-27596.053,-206603.22,-318808.72,-123965.89,19405.572,270892.5,559520.44
163588.55,10106.75,-47146.156,228583.7,863545.3,-54841.117,832964.7,48952.277,48109.402,-51953.242,249517.3,340286.34,1013288.94,1606395.6,1092997.1,-87748.29,232329.0,-123133.055,-83450.375,-507438.9,-211577.39,24344.686,-61177.957,1581041.0,-38811.965,-71878.25,28082.297,-37299.53,20665.111,-35111.027,25716.121,194284.84,337174.75,224798.56,-146353.14,39790.863,670822.9,-61044.285,844596.2,83479.914,166960.7,-80008.53,-339574.06,-45741.383,-42396.887,200929.97,336122.62
232575.61,-2761.2944,243001.75,139065.1,785142.94,27572.03,490303.03,84306.83,9751.038,150857.6,221356.55,369589.53,1250940.2,1651295.0,831737.9,-340801.75,287111.84,-127385.03,-168960.52,-279205.5,-221498.75,453370.75,-87922.8,1594485.1,-182790.31,-67844.84,-70119.79,26058.27,18591.334,-30632.053,11585.929,163012.64,266693.3,73140.48,48757.617,34838.832,697057.25,172929.31,788031.4,91190.88,-23930.447,-162695.38,-295944.4,-76512.99,21423.113,196503.22,496226.84
219916.02,-19255.95,164853.66,161131.84,820655.5,30224.98,397067.16,108651.39,35903.926,186382.02,195305.88,366671.3,1220378.1,1612420.4,946033.75,-353748.7,339839.34,-124907.92,-180099.75,-276748.84,-92515.984,430632.22,-62294.363,1594708.0,-200941.12,-65189.375,-60134.06,16960.193,20068.936,-33767.14,6097.2056,154946.72,260028.75,52542.375,1616.3582,79724.91,689630.6,153347.53,797014.5,88826.13,-14848.068,-177034.86,-287311.78,-79498.48,13173.0625,212251.77,466177.72
-41463.188,9489.967,178306.02,-236712.6,363237.12,-146317.75,529918.3,178052.56,-63769.19,481489.2,229760.14,344577.4,628125.44,1566093.6,913429.2,-269584.7,430684.94,-296360.25,-174932.48,-315045.66,-145268.53,383465.84,-171835.11,1549975.2,75707.19,-117205.12,-82300.06,8503.756,30399.31,-11166.572,3275.8003,146741.6,199808.7,192636.75,-47563.605,-11870.956,623052.25,-110261.18,805785.4,-4735.998,39577.22,-104952.01,-291702.6,-127454.98,-68648.33,226306.64,290896.84
126794.83,-7889.338,141735.02,57415.633,752026.25,-16309.807,606864.5,212659.62,-179324.81,179389.77,164591.05,874.6092,396844.78,1495560.6,842697.75,-380691.8,276978.94,-82751.72,-622874.06,-482321.4,-316573.38,-357151.0,9550.932,1487487.1,-182496.06,-83705.96,-262715.12,-30870.068,-4266.8906,-11864.804,-30045.395,-29584.205,-162415.3,-30788.486,242802.2,60969.195,580476.5,-165126.52,723608.75,100738.45,-28476.066,-79640.484,-297887.5,-44537.008,77054.11,-155908.9,382395.84
-527661.94,-357.0199,-96356.81,56171.477,229925.48,-65743.65,352698.47,228125.16,-256195.55,506419.34,-221588.14,-22491.658,254904.55,1569172.4,976865.8,-263340.28,303648.34,22162.773,-740211.2,-424508.56,-640194.0,268536.9,-121866.82,1435183.2,-160195.48,-96050.234,-122043.72,-40868.25,-36220.52,111092.15,-35908.367,-52732.305,120573.54,86777.914,-278494.06,125470.81,671730.56,-310922.8,658272.06,44667.152,49607.49,98400.56,-304085.8,-32021.48,12235.13,84821.984,418855.16
178220.05,-43682.113,-191986.77,178719.31,695428.4,-39777.61,227317.42,97040.91,42104.547,-226891.77,-162633.86,-64855.316,335993.12,1596171.9,882628.9,-264636.75,278541.3,-28027.19,-586439.94,-401916.97,-653249.9,395185.22,-109712.445,1604605.0,-145311.9,-81872.49,-99920.18,-63361.496,-27216.727,430.1802,-40429.258,34251.24,128801.6,-7996.661,188334.6,129107.66,751963.4,-247861.06,673262.94,89386.625,26365.088,-50917.81,-432180.16,-43264.484,-115208.08,81337.62,397310.75
-293333.94,46089.08,-218100.62,-713572.75,264024.06,-23199.738,442646.78,258775.3,-406230.84,459520.44,-308575.22,-34571.88,303439.28,1613841.6,1067865.4,-165142.39,459183.16,30578.797,-276312.44,416110.75,-377456.4,519149.44,-129814.33,1422889.6,11284.4,-32939.406,35385.68,28239.906,1919.7823,-36624.94,8073.9307,117245.94,238836.28,207948.45,-365387.6,64886.227,486750.6,-571929.75,591798.5,-1916.69,-2135.655,178400.55,-373056.03,-125357.34,-44795.273,23909.922,77474.11
