"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
60874.59,-84054.71,-354651.6,333025.47,196038.92,-272476.7,-1239898.1,-356206.62,-488253.06,1294465.5,1102895.2,286548.62,-182288.83,467497.84,265103.12,-1267065.8,1481607.6,-40021.574,-609711.7,-1156110.5,-1053122.9,1740465.6,7567.8926,-800.4496,-123353.58,-35601.0,206130.8,-65930.19,-199645.03,-191916.22,-30099.523,160567.95,488595.66,157790.0,-2386485.8,226966.33,1635424.9,-461814.3,708264.8,776536.94,760807.7,315765.03,-1677065.9,295415.84,53809.863,-257294.88,225552.0
233664.31,-33829.5,1036769.56,118079.23,496204.38,-97978.9,-1385195.0,-389272.8,23846.469,721207.1,1799440.2,90435.445,226486.89,625321.56,97115.21,-1393281.8,789764.3,-220503.84,-469584.1,-1268742.5,507055.25,1763932.8,-128473.66,114956.3,-232927.75,-28798.525,171589.52,-85537.234,-249324.86,-170843.61,-80983.46,-83249.26,215931.12,21237.064,-743868.25,397074.62,2138320.5,-419946.16,862462.75,659547.56,174369.58,-261426.89,-1943633.9,189166.94,-125.39283,-144498.33,-18694.525
109756.875,4625.068,429702.3,556320.1,463563.16,-104495.41,-1059082.9,-226689.84,-409789.3,-107441.21,1016717.25,350627.34,299737.97,377972.8,224575.19,-318163.72,947314.7,-95195.97,-389931.44,-1464337.9,-938604.9,52638.61,-165006.53,214677.56,-282303.3,-52817.668,273034.9,-119551.37,48925.555,-164896.8,17737.773,125338.836,486340.06,138113.6,-2142915.0,375448.3,855650.44,-580107.75,54536.46,437782.22,517383.25,83168.4,-1880835.5,-54359.055,30669.316,-263699.1,66937.086
91704.55,-12556.037,593471.94,172135.58,188313.42,-74406.23,-764679.94,-482437.94,-378753.84,1079432.0,1726039.8,186582.78,200858.5,411333.03,115723.914,-1035102.25,819769.2,-224223.81,-571015.56,-1096107.5,-53532.727,1220321.9,-117754.7,201197.4,288984.12,-69856.58,150622.61,-144949.33,-95110.66,-74966.516,30654.955,54311.273,286373.62,50161.44,-639439.3,363314.34,1845585.5,-357621.2,888069.7,747531.1,513573.88,-174869.1,-1937632.2,-383255.4,132065.22,-43470.13,-34248.977
168743.2,-28629.842,496717.75,266172.7,201154.25,-63221.316,-1297390.2,-322114.6,-307085.75,1074273.0,1776490.2,176007.9,149657.66,395940.38,255411.3,-1017873.0,840018.8,-209729.19,-474645.12,-1051544.4,182436.3,1232762.9,-106133.945,199578.84,194361.48,-61945.78,154779.95,-110773.43,-72023.07,-143218.9,25895.553,52536.047,308791.7,148270.38,-1156282.2,570583.1,1845061.5,-517304.97,936805.5,597985.75,503543.84,-222828.6,-1838022.9,-370290.53,142503.66,31382.172,3175.776
-420097.97,-50443.46,674390.56,45936.84,39459.45,-219662.88,-1274265.5,105833.6,-529823.4,1406777.9,1300438.8,285874.56,-7136.3374,341071.28,381760.44,-901537.8,1066078.8,-52006.57,-227239.56,-733028.9,-1003421.2,1550155.5,-117466.89,85374.97,181812.58,-92731.71,435383.22,-109076.47,67897.47,-32834.934,109757.26,75920.98,287860.88,313392.12,-2013252.4,420921.66,1752306.8,-508990.38,777334.0,587540.75,433391.1,30056.488,-1718881.4,-138573.34,120621.91,-104514.8,-45451.99
-99385.11,-106621.805,424723.88,97538.87,118049.805,-671097.1,-892842.75,348639.9,-552163.4,1112321.8,1836302.0,-10464.191,65355.55,498399.47,88009.2,-1703891.4,809071.2,-18174.58,-2661715.0,-1196970.9,-1532651.4,-231186.33,-90516.63,237380.34,477676.16,-92180.805,-300150.56,-79370.6,-409808.72,-322010.38,-12289.995,-53199.94,-198285.7,-192034.78,369261.0,539438.06,1928259.2,-1497536.2,1010568.1,717226.1,284400.1,-5081.148,-1582237.5,17174.615,25456.209,-280150.2,-199419.45
-271394.6,-187626.16,153850.81,169539.66,146809.38,-798620.9,-1345779.2,259494.36,-548459.8,1489516.9,-1278305.8,30427.58,-297512.3,150437.9,349195.3,-672812.6,1161214.6,26815.826,-1886571.6,-1001609.5,-1974886.2,1509803.0,-229836.33,201620.36,-76818.234,-119953.99,111931.75,-123679.13,-499489.2,-145988.94,-40392.07,-26005.242,358869.5,201292.84,-1015673.7,664281.44,2134184.5,-1418404.6,1058668.8,843394.44,671176.0,144860.77,-2009071.8,-479142.1,187648.89,-119576.14,85736.875
199450.84,-132891.64,391036.7,63527.953,168081.52,74227.58,-1318056.1,-31152.436,-619833.75,265232.6,-1299301.5,-23338.314,-303949.9,307625.4,228452.83,-720424.3,927522.8,34243.492,-1677950.0,-1178902.5,-1964647.8,945900.8,-433475.9,259076.55,-45201.566,-96472.24,253930.44,-211122.48,-384626.94,-177461.66,-91874.28,-85688.06,235079.89,165509.42,470542.03,601245.25,2042137.4,-1232614.8,1112493.0,748464.2,520001.34,-45251.008,-2022160.6,11566.353,184477.47,-108363.32,68256.04
-264842.84,-399535.62,-689839.06,-121742.87,132742.19,488985.84,-1074693.9,81170.414,-1172090.2,1414921.9,-1647987.1,-12216.785,-319329.5,230225.69,257307.72,-536127.8,1134497.9,-164540.11,-1040807.7,425563.72,-1024677.9,2591246.5,-367037.62,-136183.02,70962.63,-279729.72,198905.4,-288491.38,-337459.22,-163620.36,-82516.34,561.29285,296145.53,289766.78,-1525901.5,481631.12,1353544.1,-1694047.0,955341.5,745370.0,566685.56,181822.86,-1702116.9,-407056.0,-105862.79,-291268.2,-64683.066
